                     date locationtest  value abbreviation location  population
location_name                                                                  
Wisconsin      2020-01-24           55      0           WI       55   5822434.0
Wisconsin      2020-01-25           55      0           WI       55   5822434.0
Wisconsin      2020-01-26           55      0           WI       55   5822434.0
Wisconsin      2020-01-27           55      0           WI       55   5822434.0
Wisconsin      2020-01-28           55      0           WI       55   5822434.0
...                   ...          ...    ...          ...      ...         ...
Wisconsin      2021-01-07           55   4509           WI       55   5822434.0
Wisconsin      2021-01-08           55   4110           WI       55   5822434.0
Wisconsin      2021-01-09           55   3516           WI       55   5822434.0
Wisconsin      2021-01-10           55   2126           WI       55   5822434.0
Wisconsin      2021-01-11           55   1682           WI       55   5822434.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2038.11      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2027.56      1.00
a_raw_init[2]      0.22      0.00      0.22      0.21      0.22   1847.25      1.00
a_raw_init[3]      0.29      0.00      0.29      0.28      0.30   1762.60      1.00
a_raw_init[4]      0.55      0.00      0.55      0.54      0.56   2399.55      1.00
a_raw_init[5]      0.67      0.00      0.67      0.67      0.68   2370.35      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1566.68      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1192.41      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.01    883.88      1.00
    beta_1[3]      0.00      0.00      0.00      0.00      0.01    818.20      1.00
    beta_1[4]      0.00      0.00      0.00      0.00      0.01    739.60      1.00
    beta_1[5]      0.01      0.00      0.01      0.00      0.01    645.35      1.00
    beta_1[6]      0.01      0.00      0.01      0.00      0.01    602.01      1.00
    beta_1[7]      0.01      0.00      0.01      0.00      0.01    539.95      1.00
    beta_1[8]      0.01      0.00      0.01      0.00      0.01    529.37      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    517.66      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.02    474.92      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.02    450.08      1.00
   beta_1[12]      0.01      0.00      0.01      0.01      0.02    424.17      1.00
   beta_1[13]      0.01      0.00      0.01      0.01      0.02    410.12      1.00
   beta_1[14]      0.01      0.00      0.01      0.01      0.02    416.13      1.00
   beta_1[15]      0.01      0.00      0.01      0.01      0.02    396.76      1.00
   beta_1[16]      0.01      0.00      0.01      0.01      0.02    383.65      1.01
   beta_1[17]      0.02      0.00      0.02      0.01      0.02    376.48      1.01
   beta_1[18]      0.02      0.00      0.02      0.01      0.02    381.74      1.00
   beta_1[19]      0.02      0.00      0.02      0.01      0.02    385.88      1.00
   beta_1[20]      0.02      0.00      0.02      0.01      0.03    376.59      1.00
   beta_1[21]      0.02      0.00      0.02      0.01      0.03    373.20      1.00
   beta_1[22]      0.02      0.00      0.02      0.01      0.03    368.47      1.00
   beta_1[23]      0.02      0.00      0.02      0.01      0.03    370.95      1.00
   beta_1[24]      0.02      0.00      0.02      0.02      0.03    377.33      1.01
   beta_1[25]      0.02      0.00      0.02      0.02      0.03    370.77      1.00
   beta_1[26]      0.02      0.00      0.02      0.02      0.03    364.38      1.00
   beta_1[27]      0.02      0.00      0.02      0.02      0.03    361.32      1.00
   beta_1[28]      0.03      0.00      0.03      0.02      0.03    358.22      1.00
   beta_1[29]      0.03      0.00      0.03      0.02      0.03    351.45      1.00
   beta_1[30]      0.03      0.00      0.03      0.02      0.03    351.59      1.01
   beta_1[31]      0.03      0.00      0.03      0.02      0.04    343.38      1.00
   beta_1[32]      0.03      0.00      0.03      0.02      0.04    342.93      1.00
   beta_1[33]      0.03      0.00      0.03      0.02      0.04    349.23      1.00
   beta_1[34]      0.03      0.00      0.03      0.02      0.04    356.12      1.00
   beta_1[35]      0.03      0.00      0.03      0.02      0.04    350.35      1.00
   beta_1[36]      0.03      0.00      0.03      0.02      0.04    340.88      1.00
   beta_1[37]      0.03      0.00      0.03      0.03      0.04    341.10      1.00
   beta_1[38]      0.03      0.00      0.03      0.03      0.04    341.50      1.00
   beta_1[39]      0.03      0.00      0.03      0.03      0.04    334.76      1.00
   beta_1[40]      0.04      0.00      0.04      0.03      0.04    337.68      1.00
   beta_1[41]      0.04      0.00      0.04      0.03      0.04    347.28      1.00
   beta_1[42]      0.04      0.00      0.04      0.03      0.04    336.77      1.00
   beta_1[43]      0.04      0.00      0.04      0.03      0.05    338.35      1.00
   beta_1[44]      0.04      0.00      0.04      0.03      0.05    338.79      1.00
   beta_1[45]      0.04      0.00      0.04      0.03      0.05    341.86      1.00
   beta_1[46]      0.04      0.00      0.04      0.03      0.05    341.67      1.00
   beta_1[47]      0.04      0.00      0.04      0.03      0.05    343.02      1.00
   beta_1[48]      0.04      0.00      0.04      0.04      0.05    341.55      1.00
   beta_1[49]      0.04      0.00      0.04      0.04      0.05    342.19      1.00
   beta_1[50]      0.04      0.00      0.04      0.04      0.05    338.72      1.00
