                     date locationtest  value abbreviation location  population
location_name                                                                  
Georgia        2020-01-24           13      0           GA       13  10617423.0
Georgia        2020-01-25           13      0           GA       13  10617423.0
Georgia        2020-01-26           13      0           GA       13  10617423.0
Georgia        2020-01-27           13      0           GA       13  10617423.0
Georgia        2020-01-28           13      0           GA       13  10617423.0
...                   ...          ...    ...          ...      ...         ...
Georgia        2021-01-07           13   9790           GA       13  10617423.0
Georgia        2021-01-08           13  13296           GA       13  10617423.0
Georgia        2021-01-09           13  11926           GA       13  10617423.0
Georgia        2021-01-10           13   8193           GA       13  10617423.0
Georgia        2021-01-11           13   7454           GA       13  10617423.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1618.94      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1838.37      1.00
a_raw_init[2]      0.03      0.00      0.03      0.02      0.04   1443.02      1.00
a_raw_init[3]      0.78      0.01      0.78      0.77      0.79   1165.63      1.00
a_raw_init[4]      0.38      0.01      0.38      0.37      0.39   1206.56      1.00
a_raw_init[5]      0.43      0.01      0.43      0.42      0.43   1208.61      1.00
a_raw_init[6]      0.43      0.01      0.43      0.42      0.44   1097.66      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1457.86      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1011.61      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    703.00      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    575.34      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    494.78      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    336.95      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    317.76      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    258.25      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    239.30      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    214.40      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    193.23      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    180.81      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    168.07      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    152.73      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    142.40      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    135.93      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    134.39      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    126.34      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    120.92      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    117.86      1.00
   beta_1[20]      0.01      0.00      0.01      0.00      0.02    115.90      1.00
   beta_1[21]      0.01      0.00      0.01      0.00      0.02    117.22      1.00
   beta_1[22]      0.01      0.00      0.01      0.00      0.02    112.31      1.00
   beta_1[23]      0.01      0.00      0.01      0.00      0.02    112.77      1.00
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    113.12      1.00
   beta_1[25]      0.01      0.00      0.01      0.00      0.02    114.16      1.00
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    106.56      1.00
   beta_1[27]      0.01      0.00      0.01      0.01      0.02    105.27      1.00
   beta_1[28]      0.01      0.00      0.01      0.01      0.02    110.82      1.00
   beta_1[29]      0.01      0.00      0.01      0.01      0.02    105.49      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    108.98      1.00
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    104.54      1.00
   beta_1[32]      0.02      0.00      0.02      0.01      0.02    101.08      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.02    105.39      1.00
   beta_1[34]      0.02      0.00      0.02      0.01      0.02    107.09      1.00
   beta_1[35]      0.02      0.00      0.02      0.01      0.02    111.67      1.00
   beta_1[36]      0.02      0.00      0.02      0.01      0.03    107.81      1.00
   beta_1[37]      0.02      0.00      0.02      0.01      0.03    110.04      1.00
   beta_1[38]      0.02      0.00      0.02      0.01      0.03    106.50      1.00
   beta_1[39]      0.02      0.00      0.02      0.01      0.03    107.37      1.00
   beta_1[40]      0.02      0.00      0.02      0.01      0.03    108.49      1.00
   beta_1[41]      0.02      0.00      0.02      0.01      0.03    104.52      1.00
   beta_1[42]      0.02      0.00      0.02      0.01      0.03    104.74      1.01
   beta_1[43]      0.02      0.00      0.02      0.01      0.03    105.23      1.01
   beta_1[44]      0.02      0.00      0.02      0.01      0.03    102.51      1.01
   beta_1[45]      0.02      0.00      0.02      0.01      0.03     98.27      1.01
   beta_1[46]      0.02      0.00      0.02      0.01      0.03     98.46      1.01
   beta_1[47]      0.02      0.00      0.02      0.01      0.03    100.91      1.01
   beta_1[48]      0.02      0.00      0.02      0.01      0.03    101.40      1.01
   beta_1[49]      0.02      0.00      0.02      0.02      0.03     98.40      1.01
   beta_1[50]      0.02      0.00      0.02      0.02      0.03     99.61      1.01
   beta_1[51]      0.02      0.00      0.02      0.02      0.03     99.32      1.01
   beta_1[52]      0.03      0.00      0.03      0.02      0.03    105.65      1.01
   beta_1[53]      0.03      0.00      0.03      0.02      0.03    108.69      1.01
   beta_1[54]      0.03      0.00      0.03      0.02      0.03    112.45      1.01
   beta_1[55]      0.03      0.00      0.03      0.02      0.03    104.76      1.01
   beta_1[56]      0.03      0.00      0.03      0.02      0.03    108.98      1.01
   beta_1[57]      0.03      0.00      0.03      0.02      0.03    113.53      1.01
   beta_1[58]      0.03      0.00      0.03      0.02      0.03    113.88      1.01
   beta_1[59]      0.03      0.00      0.03      0.02      0.03    117.79      1.01
   beta_1[60]      0.03      0.00      0.03      0.02      0.04    120.43      1.01
   beta_1[61]      0.03      0.00      0.03      0.02      0.04    129.66      1.01
   beta_1[62]      0.03      0.00      0.03      0.02      0.04    137.76      1.01
   beta_1[63]      0.03      0.00      0.03      0.02      0.04    136.73      1.01
   beta_1[64]      0.03      0.00      0.03      0.02      0.04    148.25      1.01
   beta_1[65]      0.03      0.00      0.03      0.02      0.04    162.47      1.01
   beta_1[66]      0.03      0.00      0.03      0.02      0.04    167.89      1.02
   beta_1[67]      0.03      0.00      0.03      0.03      0.04    184.13      1.01
   beta_1[68]      0.03      0.00      0.03      0.03      0.04    190.70      1.01
   beta_1[69]      0.03      0.00      0.03      0.03      0.04    193.07      1.01
   beta_1[70]      0.03      0.00      0.03      0.03      0.04    198.76      1.02
   beta_1[71]      0.03      0.00      0.03      0.03      0.04    217.25      1.01
   beta_1[72]      0.03      0.00      0.03      0.03      0.04    235.85      1.01
   beta_1[73]      0.03      0.00      0.03      0.03      0.04    237.76      1.02
   beta_1[74]      0.03      0.00      0.03      0.03      0.04    262.56      1.02
   beta_1[75]      0.03      0.00      0.03      0.03      0.04    267.24      1.02
   beta_1[76]      0.03      0.00      0.03      0.03      0.04    275.44      1.02
   beta_1[77]      0.03      0.00      0.03      0.03      0.04    305.16      1.01
   beta_1[78]      0.03      0.00      0.03      0.03      0.04    300.82      1.01
   beta_1[79]      0.03      0.00      0.03      0.03      0.04    353.85      1.01
   beta_1[80]      0.03      0.00      0.03      0.03      0.04    364.41      1.01
   beta_1[81]      0.03      0.00      0.03      0.03      0.03    403.86      1.00
   beta_1[82]      0.03      0.00      0.03      0.03      0.03    437.28      1.00
   beta_1[83]      0.03      0.00      0.03      0.03      0.03    485.55      1.00
   beta_1[84]      0.03      0.00      0.03      0.03      0.03    474.29      1.00
   beta_1[85]      0.03      0.00      0.03      0.03      0.03    557.50      1.00
   beta_1[86]      0.03      0.00      0.03      0.02      0.03    596.53      1.00
   beta_1[87]      0.03      0.00      0.03      0.02      0.03    651.60      1.00
   beta_1[88]      0.03      0.00      0.03      0.02      0.03    771.93      1.00
   beta_1[89]      0.03      0.00      0.03      0.02      0.03    888.83      1.00
   beta_1[90]      0.03      0.00      0.03      0.02      0.03    880.65      1.00
   beta_1[91]      0.02      0.00      0.02      0.02      0.03    973.79      1.00
   beta_1[92]      0.02      0.00      0.02      0.02      0.03   1002.87      1.00
   beta_1[93]      0.02      0.00      0.02      0.02      0.03    976.96      1.00
   beta_1[94]      0.02      0.00      0.02      0.02      0.03   1037.36      1.00
   beta_1[95]      0.02      0.00      0.02      0.02      0.03   1097.29      1.00
   beta_1[96]      0.02      0.00      0.02      0.02      0.02   1177.67      1.00
   beta_1[97]      0.02      0.00      0.02      0.02      0.02   1170.72      1.00
   beta_1[98]      0.02      0.00      0.02      0.02      0.02   1157.38      1.00
   beta_1[99]      0.02      0.00      0.02      0.02      0.02   1133.21      1.00
  beta_1[100]      0.02      0.00      0.02      0.02      0.02   1103.15      1.00
  beta_1[101]      0.02      0.00      0.02      0.02      0.02   1097.52      1.00
  beta_1[102]      0.02      0.00      0.02      0.02      0.02   1248.97      1.00
  beta_1[103]      0.02      0.00      0.02      0.01      0.02   1218.73      1.00
  beta_1[104]      0.02      0.00      0.02      0.01      0.02   1218.18      1.00
  beta_1[105]      0.02      0.00      0.02      0.01      0.02   1283.78      1.00
  beta_1[106]      0.02      0.00      0.02      0.01      0.02   1310.04      1.00
 transform[0]      0.01      1.02      0.00     -1.62      1.69   1456.62      1.00

Number of divergences: 250
