                      date locationtest  ...  location  population
location_name                            ...                      
North Carolina  2020-01-24           37  ...        37  10488084.0
North Carolina  2020-01-25           37  ...        37  10488084.0
North Carolina  2020-01-26           37  ...        37  10488084.0
North Carolina  2020-01-27           37  ...        37  10488084.0
North Carolina  2020-01-28           37  ...        37  10488084.0
...                    ...          ...  ...       ...         ...
North Carolina  2021-01-07           37  ...        37  10488084.0
North Carolina  2021-01-08           37  ...        37  10488084.0
North Carolina  2021-01-09           37  ...        37  10488084.0
North Carolina  2021-01-10           37  ...        37  10488084.0
North Carolina  2021-01-11           37  ...        37  10488084.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1851.06      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1887.45      1.00
a_raw_init[2]      0.10      0.00      0.10      0.09      0.10   1459.93      1.00
a_raw_init[3]      0.58      0.01      0.58      0.57      0.59   1178.02      1.00
a_raw_init[4]      0.58      0.01      0.58      0.57      0.59   1211.01      1.00
a_raw_init[5]      0.77      0.01      0.77      0.76      0.78   1835.39      1.00
a_raw_init[6]      0.82      0.01      0.82      0.81      0.83   1707.18      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1369.92      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    884.60      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    759.89      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    657.20      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    539.05      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    437.12      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    420.86      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    388.82      1.00
    beta_1[8]      0.00      0.00      0.00      0.00      0.01    358.75      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    318.86      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    300.70      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    295.34      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    265.28      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    224.39      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    207.91      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    198.27      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.02    189.43      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    164.98      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    164.80      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    165.14      1.00
   beta_1[20]      0.01      0.00      0.01      0.00      0.02    169.97      1.00
   beta_1[21]      0.01      0.00      0.01      0.00      0.02    173.31      1.00
   beta_1[22]      0.01      0.00      0.01      0.01      0.02    177.63      1.00
   beta_1[23]      0.01      0.00      0.01      0.01      0.02    167.79      1.00
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    163.36      1.00
   beta_1[25]      0.01      0.00      0.01      0.01      0.02    142.85      1.00
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    141.24      1.00
   beta_1[27]      0.01      0.00      0.01      0.01      0.02    146.07      1.00
   beta_1[28]      0.02      0.00      0.02      0.01      0.02    157.44      1.00
   beta_1[29]      0.02      0.00      0.02      0.01      0.02    147.01      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    147.44      1.00
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    139.81      1.00
   beta_1[32]      0.02      0.00      0.02      0.01      0.02    142.12      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.02    140.12      1.00
   beta_1[34]      0.02      0.00      0.02      0.01      0.03    140.35      1.00
   beta_1[35]      0.02      0.00      0.02      0.01      0.03    138.35      1.00
   beta_1[36]      0.02      0.00      0.02      0.01      0.03    129.10      1.00
   beta_1[37]      0.02      0.00      0.02      0.01      0.03    120.16      1.00
   beta_1[38]      0.02      0.00      0.02      0.01      0.03    115.78      1.00
   beta_1[39]      0.02      0.00      0.02      0.01      0.03    108.32      1.00
   beta_1[40]      0.02      0.00      0.02      0.01      0.03    103.80      1.00
   beta_1[41]      0.02      0.00      0.02      0.01      0.03    107.71      1.00
   beta_1[42]      0.02      0.00      0.02      0.01      0.03     99.34      1.00
   beta_1[43]      0.02      0.00      0.02      0.01      0.03     95.82      1.00
   beta_1[44]      0.02      0.00      0.02      0.01      0.03     91.99      1.00
   beta_1[45]      0.02      0.00      0.02      0.02      0.03     89.46      1.00
   beta_1[46]      0.02      0.00      0.02      0.02      0.03     89.50      1.00
   beta_1[47]      0.02      0.00      0.02      0.02      0.03     90.43      1.00
   beta_1[48]      0.03      0.00      0.03      0.02      0.03     89.31      1.00
   beta_1[49]      0.03      0.00      0.03      0.02      0.03     91.75      1.00
   beta_1[50]      0.03      0.00      0.03      0.02      0.03     90.40      1.00
   beta_1[51]      0.03      0.00      0.03      0.02      0.03     85.81      1.00
   beta_1[52]      0.03      0.00      0.03      0.02      0.03     89.16      1.00
   beta_1[53]      0.03      0.00      0.03      0.02      0.03     88.06      1.00
   beta_1[54]      0.03      0.00      0.03      0.02      0.04     94.72      1.00
   beta_1[55]      0.03      0.00      0.03      0.02      0.04     89.22      1.00
   beta_1[56]      0.03      0.00      0.03      0.02      0.04     94.24      1.00
   beta_1[57]      0.03      0.00      0.03      0.02      0.04     98.73      1.00
   beta_1[58]      0.03      0.00      0.03      0.02      0.04    103.88      1.00
   beta_1[59]      0.03      0.00      0.03      0.02      0.04    107.44      1.00
   beta_1[60]      0.03      0.00      0.03      0.02      0.04    113.66      1.00
   beta_1[61]      0.03      0.00      0.03      0.02      0.04    121.87      1.00
   beta_1[62]      0.03      0.00      0.03      0.03      0.04    142.70      1.00
   beta_1[63]      0.03      0.00      0.03      0.03      0.04    141.21      1.00
   beta_1[64]      0.03      0.00      0.03      0.03      0.04    139.44      1.00
   beta_1[65]      0.03      0.00      0.03      0.03      0.04    151.75      1.00
   beta_1[66]      0.03      0.00      0.03      0.03      0.04    145.07      1.00
   beta_1[67]      0.03      0.00      0.03      0.03      0.04    146.68      1.00
   beta_1[68]      0.03      0.00      0.03      0.03      0.04    158.34      1.00
   beta_1[69]      0.04      0.00      0.04      0.03      0.04    181.40      1.00
   beta_1[70]      0.04      0.00      0.04      0.03      0.04    178.90      1.00
   beta_1[71]      0.04      0.00      0.04      0.03      0.04    183.09      1.00
   beta_1[72]      0.04      0.00      0.04      0.03      0.04    194.73      1.00
   beta_1[73]      0.04      0.00      0.04      0.03      0.04    202.22      1.00
   beta_1[74]      0.04      0.00      0.04      0.03      0.04    197.93      1.00
   beta_1[75]      0.04      0.00      0.04      0.03      0.04    214.17      1.00
   beta_1[76]      0.04      0.00      0.04      0.03      0.04    254.37      1.00
   beta_1[77]      0.04      0.00      0.04      0.03      0.04    245.47      1.00
   beta_1[78]      0.04      0.00      0.04      0.03      0.04    270.02      1.00
   beta_1[79]      0.04      0.00      0.04      0.03      0.04    300.70      1.00
   beta_1[80]      0.04      0.00      0.04      0.04      0.04    281.53      1.00
   beta_1[81]      0.04      0.00      0.04      0.04      0.04    376.91      1.00
   beta_1[82]      0.04      0.00      0.04      0.04      0.05    416.86      1.00
   beta_1[83]      0.04      0.00      0.04      0.04      0.05    455.12      1.00
   beta_1[84]      0.04      0.00      0.04      0.04      0.04    430.91      1.00
   beta_1[85]      0.04      0.00      0.04      0.04      0.04    467.97      1.00
   beta_1[86]      0.04      0.00      0.04      0.04      0.04    551.97      1.00
   beta_1[87]      0.04      0.00      0.04      0.04      0.04    560.93      1.00
   beta_1[88]      0.04      0.00      0.04      0.04      0.04    701.83      1.00
   beta_1[89]      0.04      0.00      0.04      0.04      0.04    836.99      1.00
   beta_1[90]      0.04      0.00      0.04      0.03      0.04   1049.73      1.00
   beta_1[91]      0.04      0.00      0.04      0.03      0.04   1066.72      1.00
   beta_1[92]      0.04      0.00      0.04      0.03      0.04   1130.34      1.00
   beta_1[93]      0.04      0.00      0.04      0.03      0.04   1189.41      1.00
   beta_1[94]      0.03      0.00      0.03      0.03      0.04   1182.18      1.00
   beta_1[95]      0.03      0.00      0.03      0.03      0.04   1306.16      1.00
   beta_1[96]      0.03      0.00      0.03      0.03      0.04   1322.80      1.00
   beta_1[97]      0.03      0.00      0.03      0.03      0.03   1343.22      1.00
   beta_1[98]      0.03      0.00      0.03      0.03      0.03   1432.30      1.00
   beta_1[99]      0.03      0.00      0.03      0.03      0.03   1319.42      1.00
  beta_1[100]      0.03      0.00      0.03      0.03      0.03   1314.59      1.00
  beta_1[101]      0.03      0.00      0.03      0.03      0.03   1336.71      1.00
  beta_1[102]      0.03      0.00      0.03      0.03      0.03   1393.70      1.00
  beta_1[103]      0.03      0.00      0.03      0.03      0.03   1441.93      1.00
  beta_1[104]      0.03      0.00      0.03      0.03      0.03   1582.86      1.00
  beta_1[105]      0.03      0.00      0.03      0.03      0.03   1739.66      1.00
  beta_1[106]      0.03      0.00      0.03      0.03      0.03   1839.08      1.00
 transform[0]     -0.01      0.99     -0.03     -1.53      1.72   1679.50      1.00

Number of divergences: 105
