                     date locationtest  value abbreviation location  population
location_name                                                                  
Pennsylvania   2020-01-24           42      0           PA       42  12801989.0
Pennsylvania   2020-01-25           42      0           PA       42  12801989.0
Pennsylvania   2020-01-26           42      0           PA       42  12801989.0
Pennsylvania   2020-01-27           42      0           PA       42  12801989.0
Pennsylvania   2020-01-28           42      0           PA       42  12801989.0
...                   ...          ...    ...          ...      ...         ...
Pennsylvania   2021-01-07           42   9607           PA       42  12801989.0
Pennsylvania   2021-01-08           42  10216           PA       42  12801989.0
Pennsylvania   2021-01-09           42   9056           PA       42  12801989.0
Pennsylvania   2021-01-10           42   6588           PA       42  12801989.0
Pennsylvania   2021-01-11           42   6908           PA       42  12801989.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1534.07      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1798.69      1.00
a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   1870.98      1.00
a_raw_init[3]      1.00      0.00      1.00      0.99      1.00   1194.25      1.00
a_raw_init[4]      0.42      0.01      0.42      0.41      0.43    984.50      1.00
a_raw_init[5]      0.53      0.01      0.53      0.52      0.54   1158.87      1.00
a_raw_init[6]      0.56      0.01      0.56      0.55      0.57   1220.10      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1231.96      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1286.16      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    942.29      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    760.67      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    585.02      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    520.57      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    445.35      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    385.92      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    364.24      1.00
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    326.11      1.00
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    289.88      1.00
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    279.26      1.00
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    262.98      1.00
   beta_1[13]      0.00      0.00      0.00     -0.00      0.01    242.54      1.00
   beta_1[14]      0.00      0.00      0.00     -0.00      0.01    228.98      1.00
   beta_1[15]      0.00      0.00      0.00     -0.00      0.01    216.67      1.00
   beta_1[16]      0.00      0.00      0.00     -0.00      0.01    207.13      1.00
   beta_1[17]      0.00      0.00      0.00     -0.00      0.01    201.10      1.00
   beta_1[18]      0.00      0.00      0.00     -0.00      0.01    196.30      1.00
   beta_1[19]      0.00      0.00      0.00     -0.00      0.01    186.94      1.00
   beta_1[20]      0.01      0.00      0.00     -0.00      0.01    183.08      1.00
   beta_1[21]      0.01      0.00      0.01     -0.00      0.01    176.78      1.00
   beta_1[22]      0.01      0.00      0.01     -0.00      0.01    175.96      1.00
   beta_1[23]      0.01      0.00      0.01     -0.00      0.01    173.23      1.00
   beta_1[24]      0.01      0.00      0.01     -0.00      0.01    166.45      1.00
   beta_1[25]      0.01      0.00      0.01     -0.00      0.01    163.12      1.00
   beta_1[26]      0.01      0.00      0.01     -0.00      0.01    161.28      1.00
   beta_1[27]      0.01      0.00      0.01     -0.00      0.01    162.00      1.00
   beta_1[28]      0.01      0.00      0.01     -0.00      0.01    163.65      1.00
   beta_1[29]      0.01      0.00      0.01      0.00      0.02    162.41      1.00
   beta_1[30]      0.01      0.00      0.01      0.00      0.01    162.67      1.00
   beta_1[31]      0.01      0.00      0.01      0.00      0.02    162.04      1.00
   beta_1[32]      0.01      0.00      0.01      0.00      0.02    156.33      1.00
   beta_1[33]      0.01      0.00      0.01      0.00      0.02    155.14      1.00
   beta_1[34]      0.01      0.00      0.01      0.00      0.02    156.95      1.00
   beta_1[35]      0.01      0.00      0.01      0.00      0.02    160.35      1.00
   beta_1[36]      0.01      0.00      0.01      0.00      0.02    161.93      1.00
   beta_1[37]      0.01      0.00      0.01      0.00      0.02    162.39      1.00
   beta_1[38]      0.01      0.00      0.01      0.00      0.02    163.43      1.00
   beta_1[39]      0.01      0.00      0.01      0.00      0.02    168.31      1.00
   beta_1[40]      0.01      0.00      0.01      0.00      0.02    168.65      1.00
   beta_1[41]      0.01      0.00      0.01      0.00      0.02    164.71      1.00
   beta_1[42]      0.01      0.00      0.01      0.00      0.02    166.84      1.00
   beta_1[43]      0.01      0.00      0.01      0.00      0.02    168.44      1.00
   beta_1[44]      0.01      0.00      0.01      0.00      0.02    170.57      1.00
   beta_1[45]      0.01      0.00      0.01      0.00      0.02    172.59      1.00
   beta_1[46]      0.01      0.00      0.01      0.00      0.02    177.45      1.00
   beta_1[47]      0.01      0.00      0.01      0.00      0.02    177.77      1.00
   beta_1[48]      0.01      0.00      0.01      0.00      0.02    178.81      1.00
   beta_1[49]      0.01      0.00      0.01      0.00      0.02    177.89      1.00
   beta_1[50]      0.01      0.00      0.01      0.00      0.02    178.74      1.00
   beta_1[51]      0.01      0.00      0.01      0.01      0.02    179.10      1.00
   beta_1[52]      0.01      0.00      0.01      0.01      0.02    184.95      1.00
   beta_1[53]      0.01      0.00      0.01      0.01      0.02    188.77      1.00
   beta_1[54]      0.01      0.00      0.01      0.01      0.02    195.49      1.00
   beta_1[55]      0.01      0.00      0.01      0.01      0.02    206.87      1.00
   beta_1[56]      0.01      0.00      0.01      0.01      0.02    212.24      1.00
   beta_1[57]      0.01      0.00      0.01      0.01      0.02    217.06      1.00
   beta_1[58]      0.01      0.00      0.01      0.01      0.02    225.21      1.00
