                     date locationtest  value abbreviation location  population
location_name                                                                  
Florida        2020-01-24           12      0           FL       12  21477737.0
Florida        2020-01-25           12      0           FL       12  21477737.0
Florida        2020-01-26           12      0           FL       12  21477737.0
Florida        2020-01-27           12      0           FL       12  21477737.0
Florida        2020-01-28           12      0           FL       12  21477737.0
...                   ...          ...    ...          ...      ...         ...
Florida        2021-01-07           12  19816           FL       12  21477737.0
Florida        2021-01-08           12  19530           FL       12  21477737.0
Florida        2021-01-09           12  15445           FL       12  21477737.0
Florida        2021-01-10           12  12313           FL       12  21477737.0
Florida        2021-01-11           12  11576           FL       12  21477737.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2026.84      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2002.04      1.00
a_raw_init[2]      0.10      0.00      0.10      0.10      0.11   1400.72      1.00
a_raw_init[3]      0.79      0.01      0.79      0.79      0.80   1029.82      1.00
a_raw_init[4]      0.11      0.01      0.11      0.10      0.12   1043.98      1.00
a_raw_init[5]      0.33      0.00      0.33      0.33      0.34   1735.09      1.00
a_raw_init[6]      0.42      0.01      0.42      0.41      0.43   1319.42      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1854.49      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1088.98      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    783.72      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    672.02      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    591.90      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    490.49      1.01
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    423.53      1.01
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    387.63      1.01
    beta_1[8]      0.00      0.00      0.00      0.00      0.01    363.16      1.01
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    359.24      1.01
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    333.60      1.01
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    318.82      1.01
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    292.98      1.01
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    285.66      1.01
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    284.10      1.01
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    269.44      1.01
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    263.32      1.02
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    252.60      1.02
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    244.35      1.02
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    241.46      1.01
   beta_1[20]      0.01      0.00      0.01      0.00      0.02    231.48      1.02
   beta_1[21]      0.01      0.00      0.01      0.00      0.02    228.79      1.02
   beta_1[22]      0.01      0.00      0.01      0.01      0.02    220.47      1.02
   beta_1[23]      0.01      0.00      0.01      0.01      0.02    206.83      1.02
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    208.31      1.01
   beta_1[25]      0.01      0.00      0.01      0.01      0.02    204.17      1.01
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    189.85      1.02
   beta_1[27]      0.01      0.00      0.01      0.01      0.02    180.76      1.02
   beta_1[28]      0.01      0.00      0.01      0.01      0.02    180.47      1.02
   beta_1[29]      0.02      0.00      0.02      0.01      0.02    192.10      1.01
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    178.47      1.01
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    183.14      1.01
   beta_1[32]      0.02      0.00      0.02      0.01      0.02    181.87      1.01
   beta_1[33]      0.02      0.00      0.02      0.01      0.03    195.51      1.01
   beta_1[34]      0.02      0.00      0.02      0.01      0.03    199.36      1.01
   beta_1[35]      0.02      0.00      0.02      0.01      0.03    195.32      1.01
   beta_1[36]      0.02      0.00      0.02      0.01      0.03    199.41      1.01
   beta_1[37]      0.02      0.00      0.02      0.01      0.03    203.65      1.01
   beta_1[38]      0.02      0.00      0.02      0.01      0.03    198.92      1.01
   beta_1[39]      0.02      0.00      0.02      0.01      0.03    192.61      1.01
   beta_1[40]      0.02      0.00      0.02      0.01      0.03    197.94      1.01
   beta_1[41]      0.02      0.00      0.02      0.01      0.03    205.61      1.01
   beta_1[42]      0.02      0.00      0.02      0.01      0.03    201.71      1.01
   beta_1[43]      0.02      0.00      0.02      0.02      0.03    202.57      1.01
   beta_1[44]      0.02      0.00      0.02      0.02      0.03    202.60      1.01
   beta_1[45]      0.02      0.00      0.02      0.02      0.03    207.60      1.01
   beta_1[46]      0.02      0.00      0.02      0.02      0.03    206.19      1.01
   beta_1[47]      0.02      0.00      0.02      0.02      0.03    212.54      1.01
   beta_1[48]      0.03      0.00      0.03      0.02      0.03    210.34      1.00
   beta_1[49]      0.03      0.00      0.03      0.02      0.03    207.31      1.01
   beta_1[50]      0.03      0.00      0.03      0.02      0.03    213.21      1.00
   beta_1[51]      0.03      0.00      0.03      0.02      0.03    216.26      1.00
   beta_1[52]      0.03      0.00      0.03      0.02      0.03    217.91      1.00
   beta_1[53]      0.03      0.00      0.03      0.02      0.04    222.24      1.00
   beta_1[54]      0.03      0.00      0.03      0.02      0.04    227.69      1.00
   beta_1[55]      0.03      0.00      0.03      0.02      0.04    230.84      1.00
   beta_1[56]      0.03      0.00      0.03      0.02      0.04    236.79      1.00
   beta_1[57]      0.03      0.00      0.03      0.02      0.04    253.55      1.00
   beta_1[58]      0.03      0.00      0.03      0.02      0.04    258.73      1.00
   beta_1[59]      0.03      0.00      0.03      0.02      0.04    265.59      1.00
   beta_1[60]      0.03      0.00      0.03      0.03      0.04    270.92      1.00
   beta_1[61]      0.03      0.00      0.03      0.03      0.04    271.58      1.00
   beta_1[62]      0.03      0.00      0.03      0.03      0.04    277.66      1.00
   beta_1[63]      0.03      0.00      0.03      0.03      0.04    281.24      1.00
   beta_1[64]      0.03      0.00      0.03      0.03      0.04    297.08      1.00
   beta_1[65]      0.03      0.00      0.03      0.03      0.04    311.16      1.00
   beta_1[66]      0.03      0.00      0.03      0.03      0.04    317.37      1.00
   beta_1[67]      0.04      0.00      0.04      0.03      0.04    334.84      1.00
   beta_1[68]      0.04      0.00      0.04      0.03      0.04    351.15      1.00
   beta_1[69]      0.04      0.00      0.04      0.03      0.04    376.46      1.00
   beta_1[70]      0.04      0.00      0.04      0.03      0.04    400.63      1.00
   beta_1[71]      0.04      0.00      0.04      0.03      0.04    425.29      1.00
   beta_1[72]      0.04      0.00      0.04      0.03      0.04    459.68      1.00
   beta_1[73]      0.04      0.00      0.04      0.03      0.04    475.59      1.00
   beta_1[74]      0.04      0.00      0.04      0.03      0.04    494.08      1.00
   beta_1[75]      0.04      0.00      0.04      0.03      0.04    513.17      1.00
   beta_1[76]      0.04      0.00      0.04      0.03      0.04    544.85      1.00
   beta_1[77]      0.04      0.00      0.04      0.03      0.04    549.60      1.00
   beta_1[78]      0.04      0.00      0.04      0.03      0.04    549.28      1.00
   beta_1[79]      0.04      0.00      0.04      0.03      0.04    575.30      1.00
   beta_1[80]      0.04      0.00      0.04      0.03      0.04    583.24      1.00
   beta_1[81]      0.04      0.00      0.04      0.03      0.04    624.55      1.00
   beta_1[82]      0.04      0.00      0.04      0.03      0.04    647.96      1.00
   beta_1[83]      0.04      0.00      0.04      0.03      0.04    656.78      1.00
   beta_1[84]      0.04      0.00      0.04      0.03      0.04    714.46      1.00
   beta_1[85]      0.03      0.00      0.03      0.03      0.04    806.26      1.00
   beta_1[86]      0.03      0.00      0.03      0.03      0.04    887.87      1.00
   beta_1[87]      0.03      0.00      0.03      0.03      0.04    883.44      1.00
   beta_1[88]      0.03      0.00      0.03      0.03      0.04    954.44      1.00
   beta_1[89]      0.03      0.00      0.03      0.03      0.04    986.44      1.00
   beta_1[90]      0.03      0.00      0.03      0.03      0.04   1023.62      1.00
   beta_1[91]      0.03      0.00      0.03      0.03      0.03   1123.89      1.00
   beta_1[92]      0.03      0.00      0.03      0.03      0.03   1115.85      1.00
   beta_1[93]      0.03      0.00      0.03      0.03      0.03   1168.52      1.00
   beta_1[94]      0.03      0.00      0.03      0.03      0.03   1229.82      1.00
   beta_1[95]      0.03      0.00      0.03      0.03      0.03   1318.34      1.00
   beta_1[96]      0.03      0.00      0.03      0.03      0.03   1276.62      1.00
   beta_1[97]      0.03      0.00      0.03      0.03      0.03   1333.96      1.00
   beta_1[98]      0.03      0.00      0.03      0.02      0.03   1291.14      1.00
   beta_1[99]      0.03      0.00      0.03      0.02      0.03   1282.20      1.00
  beta_1[100]      0.03      0.00      0.03      0.02      0.03   1272.39      1.00
  beta_1[101]      0.03      0.00      0.03      0.02      0.03   1566.62      1.00
  beta_1[102]      0.03      0.00      0.03      0.02      0.03   1596.92      1.00
  beta_1[103]      0.03      0.00      0.03      0.02      0.03   1408.06      1.00
  beta_1[104]      0.03      0.00      0.03      0.02      0.03   1543.51      1.00
  beta_1[105]      0.03      0.00      0.03      0.02      0.03   1452.46      1.00
  beta_1[106]      0.02      0.00      0.02      0.02      0.03   1332.55      1.00
  beta_1[107]      0.02      0.00      0.02      0.02      0.03   1329.38      1.00
  beta_1[108]      0.02      0.00      0.02      0.02      0.03   1109.96      1.00
  beta_1[109]      0.02      0.00      0.02      0.02      0.03   1074.74      1.00
  beta_1[110]      0.02      0.00      0.02      0.02      0.03   1299.20      1.00
  beta_1[111]      0.02      0.00      0.02      0.02      0.03   1260.92      1.00
  beta_1[112]      0.02      0.00      0.02      0.02      0.03   1366.16      1.00
  beta_1[113]      0.02      0.00      0.02      0.02      0.03   1429.72      1.00
 transform[0]      0.01      0.94      0.01     -1.32      1.71   1664.88      1.00

Number of divergences: 137
