                     date locationtest  value abbreviation location  population
location_name                                                                  
Illinois       2020-01-24           17      1           IL       17  12671821.0
Illinois       2020-01-25           17      0           IL       17  12671821.0
Illinois       2020-01-26           17      0           IL       17  12671821.0
Illinois       2020-01-27           17      0           IL       17  12671821.0
Illinois       2020-01-28           17      0           IL       17  12671821.0
...                   ...          ...    ...          ...      ...         ...
Illinois       2021-01-07           17   8757           IL       17  12671821.0
Illinois       2021-01-08           17   9277           IL       17  12671821.0
Illinois       2021-01-09           17   6717           IL       17  12671821.0
Illinois       2021-01-10           17   4711           IL       17  12671821.0
Illinois       2021-01-11           17   4776           IL       17  12671821.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1147.15      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1991.81      1.00
a_raw_init[2]      0.06      0.00      0.06      0.05      0.06   1391.18      1.00
a_raw_init[3]      0.36      0.01      0.36      0.35      0.37   1322.42      1.00
a_raw_init[4]      0.63      0.01      0.63      0.62      0.64   1373.51      1.00
a_raw_init[5]      0.61      0.00      0.61      0.61      0.62   1875.45      1.00
a_raw_init[6]      0.60      0.01      0.60      0.59      0.61   1695.99      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1871.68      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1149.55      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    781.75      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    686.94      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    582.19      1.00
    beta_1[5]      0.00      0.00      0.00      0.00      0.01    525.14      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    481.28      1.00
    beta_1[7]      0.00      0.00      0.00      0.00      0.01    480.93      1.00
    beta_1[8]      0.01      0.00      0.01      0.00      0.01    449.32      1.01
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    419.84      1.01
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    399.85      1.01
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    381.85      1.01
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    351.67      1.01
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    342.33      1.01
   beta_1[14]      0.01      0.00      0.01      0.00      0.02    338.86      1.01
   beta_1[15]      0.01      0.00      0.01      0.00      0.02    320.12      1.01
   beta_1[16]      0.01      0.00      0.01      0.00      0.02    308.21      1.01
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    300.89      1.01
   beta_1[18]      0.01      0.00      0.01      0.01      0.02    296.63      1.01
   beta_1[19]      0.01      0.00      0.01      0.01      0.02    289.06      1.01
