                     date locationtest  value abbreviation location  population
location_name                                                                  
Maryland       2020-01-24           24      0           MD       24   6045680.0
Maryland       2020-01-25           24      0           MD       24   6045680.0
Maryland       2020-01-26           24      0           MD       24   6045680.0
Maryland       2020-01-27           24      0           MD       24   6045680.0
Maryland       2020-01-28           24      0           MD       24   6045680.0
...                   ...          ...    ...          ...      ...         ...
Maryland       2021-01-07           24   2970           MD       24   6045680.0
Maryland       2021-01-08           24   3732           MD       24   6045680.0
Maryland       2021-01-09           24   3758           MD       24   6045680.0
Maryland       2021-01-10           24   3310           MD       24   6045680.0
Maryland       2021-01-11           24   3012           MD       24   6045680.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00    991.89      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2005.47      1.00
a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   2007.53      1.00
a_raw_init[3]      0.42      0.00      0.42      0.42      0.43   1042.95      1.00
a_raw_init[4]      0.57      0.00      0.57      0.56      0.58   1018.30      1.00
a_raw_init[5]      0.56      0.00      0.56      0.56      0.57   1272.10      1.00
a_raw_init[6]      0.56      0.01      0.56      0.55      0.57   1242.05      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1522.97      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1067.51      1.01
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    736.47      1.01
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    517.02      1.01
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    380.24      1.01
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    359.00      1.02
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    301.03      1.03
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    285.64      1.03
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    243.02      1.03
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    227.71      1.03
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    219.33      1.03
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    199.78      1.03
   beta_1[12]      0.01      0.00      0.01     -0.00      0.01    178.90      1.03
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    168.14      1.03
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    156.22      1.03
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    142.67      1.04
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    134.45      1.04
   beta_1[17]      0.01      0.00      0.01      0.00      0.01    127.13      1.04
   beta_1[18]      0.01      0.00      0.01      0.00      0.01    118.94      1.04
   beta_1[19]      0.01      0.00      0.01      0.00      0.01    113.63      1.04
   beta_1[20]      0.01      0.00      0.01      0.00      0.01    109.01      1.04
   beta_1[21]      0.01      0.00      0.01      0.00      0.01    107.92      1.04
   beta_1[22]      0.01      0.00      0.01      0.00      0.02    104.83      1.04
   beta_1[23]      0.01      0.00      0.01      0.00      0.02    100.79      1.04
   beta_1[24]      0.01      0.00      0.01      0.00      0.02     99.93      1.04
   beta_1[25]      0.01      0.00      0.01      0.00      0.02     99.13      1.04
   beta_1[26]      0.01      0.00      0.01      0.00      0.02     96.54      1.04
   beta_1[27]      0.01      0.00      0.01      0.00      0.02     95.16      1.04
   beta_1[28]      0.01      0.00      0.01      0.00      0.02     92.32      1.04
   beta_1[29]      0.01      0.00      0.01      0.00      0.02     91.60      1.03
   beta_1[30]      0.01      0.00      0.01      0.00      0.02     90.78      1.03
   beta_1[31]      0.01      0.00      0.01      0.00      0.02     89.62      1.03
   beta_1[32]      0.01      0.00      0.01      0.00      0.02     87.52      1.03
   beta_1[33]      0.01      0.00      0.01      0.00      0.02     89.96      1.03
   beta_1[34]      0.01      0.00      0.01      0.00      0.02     91.01      1.03
   beta_1[35]      0.01      0.00      0.01      0.00      0.02     90.50      1.03
   beta_1[36]      0.01      0.00      0.01      0.00      0.02     90.09      1.02
   beta_1[37]      0.01      0.00      0.01      0.00      0.02     89.16      1.02
   beta_1[38]      0.01      0.00      0.01      0.01      0.02     90.18      1.02
   beta_1[39]      0.01      0.01      0.01      0.01      0.02     90.05      1.02
   beta_1[40]      0.01      0.01      0.01      0.01      0.02     93.32      1.02
   beta_1[41]      0.01      0.01      0.02      0.01      0.02     93.01      1.02
   beta_1[42]      0.02      0.01      0.02      0.01      0.02     93.86      1.02
   beta_1[43]      0.02      0.01      0.02      0.01      0.02     96.51      1.02
   beta_1[44]      0.02      0.01      0.02      0.01      0.02    100.03      1.01
   beta_1[45]      0.02      0.01      0.02      0.01      0.02    101.51      1.01
   beta_1[46]      0.02      0.01      0.02      0.01      0.02    103.59      1.01
   beta_1[47]      0.02      0.01      0.02      0.01      0.03    102.08      1.01
   beta_1[48]      0.02      0.01      0.02      0.01      0.03    106.05      1.01
   beta_1[49]      0.02      0.01      0.02      0.01      0.03    108.04      1.01
   beta_1[50]      0.02      0.01      0.02      0.01      0.03    107.93      1.01
   beta_1[51]      0.02      0.01      0.02      0.01      0.03    112.38      1.01
   beta_1[52]      0.02      0.01      0.02      0.01      0.03    119.00      1.01
   beta_1[53]      0.02      0.01      0.02      0.01      0.03    121.46      1.01
   beta_1[54]      0.02      0.01      0.02      0.01      0.03    122.07      1.00
   beta_1[55]      0.02      0.01      0.02      0.01      0.03    123.65      1.00
   beta_1[56]      0.02      0.01      0.02      0.01      0.03    124.72      1.00
   beta_1[57]      0.02      0.01      0.02      0.01      0.03    129.24      1.00
   beta_1[58]      0.02      0.00      0.02      0.01      0.03    131.75      1.00
   beta_1[59]      0.02      0.00      0.02      0.01      0.03    133.83      1.00
   beta_1[60]      0.02      0.00      0.02      0.01      0.03    135.79      1.00
   beta_1[61]      0.02      0.00      0.02      0.01      0.03    136.89      1.00
   beta_1[62]      0.02      0.00      0.02      0.01      0.03    137.43      1.00
   beta_1[63]      0.02      0.00      0.02      0.01      0.03    145.04      1.00
   beta_1[64]      0.02      0.00      0.02      0.01      0.03    147.02      1.00
   beta_1[65]      0.02      0.00      0.02      0.02      0.03    148.98      1.00
   beta_1[66]      0.02      0.00      0.02      0.02      0.03    152.90      1.00
   beta_1[67]      0.02      0.00      0.02      0.02      0.03    153.77      1.00
   beta_1[68]      0.02      0.00      0.02      0.02      0.03    155.61      1.00
   beta_1[69]      0.02      0.00      0.02      0.02      0.03    161.45      1.00
   beta_1[70]      0.02      0.00      0.02      0.02      0.03    168.23      1.00
   beta_1[71]      0.03      0.00      0.03      0.02      0.03    168.30      1.00
   beta_1[72]      0.03      0.00      0.03      0.02      0.03    170.30      1.00
   beta_1[73]      0.03      0.00      0.03      0.02      0.03    171.77      1.00
   beta_1[74]      0.03      0.00      0.03      0.02      0.03    177.60      1.00
   beta_1[75]      0.03      0.00      0.03      0.02      0.03    181.64      1.00
   beta_1[76]      0.03      0.00      0.03      0.02      0.03    184.17      1.00
   beta_1[77]      0.03      0.00      0.03      0.02      0.03    186.39      1.00
   beta_1[78]      0.03      0.00      0.03      0.02      0.03    187.44      1.00
   beta_1[79]      0.03      0.00      0.03      0.02      0.03    188.83      1.00
   beta_1[80]      0.03      0.00      0.03      0.02      0.03    200.37      1.00
   beta_1[81]      0.03      0.00      0.03      0.02      0.03    216.01      1.00
   beta_1[82]      0.03      0.00      0.03      0.02      0.03    232.68      1.00
   beta_1[83]      0.03      0.00      0.03      0.02      0.03    246.51      1.00
   beta_1[84]      0.03      0.00      0.03      0.02      0.03    260.58      1.00
   beta_1[85]      0.03      0.00      0.03      0.02      0.03    281.63      1.00
   beta_1[86]      0.03      0.00      0.03      0.03      0.03    306.92      1.00
   beta_1[87]      0.03      0.00      0.03      0.03      0.03    326.63      1.00
   beta_1[88]      0.03      0.00      0.03      0.03      0.03    390.42      1.00
   beta_1[89]      0.03      0.00      0.03      0.02      0.03    412.05      1.00
   beta_1[90]      0.03      0.00      0.03      0.02      0.03    440.18      1.00
   beta_1[91]      0.03      0.00      0.03      0.02      0.03    484.40      1.00
   beta_1[92]      0.03      0.00      0.03      0.02      0.03    521.40      1.00
   beta_1[93]      0.03      0.00      0.03      0.02      0.03    555.60      1.00
   beta_1[94]      0.03      0.00      0.03      0.02      0.03    570.23      1.00
   beta_1[95]      0.03      0.00      0.03      0.02      0.03    585.57      1.00
   beta_1[96]      0.03      0.00      0.03      0.02      0.03    601.30      1.00
   beta_1[97]      0.02      0.00      0.02      0.02      0.03    625.66      1.00
   beta_1[98]      0.02      0.00      0.02      0.02      0.03    655.05      1.00
   beta_1[99]      0.02      0.00      0.02      0.02      0.03    685.22      1.00
  beta_1[100]      0.02      0.00      0.02      0.02      0.03    696.04      1.00
  beta_1[101]      0.02      0.00      0.02      0.02      0.03    709.55      1.00
  beta_1[102]      0.02      0.00      0.02      0.02      0.02    691.51      1.00
  beta_1[103]      0.02      0.00      0.02      0.02      0.02    738.09      1.00
  beta_1[104]      0.02      0.00      0.02      0.02      0.02    859.56      1.00
  beta_1[105]      0.02      0.00      0.02      0.02      0.02    951.95      1.00
  beta_1[106]      0.02      0.00      0.02      0.02      0.02    970.97      1.00
  beta_1[107]      0.02      0.00      0.02      0.01      0.02    955.54      1.00
  beta_1[108]      0.02      0.00      0.02      0.01      0.02    979.30      1.00
  beta_1[109]      0.02      0.00      0.02      0.01      0.02   1027.38      1.00
  beta_1[110]      0.02      0.00      0.02      0.01      0.02   1023.38      1.00
  beta_1[111]      0.02      0.00      0.02      0.01      0.02   1051.24      1.00
  beta_1[112]      0.02      0.00      0.02      0.01      0.02   1110.30      1.00
  beta_1[113]      0.02      0.00      0.02      0.01      0.02   1244.56      1.00
 transform[0]      0.02      0.95      0.02     -1.48      1.62   1214.20      1.00

Number of divergences: 396
