                     date locationtest  value abbreviation location  population
location_name                                                                  
Hawaii         2020-01-24           15      0           HI       15   1415872.0
Hawaii         2020-01-25           15      0           HI       15   1415872.0
Hawaii         2020-01-26           15      0           HI       15   1415872.0
Hawaii         2020-01-27           15      0           HI       15   1415872.0
Hawaii         2020-01-28           15      0           HI       15   1415872.0
...                   ...          ...    ...          ...      ...         ...
Hawaii         2021-01-07           15    287           HI       15   1415872.0
Hawaii         2021-01-08           15    283           HI       15   1415872.0
Hawaii         2021-01-09           15    228           HI       15   1415872.0
Hawaii         2021-01-10           15    178           HI       15   1415872.0
Hawaii         2021-01-11           15    162           HI       15   1415872.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1942.97      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2019.62      1.00
a_raw_init[2]      0.25      0.00      0.25      0.24      0.25   1777.95      1.00
a_raw_init[3]      0.33      0.00      0.33      0.33      0.34   1781.88      1.00
a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   1695.87      1.00
a_raw_init[5]      0.00      0.00      0.00      0.00      0.00   2046.50      1.00
a_raw_init[6]      0.04      0.00      0.04      0.04      0.05   1915.34      1.00
a_raw_init[7]      0.07      0.00      0.07      0.06      0.08   2227.31      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1522.86      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    999.80      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    745.77      1.01
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    543.26      1.01
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    466.19      1.01
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    421.53      1.01
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    352.83      1.01
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    292.76      1.02
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    262.49      1.02
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    273.78      1.02
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    253.44      1.02
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    233.10      1.03
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    212.82      1.03
   beta_1[13]      0.01      0.00      0.01     -0.00      0.01    195.03      1.03
   beta_1[14]      0.01      0.00      0.01     -0.00      0.01    192.32      1.03
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    186.51      1.03
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    184.84      1.03
   beta_1[17]      0.01      0.00      0.01      0.00      0.01    178.44      1.03
   beta_1[18]      0.01      0.00      0.01      0.00      0.01    168.32      1.03
   beta_1[19]      0.01      0.00      0.01      0.00      0.01    163.41      1.03
   beta_1[20]      0.01      0.00      0.01      0.00      0.01    157.84      1.03
   beta_1[21]      0.01      0.00      0.01      0.00      0.01    162.19      1.03
   beta_1[22]      0.01      0.00      0.01      0.00      0.02    158.83      1.03
   beta_1[23]      0.01      0.00      0.01      0.00      0.02    158.69      1.03
   beta_1[24]      0.01      0.00      0.01      0.00      0.02    160.51      1.03
   beta_1[25]      0.01      0.00      0.01      0.00      0.02    156.70      1.03
   beta_1[26]      0.01      0.00      0.01      0.00      0.02    156.59      1.03
   beta_1[27]      0.01      0.00      0.01      0.00      0.02    156.66      1.03
   beta_1[28]      0.01      0.00      0.01      0.00      0.02    155.90      1.03
   beta_1[29]      0.01      0.00      0.01      0.00      0.02    151.23      1.03
   beta_1[30]      0.01      0.00      0.01      0.00      0.02    151.60      1.03
   beta_1[31]      0.01      0.00      0.01      0.00      0.02    152.97      1.03
   beta_1[32]      0.01      0.00      0.01      0.00      0.02    158.80      1.03
   beta_1[33]      0.01      0.00      0.01      0.00      0.02    162.60      1.03
   beta_1[34]      0.01      0.00      0.01      0.00      0.02    162.57      1.03
   beta_1[35]      0.01      0.00      0.01      0.01      0.02    162.26      1.03
   beta_1[36]      0.01      0.00      0.01      0.01      0.02    164.36      1.03
   beta_1[37]      0.01      0.00      0.01      0.01      0.02    165.53      1.03
   beta_1[38]      0.01      0.00      0.01      0.01      0.02    165.46      1.03
   beta_1[39]      0.01      0.00      0.02      0.01      0.02    164.95      1.03
   beta_1[40]      0.02      0.00      0.02      0.01      0.02    164.01      1.03
   beta_1[41]      0.02      0.00      0.02      0.01      0.02    163.50      1.03
   beta_1[42]      0.02      0.00      0.02      0.01      0.02    161.80      1.03
   beta_1[43]      0.02      0.00      0.02      0.01      0.02    162.23      1.03
   beta_1[44]      0.02      0.00      0.02      0.01      0.02    160.10      1.03
