                     date locationtest  value abbreviation location  population
location_name                                                                  
Idaho          2020-01-24           16      0           ID       16   1787065.0
Idaho          2020-01-25           16      0           ID       16   1787065.0
Idaho          2020-01-26           16      0           ID       16   1787065.0
Idaho          2020-01-27           16      0           ID       16   1787065.0
Idaho          2020-01-28           16      0           ID       16   1787065.0
...                   ...          ...    ...          ...      ...         ...
Idaho          2021-01-07           16   1067           ID       16   1787065.0
Idaho          2021-01-08           16   1085           ID       16   1787065.0
Idaho          2021-01-09           16    977           ID       16   1787065.0
Idaho          2021-01-10           16    432           ID       16   1787065.0
Idaho          2021-01-11           16    572           ID       16   1787065.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1975.56      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2017.22      1.00
a_raw_init[2]      0.16      0.00      0.16      0.16      0.17   1930.53      1.00
a_raw_init[3]      0.39      0.00      0.39      0.38      0.40   1859.88      1.00
a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   2040.79      1.00
a_raw_init[5]      0.15      0.00      0.15      0.14      0.15   1985.79      1.00
a_raw_init[6]      0.21      0.00      0.21      0.20      0.22   1867.28      1.00
a_raw_init[7]      0.24      0.01      0.24      0.23      0.24   2181.99      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1734.59      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1082.93      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00   1059.26      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    688.73      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    613.67      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    510.46      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    436.80      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    381.28      1.00
    beta_1[8]      0.00      0.00      0.00      0.00      0.01    336.85      1.00
    beta_1[9]      0.00      0.00      0.00      0.00      0.01    318.99      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    300.33      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    281.59      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    263.30      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    244.38      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    230.22      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    237.00      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    236.78      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.01    223.00      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    212.41      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    202.78      1.00
   beta_1[20]      0.01      0.00      0.01      0.00      0.02    202.88      1.00
   beta_1[21]      0.01      0.00      0.01      0.00      0.02    193.94      1.00
   beta_1[22]      0.01      0.00      0.01      0.00      0.02    188.06      1.00
   beta_1[23]      0.01      0.00      0.01      0.01      0.02    183.93      1.00
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    177.66      1.00
   beta_1[25]      0.01      0.00      0.01      0.01      0.02    178.98      1.01
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    172.98      1.00
   beta_1[27]      0.01      0.00      0.01      0.01      0.02    170.60      1.00
   beta_1[28]      0.01      0.00      0.01      0.01      0.02    174.54      1.00
   beta_1[29]      0.01      0.00      0.02      0.01      0.02    169.81      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    168.07      1.00
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    168.44      1.00
   beta_1[32]      0.02      0.00      0.02      0.01      0.02    166.66      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.02    164.82      1.00
   beta_1[34]      0.02      0.00      0.02      0.01      0.02    165.78      1.00
   beta_1[35]      0.02      0.00      0.02      0.01      0.03    167.29      1.00
   beta_1[36]      0.02      0.00      0.02      0.01      0.03    165.66      1.00
   beta_1[37]      0.02      0.00      0.02      0.01      0.03    166.53      1.00
   beta_1[38]      0.02      0.00      0.02      0.01      0.03    169.31      1.00
   beta_1[39]      0.02      0.00      0.02      0.01      0.03    169.82      1.00
   beta_1[40]      0.02      0.00      0.02      0.01      0.03    170.69      1.00
   beta_1[41]      0.02      0.00      0.02      0.01      0.03    165.21      1.00
   beta_1[42]      0.02      0.00      0.02      0.01      0.03    162.72      1.01
   beta_1[43]      0.02      0.00      0.02      0.01      0.03    162.68      1.01
   beta_1[44]      0.02      0.00      0.02      0.01      0.03    161.22      1.01
   beta_1[45]      0.02      0.00      0.02      0.02      0.03    164.08      1.01
   beta_1[46]      0.02      0.00      0.02      0.02      0.03    170.25      1.01
   beta_1[47]      0.02      0.00      0.02      0.02      0.03    172.63      1.01
   beta_1[48]      0.02      0.00      0.02      0.02      0.03    172.45      1.01
   beta_1[49]      0.02      0.00      0.02      0.02      0.03    168.49      1.01
   beta_1[50]      0.03      0.00      0.03      0.02      0.03    166.49      1.01
   beta_1[51]      0.03      0.00      0.03      0.02      0.03    167.25      1.01
   beta_1[52]      0.03      0.00      0.03      0.02      0.03    164.63      1.01
   beta_1[53]      0.03      0.00      0.03      0.02      0.03    165.35      1.01
   beta_1[54]      0.03      0.00      0.03      0.02      0.03    160.60      1.01
   beta_1[55]      0.03      0.00      0.03      0.02      0.03    158.96      1.01
   beta_1[56]      0.03      0.00      0.03      0.02      0.03    162.81      1.01
   beta_1[57]      0.03      0.00      0.03      0.02      0.04    165.32      1.01
   beta_1[58]      0.03      0.00      0.03      0.02      0.04    174.50      1.01
   beta_1[59]      0.03      0.00      0.03      0.02      0.04    182.12      1.00
   beta_1[60]      0.03      0.00      0.03      0.02      0.04    174.68      1.01
   beta_1[61]      0.03      0.00      0.03      0.02      0.04    175.57      1.01
   beta_1[62]      0.03      0.00      0.03      0.03      0.04    171.80      1.00
   beta_1[63]      0.03      0.00      0.03      0.03      0.04    190.56      1.00
   beta_1[64]      0.03      0.00      0.03      0.03      0.04    195.86      1.00
   beta_1[65]      0.03      0.00      0.03      0.03      0.04    197.83      1.00
   beta_1[66]      0.03      0.00      0.03      0.03      0.04    208.85      1.00
   beta_1[67]      0.03      0.00      0.03      0.03      0.04    210.54      1.00
   beta_1[68]      0.03      0.00      0.03      0.03      0.04    215.36      1.00
   beta_1[69]      0.03      0.00      0.03      0.03      0.04    234.57      1.00
   beta_1[70]      0.03      0.00      0.03      0.03      0.04    254.49      1.00
   beta_1[71]      0.04      0.00      0.04      0.03      0.04    251.92      1.00
   beta_1[72]      0.04      0.00      0.04      0.03      0.04    243.85      1.00
   beta_1[73]      0.04      0.00      0.04      0.03      0.04    257.90      1.00
   beta_1[74]      0.04      0.00      0.04      0.03      0.04    278.58      1.00
   beta_1[75]      0.04      0.00      0.04      0.03      0.04    289.95      1.00
   beta_1[76]      0.04      0.00      0.04      0.03      0.04    298.75      1.00
   beta_1[77]      0.04      0.00      0.04      0.03      0.04    348.10      1.00
   beta_1[78]      0.04      0.00      0.04      0.03      0.04    361.72      1.00
   beta_1[79]      0.04      0.00      0.04      0.03      0.04    428.24      1.00
   beta_1[80]      0.04      0.00      0.04      0.03      0.04    437.69      1.00
   beta_1[81]      0.04      0.00      0.04      0.03      0.04    508.31      1.00
   beta_1[82]      0.04      0.00      0.04      0.03      0.04    587.32      1.00
   beta_1[83]      0.04      0.00      0.04      0.03      0.04    607.34      1.00
   beta_1[84]      0.03      0.00      0.03      0.03      0.04    704.08      1.00
   beta_1[85]      0.03      0.00      0.03      0.03      0.04    722.29      1.00
   beta_1[86]      0.03      0.00      0.03      0.03      0.04    793.53      1.00
   beta_1[87]      0.03      0.00      0.03      0.03      0.04    831.50      1.00
   beta_1[88]      0.03      0.00      0.03      0.03      0.03    846.73      1.00
   beta_1[89]      0.03      0.00      0.03      0.03      0.03    842.47      1.00
   beta_1[90]      0.03      0.00      0.03      0.02      0.03    825.33      1.00
   beta_1[91]      0.03      0.00      0.03      0.02      0.03    864.04      1.00
   beta_1[92]      0.03      0.00      0.03      0.02      0.03    887.51      1.00
   beta_1[93]      0.02      0.00      0.02      0.02      0.03    862.80      1.00
   beta_1[94]      0.02      0.00      0.02      0.02      0.03    861.55      1.00
   beta_1[95]      0.02      0.00      0.02      0.02      0.03    887.94      1.00
   beta_1[96]      0.02      0.00      0.02      0.02      0.03    892.50      1.00
   beta_1[97]      0.02      0.00      0.02      0.02      0.02    947.62      1.00
   beta_1[98]      0.02      0.00      0.02      0.02      0.02    923.67      1.00
   beta_1[99]      0.02      0.00      0.02      0.01      0.02    942.67      1.00
  beta_1[100]      0.02      0.00      0.02      0.01      0.02    919.08      1.00
  beta_1[101]      0.02      0.00      0.02      0.01      0.02    967.76      1.00
  beta_1[102]      0.02      0.00      0.02      0.01      0.02    926.42      1.00
  beta_1[103]      0.02      0.00      0.02      0.01      0.02    960.14      1.00
  beta_1[104]      0.01      0.00      0.01      0.01      0.02    906.81      1.00
  beta_1[105]      0.01      0.00      0.01      0.01      0.02    917.58      1.00
  beta_1[106]      0.01      0.00      0.01      0.01      0.02    793.51      1.00
  beta_1[107]      0.01      0.00      0.01      0.01      0.02    916.90      1.00
  beta_1[108]      0.01      0.00      0.01      0.01      0.02    907.52      1.00
  beta_1[109]      0.01      0.00      0.01      0.01      0.02    921.17      1.00
  beta_1[110]      0.01      0.00      0.01      0.01      0.02    949.80      1.00
  beta_1[111]      0.01      0.00      0.01      0.01      0.02    934.69      1.00
  beta_1[112]      0.01      0.00      0.01      0.01      0.02   1026.03      1.00
  beta_1[113]      0.01      0.00      0.01      0.01      0.01   1015.68      1.00
  beta_1[114]      0.01      0.00      0.01      0.01      0.01   1062.70      1.00
  beta_1[115]      0.01      0.00      0.01      0.01      0.01    991.36      1.00
  beta_1[116]      0.01      0.00      0.01      0.01      0.01   1046.65      1.00
  beta_1[117]      0.01      0.00      0.01      0.01      0.01   1030.60      1.00
  beta_1[118]      0.01      0.00      0.01      0.01      0.01    997.86      1.00
  beta_1[119]      0.01      0.00      0.01      0.01      0.01    983.82      1.00
  beta_1[120]      0.01      0.00      0.01      0.01      0.01    945.98      1.00
  beta_1[121]      0.01      0.00      0.01      0.00      0.01   1055.47      1.00
  beta_1[122]      0.01      0.00      0.01      0.00      0.01    960.95      1.00
  beta_1[123]      0.01      0.00      0.01      0.00      0.01   1001.49      1.00
  beta_1[124]      0.01      0.00      0.01      0.00      0.01    822.92      1.00
  beta_1[125]      0.01      0.00      0.01      0.00      0.01    810.63      1.00
  beta_1[126]      0.01      0.00      0.01      0.00      0.01    946.71      1.00
  beta_1[127]      0.01      0.00      0.01      0.00      0.01   1098.37      1.00
  beta_1[128]      0.00      0.00      0.00      0.00      0.01   1044.39      1.00
  beta_1[129]      0.00      0.00      0.00      0.00      0.01   1118.56      1.00
  beta_1[130]      0.00      0.00      0.00      0.00      0.01   1173.35      1.00
  beta_1[131]      0.00      0.00      0.00      0.00      0.01   1117.87      1.00
  beta_1[132]      0.00      0.00      0.00     -0.00      0.01    984.34      1.00
  beta_1[133]      0.00      0.00      0.00     -0.00      0.01   1182.84      1.00
  beta_1[134]      0.00      0.00      0.00     -0.00      0.01   1256.77      1.00
 transform[0]     -0.02      0.96     -0.03     -1.58      1.58   2015.13      1.00

Number of divergences: 37
