                     date locationtest  value abbreviation location  population
location_name                                                                  
Indiana        2020-01-24           18      0           IN       18   6732219.0
Indiana        2020-01-25           18      0           IN       18   6732219.0
Indiana        2020-01-26           18      0           IN       18   6732219.0
Indiana        2020-01-27           18      0           IN       18   6732219.0
Indiana        2020-01-28           18      0           IN       18   6732219.0
...                   ...          ...    ...          ...      ...         ...
Indiana        2021-01-07           18   7270           IN       18   6732219.0
Indiana        2021-01-08           18   6095           IN       18   6732219.0
Indiana        2021-01-09           18   5966           IN       18   6732219.0
Indiana        2021-01-10           18   5093           IN       18   6732219.0
Indiana        2021-01-11           18   3685           IN       18   6732219.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2021.84      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1957.49      1.00
a_raw_init[2]      0.07      0.00      0.07      0.07      0.08   1461.49      1.00
a_raw_init[3]      0.63      0.00      0.63      0.62      0.64   1309.97      1.00
a_raw_init[4]      0.70      0.01      0.70      0.69      0.71   1345.14      1.00
a_raw_init[5]      0.50      0.01      0.50      0.49      0.50   1416.66      1.00
a_raw_init[6]      0.46      0.00      0.46      0.45      0.46   1751.10      1.00
a_raw_init[7]      0.44      0.01      0.44      0.43      0.45   1781.24      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1563.92      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    906.54      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    753.53      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    636.30      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.00    534.41      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    495.69      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    465.87      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    422.89      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    366.75      1.00
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    353.11      1.00
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    332.03      1.00
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    324.30      1.00
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    313.16      1.00
   beta_1[13]      0.00      0.00      0.00     -0.00      0.01    294.52      1.00
   beta_1[14]      0.00      0.00      0.00     -0.00      0.01    306.50      1.00
   beta_1[15]      0.00      0.00      0.00     -0.00      0.01    301.76      1.00
   beta_1[16]      0.00      0.00      0.00     -0.00      0.01    290.49      1.00
   beta_1[17]      0.00      0.00      0.00     -0.00      0.01    287.89      1.00
   beta_1[18]      0.00      0.00      0.00     -0.00      0.01    282.44      1.00
   beta_1[19]      0.00      0.00      0.01     -0.00      0.01    278.07      1.00
   beta_1[20]      0.01      0.00      0.01     -0.00      0.01    267.48      1.00
   beta_1[21]      0.01      0.00      0.01     -0.00      0.01    261.96      1.00
   beta_1[22]      0.01      0.00      0.01     -0.00      0.01    253.54      1.00
   beta_1[23]      0.01      0.00      0.01     -0.00      0.01    242.74      1.00
   beta_1[24]      0.01      0.00      0.01     -0.00      0.01    230.69      1.00
   beta_1[25]      0.01      0.00      0.01     -0.00      0.01    226.39      1.00
