                     date locationtest  value abbreviation location  population
location_name                                                                  
Missouri       2020-01-24           29      0           MO       29   6626371.0
Missouri       2020-01-25           29      0           MO       29   6626371.0
Missouri       2020-01-26           29      0           MO       29   6626371.0
Missouri       2020-01-27           29      0           MO       29   6626371.0
Missouri       2020-01-28           29      0           MO       29   6626371.0
...                   ...          ...    ...          ...      ...         ...
Missouri       2021-01-07           29   4740           MO       29   6626371.0
Missouri       2021-01-08           29   4098           MO       29   6626371.0
Missouri       2021-01-09           29   3937           MO       29   6626371.0
Missouri       2021-01-10           29   2768           MO       29   6626371.0
Missouri       2021-01-11           29   1750           MO       29   6626371.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1774.51      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2042.40      1.00
a_raw_init[2]      0.15      0.00      0.15      0.14      0.15   1529.59      1.00
a_raw_init[3]      0.68      0.00      0.68      0.67      0.69   1544.39      1.00
a_raw_init[4]      0.33      0.01      0.33      0.32      0.34   1233.95      1.00
a_raw_init[5]      0.33      0.01      0.33      0.32      0.34   1289.70      1.00
a_raw_init[6]      0.47      0.00      0.47      0.46      0.47   2098.18      1.00
a_raw_init[7]      0.53      0.01      0.53      0.52      0.54   2298.29      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1836.64      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1116.40      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    831.54      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    597.40      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    507.81      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    461.05      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    397.13      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    357.82      1.00
    beta_1[8]      0.00      0.00      0.00      0.00      0.01    327.90      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    303.23      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    294.98      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    285.64      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    262.03      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    261.66      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    253.23      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    240.02      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.02    232.67      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    215.94      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    211.84      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    216.17      1.00
   beta_1[20]      0.01      0.00      0.01      0.01      0.02    210.23      1.00
   beta_1[21]      0.01      0.00      0.01      0.00      0.02    206.31      1.00
   beta_1[22]      0.01      0.00      0.01      0.00      0.02    199.55      1.00
   beta_1[23]      0.01      0.00      0.01      0.01      0.02    200.24      1.00
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    197.68      1.00
   beta_1[25]      0.01      0.00      0.01      0.01      0.02    193.99      1.00
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    189.69      1.00
   beta_1[27]      0.02      0.00      0.02      0.01      0.02    188.21      1.00
   beta_1[28]      0.02      0.00      0.02      0.01      0.02    186.49      1.00
   beta_1[29]      0.02      0.00      0.02      0.01      0.02    185.98      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    184.96      1.00
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    179.45      1.00
   beta_1[32]      0.02      0.00      0.02      0.01      0.03    182.03      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.03    177.71      1.00
