                     date locationtest  value abbreviation location  population
location_name                                                                  
Tennessee      2020-01-24           47      0           TN       47   6829174.0
Tennessee      2020-01-25           47      0           TN       47   6829174.0
Tennessee      2020-01-26           47      0           TN       47   6829174.0
Tennessee      2020-01-27           47      0           TN       47   6829174.0
Tennessee      2020-01-28           47      0           TN       47   6829174.0
...                   ...          ...    ...          ...      ...         ...
Tennessee      2021-01-07           47   8857           TN       47   6829174.0
Tennessee      2021-01-08           47   6369           TN       47   6829174.0
Tennessee      2021-01-09           47   5844           TN       47   6829174.0
Tennessee      2021-01-10           47   7419           TN       47   6829174.0
Tennessee      2021-01-11           47   3527           TN       47   6829174.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1772.20      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2028.93      1.00
a_raw_init[2]      0.09      0.00      0.09      0.08      0.09   1302.75      1.00
a_raw_init[3]      0.14      0.00      0.14      0.13      0.14   1221.71      1.00
a_raw_init[4]      0.29      0.01      0.29      0.28      0.30   1111.15      1.00
a_raw_init[5]      0.12      0.01      0.12      0.11      0.13   1150.16      1.00
a_raw_init[6]      0.28      0.00      0.28      0.27      0.29   1853.13      1.00
a_raw_init[7]      0.33      0.01      0.33      0.33      0.34   1270.22      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1673.59      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1192.53      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    677.76      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    708.88      1.00
    beta_1[4]      0.00      0.00      0.00      0.00      0.01    614.05      1.00
    beta_1[5]      0.00      0.00      0.00      0.00      0.01    557.56      1.00
    beta_1[6]      0.01      0.00      0.01      0.00      0.01    523.46      1.00
    beta_1[7]      0.01      0.00      0.01      0.00      0.01    450.20      1.00
    beta_1[8]      0.01      0.00      0.01      0.00      0.01    409.73      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    369.66      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    338.15      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    311.85      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    282.82      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.02    278.41      1.00
   beta_1[14]      0.01      0.00      0.01      0.01      0.02    236.30      1.00
   beta_1[15]      0.01      0.00      0.01      0.01      0.02    217.12      1.00
   beta_1[16]      0.01      0.00      0.01      0.01      0.02    215.40      1.00
   beta_1[17]      0.01      0.00      0.01      0.01      0.02    207.35      1.01
   beta_1[18]      0.01      0.00      0.01      0.01      0.02    198.51      1.01
   beta_1[19]      0.01      0.00      0.01      0.01      0.02    198.78      1.01
   beta_1[20]      0.02      0.00      0.02      0.01      0.02    198.23      1.00
   beta_1[21]      0.02      0.00      0.02      0.01      0.02    194.60      1.00
   beta_1[22]      0.02      0.00      0.02      0.01      0.02    194.27      1.01
   beta_1[23]      0.02      0.00      0.02      0.01      0.02    182.80      1.00
   beta_1[24]      0.02      0.00      0.02      0.01      0.03    177.95      1.00
   beta_1[25]      0.02      0.00      0.02      0.01      0.03    175.76      1.00
   beta_1[26]      0.02      0.00      0.02      0.01      0.03    172.95      1.00
   beta_1[27]      0.02      0.00      0.02      0.01      0.03    171.67      1.01
   beta_1[28]      0.02      0.00      0.02      0.01      0.03    172.90      1.00
