                     date locationtest  value abbreviation location  population
location_name                                                                  
Washington     2020-01-24           53      0           WA       53   7614893.0
Washington     2020-01-25           53      0           WA       53   7614893.0
Washington     2020-01-26           53      0           WA       53   7614893.0
Washington     2020-01-27           53      0           WA       53   7614893.0
Washington     2020-01-28           53      0           WA       53   7614893.0
...                   ...          ...    ...          ...      ...         ...
Washington     2021-01-07           53   3260           WA       53   7614893.0
Washington     2021-01-08           53   4595           WA       53   7614893.0
Washington     2021-01-09           53   2988           WA       53   7614893.0
Washington     2021-01-10           53      0           WA       53   7614893.0
Washington     2021-01-11           53   5091           WA       53   7614893.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2013.66      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1517.65      1.00
a_raw_init[2]      0.48      0.00      0.48      0.47      0.48   1347.96      1.00
a_raw_init[3]      0.47      0.00      0.47      0.46      0.47   1066.14      1.00
a_raw_init[4]      0.21      0.01      0.21      0.20      0.21    999.28      1.00
a_raw_init[5]      0.28      0.01      0.28      0.27      0.29   1234.65      1.00
a_raw_init[6]      0.40      0.00      0.40      0.39      0.41   1978.45      1.00
a_raw_init[7]      0.45      0.01      0.45      0.45      0.46   2129.26      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1445.85      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1001.04      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    739.67      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    617.84      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    538.09      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    503.21      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    435.52      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    412.02      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    371.83      1.00
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    346.97      1.00
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    323.00      1.00
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    306.90      1.00
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    287.04      1.00
   beta_1[13]      0.01      0.00      0.01     -0.00      0.01    272.78      1.00
   beta_1[14]      0.01      0.00      0.01     -0.00      0.01    267.57      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    257.16      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    253.87      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.01    250.50      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.01    257.32      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.01    255.85      1.00
   beta_1[20]      0.01      0.00      0.01      0.00      0.01    250.73      1.00
   beta_1[21]      0.01      0.00      0.01      0.00      0.01    247.02      1.00
   beta_1[22]      0.01      0.00      0.01      0.00      0.01    244.23      1.00
   beta_1[23]      0.01      0.00      0.01      0.00      0.02    233.41      1.00
   beta_1[24]      0.01      0.00      0.01      0.00      0.02    230.84      1.00
   beta_1[25]      0.01      0.00      0.01      0.00      0.02    220.37      1.00
   beta_1[26]      0.01      0.00      0.01      0.00      0.02    220.02      1.00
   beta_1[27]      0.01      0.00      0.01      0.00      0.02    220.64      1.00
   beta_1[28]      0.01      0.00      0.01      0.00      0.02    225.06      1.00
   beta_1[29]      0.01      0.00      0.01      0.00      0.02    217.92      1.00
   beta_1[30]      0.01      0.00      0.01      0.00      0.02    218.61      1.00
   beta_1[31]      0.01      0.00      0.01      0.00      0.02    212.24      1.00
   beta_1[32]      0.01      0.00      0.01      0.01      0.02    205.85      1.00
   beta_1[33]      0.01      0.00      0.01      0.01      0.02    207.63      1.01
   beta_1[34]      0.01      0.00      0.01      0.01      0.02    201.94      1.01
   beta_1[35]      0.01      0.00      0.01      0.01      0.02    210.56      1.01
   beta_1[36]      0.01      0.00      0.01      0.01      0.02    212.54      1.00
   beta_1[37]      0.01      0.00      0.01      0.01      0.02    211.08      1.00
   beta_1[38]      0.01      0.00      0.01      0.01      0.02    207.35      1.00
   beta_1[39]      0.01      0.00      0.02      0.01      0.02    205.71      1.00
   beta_1[40]      0.02      0.00      0.02      0.01      0.02    210.34      1.00
   beta_1[41]      0.02      0.00      0.02      0.01      0.02    209.14      1.00
   beta_1[42]      0.02      0.00      0.02      0.01      0.02    207.05      1.01
   beta_1[43]      0.02      0.00      0.02      0.01      0.02    204.90      1.00
   beta_1[44]      0.02      0.00      0.02      0.01      0.02    203.08      1.00
   beta_1[45]      0.02      0.00      0.02      0.01      0.02    202.98      1.00
   beta_1[46]      0.02      0.00      0.02      0.01      0.02    211.35      1.00
   beta_1[47]      0.02      0.00      0.02      0.01      0.03    213.03      1.00
   beta_1[48]      0.02      0.00      0.02      0.01      0.03    219.48      1.00
   beta_1[49]      0.02      0.00      0.02      0.01      0.03    225.77      1.00
   beta_1[50]      0.02      0.00      0.02      0.01      0.03    234.20      1.00
   beta_1[51]      0.02      0.00      0.02      0.01      0.03    247.50      1.00
   beta_1[52]      0.02      0.00      0.02      0.01      0.03    258.38      1.00
   beta_1[53]      0.02      0.00      0.02      0.01      0.03    262.77      1.00
   beta_1[54]      0.02      0.00      0.02      0.02      0.03    276.27      1.00
   beta_1[55]      0.02      0.00      0.02      0.02      0.03    284.55      1.00
   beta_1[56]      0.02      0.00      0.02      0.02      0.03    283.96      1.00
   beta_1[57]      0.02      0.00      0.02      0.02      0.03    285.56      1.00
   beta_1[58]      0.02      0.00      0.02      0.02      0.03    301.11      1.00
   beta_1[59]      0.02      0.00      0.02      0.02      0.03    332.93      1.00
   beta_1[60]      0.02      0.00      0.02      0.02      0.03    354.10      1.00
   beta_1[61]      0.02      0.00      0.02      0.02      0.03    337.86      1.00
   beta_1[62]      0.02      0.00      0.02      0.02      0.03    366.49      1.00
   beta_1[63]      0.02      0.00      0.02      0.02      0.03    395.78      1.00
   beta_1[64]      0.02      0.00      0.02      0.02      0.03    412.41      1.00
   beta_1[65]      0.02      0.00      0.02      0.02      0.03    437.75      1.00
   beta_1[66]      0.02      0.00      0.02      0.02      0.03    468.52      1.00
   beta_1[67]      0.02      0.00      0.02      0.02      0.03    509.93      1.00
   beta_1[68]      0.03      0.00      0.03      0.02      0.03    549.81      1.00
   beta_1[69]      0.02      0.00      0.02      0.02      0.03    573.28      1.00
   beta_1[70]      0.02      0.00      0.02      0.02      0.03    604.61      1.00
   beta_1[71]      0.02      0.00      0.02      0.02      0.03    623.00      1.00
   beta_1[72]      0.02      0.00      0.02      0.02      0.03    650.54      1.00
   beta_1[73]      0.02      0.00      0.02      0.02      0.03    685.68      1.00
   beta_1[74]      0.02      0.00      0.02      0.02      0.02    713.85      1.00
   beta_1[75]      0.02      0.00      0.02      0.02      0.02    805.51      1.00
   beta_1[76]      0.02      0.00      0.02      0.02      0.02    866.04      1.00
   beta_1[77]      0.02      0.00      0.02      0.02      0.02    893.50      1.00
   beta_1[78]      0.02      0.00      0.02      0.01      0.02    928.64      1.00
   beta_1[79]      0.02      0.00      0.02      0.01      0.02    945.29      1.00
   beta_1[80]      0.02      0.00      0.02      0.01      0.02    975.92      1.00
   beta_1[81]      0.02      0.00      0.02      0.01      0.02   1078.25      1.00
   beta_1[82]      0.02      0.00      0.02      0.01      0.02   1122.46      1.00
   beta_1[83]      0.01      0.00      0.01      0.01      0.02   1149.33      1.00
   beta_1[84]      0.01      0.00      0.01      0.01      0.02   1253.67      1.00
   beta_1[85]      0.01      0.00      0.01      0.01      0.02   1157.38      1.00
   beta_1[86]      0.01      0.00      0.01      0.01      0.02   1188.61      1.00
   beta_1[87]      0.01      0.00      0.01      0.01      0.02   1380.36      1.00
   beta_1[88]      0.01      0.00      0.01      0.01      0.01   1248.46      1.00
   beta_1[89]      0.01      0.00      0.01      0.01      0.01   1347.82      1.00
   beta_1[90]      0.01      0.00      0.01      0.01      0.01   1369.31      1.00
   beta_1[91]      0.01      0.00      0.01      0.01      0.01   1391.96      1.00
   beta_1[92]      0.01      0.00      0.01      0.01      0.01   1259.62      1.00
   beta_1[93]      0.01      0.00      0.01      0.01      0.01   1210.32      1.00
   beta_1[94]      0.01      0.00      0.01      0.01      0.01   1370.46      1.00
   beta_1[95]      0.01      0.00      0.01      0.01      0.01   1306.58      1.00
   beta_1[96]      0.01      0.00      0.01      0.01      0.01   1599.78      1.00
   beta_1[97]      0.01      0.00      0.01      0.00      0.01   1599.49      1.00
   beta_1[98]      0.01      0.00      0.01      0.00      0.01   1713.88      1.00
   beta_1[99]      0.01      0.00      0.01      0.00      0.01   1683.59      1.00
  beta_1[100]      0.01      0.00      0.01      0.00      0.01   1658.69      1.00
  beta_1[101]      0.01      0.00      0.01      0.00      0.01   1830.79      1.00
  beta_1[102]      0.01      0.00      0.01      0.00      0.01   1894.31      1.00
  beta_1[103]      0.01      0.00      0.01      0.00      0.01   1845.43      1.00
  beta_1[104]      0.01      0.00      0.01      0.00      0.01   1929.20      1.00
  beta_1[105]      0.01      0.00      0.01      0.00      0.01   1854.93      1.00
  beta_1[106]      0.01      0.00      0.01      0.00      0.01   1914.87      1.00
  beta_1[107]      0.01      0.00      0.01      0.00      0.01   1888.31      1.00
  beta_1[108]      0.01      0.00      0.01      0.00      0.01   2087.19      1.00
  beta_1[109]      0.01      0.00      0.01      0.00      0.01   2162.91      1.00
  beta_1[110]      0.01      0.00      0.01      0.00      0.01   2138.50      1.00
  beta_1[111]      0.00      0.00      0.00      0.00      0.01   2164.16      1.00
  beta_1[112]      0.00      0.00      0.00      0.00      0.01   2162.56      1.00
  beta_1[113]      0.00      0.00      0.00      0.00      0.01   2292.05      1.00
  beta_1[114]      0.00      0.00      0.00      0.00      0.01   2167.76      1.00
  beta_1[115]      0.00      0.00      0.00      0.00      0.01   2105.75      1.00
  beta_1[116]      0.00      0.00      0.00      0.00      0.01   1989.02      1.00
  beta_1[117]      0.00      0.00      0.00      0.00      0.01   2017.32      1.00
  beta_1[118]      0.00      0.00      0.00      0.00      0.01   2012.92      1.00
  beta_1[119]      0.00      0.00      0.00      0.00      0.01   2021.66      1.00
  beta_1[120]      0.00      0.00      0.00      0.00      0.01   1743.85      1.00
  beta_1[121]      0.00      0.00      0.00      0.00      0.01   1963.31      1.00
  beta_1[122]      0.00      0.00      0.00      0.00      0.01   2144.15      1.00
  beta_1[123]      0.00      0.00      0.00      0.00      0.01   2291.83      1.00
  beta_1[124]      0.00      0.00      0.00      0.00      0.00   2169.07      1.00
  beta_1[125]      0.00      0.00      0.00      0.00      0.00   2326.11      1.00
  beta_1[126]      0.00      0.00      0.00      0.00      0.00   2430.10      1.00
  beta_1[127]      0.00      0.00      0.00      0.00      0.00   2323.05      1.00
  beta_1[128]      0.00      0.00      0.00      0.00      0.00   2438.20      1.00
  beta_1[129]      0.00      0.00      0.00      0.00      0.00   2466.71      1.00
  beta_1[130]      0.00      0.00      0.00      0.00      0.00   2278.53      1.00
  beta_1[131]      0.00      0.00      0.00      0.00      0.00   2086.14      1.00
  beta_1[132]      0.00      0.00      0.00     -0.00      0.00   2456.84      1.00
  beta_1[133]      0.00      0.00      0.00     -0.00      0.00   2168.58      1.00
  beta_1[134]      0.00      0.00      0.00     -0.00      0.00   2172.08      1.00
 transform[0]      0.01      0.97     -0.01     -1.60      1.56   2169.35      1.00

Number of divergences: 27
