                     date locationtest  value abbreviation location  population
location_name                                                                  
Alaska         2020-01-24           02      0           AK       02    731545.0
Alaska         2020-01-25           02      0           AK       02    731545.0
Alaska         2020-01-26           02      0           AK       02    731545.0
Alaska         2020-01-27           02      0           AK       02    731545.0
Alaska         2020-01-28           02      0           AK       02    731545.0
...                   ...          ...    ...          ...      ...         ...
Alaska         2021-01-07           02    329           AK       02    731545.0
Alaska         2021-01-08           02    411           AK       02    731545.0
Alaska         2021-01-09           02    319           AK       02    731545.0
Alaska         2021-01-10           02    260           AK       02    731545.0
Alaska         2021-01-11           02    176           AK       02    731545.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2035.66      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2037.89      1.00
a_raw_init[2]      0.24      0.00      0.24      0.23      0.25   1593.29      1.00
a_raw_init[3]      0.38      0.00      0.38      0.37      0.39   1696.26      1.00
a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   2060.99      1.00
a_raw_init[5]      0.03      0.00      0.03      0.03      0.04   1273.16      1.00
a_raw_init[6]      0.49      0.01      0.49      0.48      0.50   1063.62      1.00
a_raw_init[7]      0.76      0.01      0.76      0.75      0.77   1185.59      1.00
a_raw_init[8]      0.78      0.01      0.78      0.77      0.79   1351.77      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00    798.27      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    638.98      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    495.14      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    390.49      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    332.71      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    279.68      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    274.95      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    250.92      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    255.41      1.00
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    231.00      1.00
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    225.35      1.00
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    213.48      1.00
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    188.27      1.00
   beta_1[13]      0.00      0.00      0.00     -0.00      0.01    173.46      1.00
   beta_1[14]      0.00      0.00      0.00     -0.00      0.01    160.46      1.00
   beta_1[15]      0.00      0.00      0.00     -0.00      0.01    156.47      1.00
   beta_1[16]      0.00      0.00      0.00     -0.00      0.01    150.35      1.00
   beta_1[17]      0.00      0.00      0.00     -0.00      0.01    141.79      1.00
   beta_1[18]      0.01      0.00      0.01     -0.00      0.01    131.44      1.00
   beta_1[19]      0.01      0.00      0.01     -0.00      0.01    121.73      1.00
   beta_1[20]      0.01      0.00      0.01     -0.00      0.01    122.65      1.00
   beta_1[21]      0.01      0.00      0.01     -0.00      0.01    115.28      1.00
   beta_1[22]      0.01      0.00      0.01     -0.00      0.01    111.70      1.00
   beta_1[23]      0.01      0.00      0.01     -0.00      0.01    113.18      1.00
   beta_1[24]      0.01      0.00      0.01     -0.00      0.01    113.67      1.00
   beta_1[25]      0.01      0.00      0.01     -0.00      0.01    108.71      1.00
   beta_1[26]      0.01      0.00      0.01     -0.00      0.01    108.55      1.00
   beta_1[27]      0.01      0.00      0.01      0.00      0.01    111.29      1.00
   beta_1[28]      0.01      0.00      0.01      0.00      0.01    114.38      1.00
   beta_1[29]      0.01      0.00      0.01      0.00      0.02    120.89      1.00
   beta_1[30]      0.01      0.00      0.01      0.00      0.02    121.60      1.00
   beta_1[31]      0.01      0.00      0.01      0.00      0.02    121.26      1.00
   beta_1[32]      0.01      0.00      0.01      0.00      0.02    120.16      1.00
   beta_1[33]      0.01      0.00      0.01      0.00      0.02    123.99      1.00
   beta_1[34]      0.01      0.00      0.01      0.00      0.02    121.50      1.00
   beta_1[35]      0.01      0.00      0.01      0.00      0.02    123.45      1.00
   beta_1[36]      0.01      0.00      0.01      0.00      0.02    125.45      1.00
   beta_1[37]      0.01      0.00      0.01      0.00      0.02    124.58      1.00
   beta_1[38]      0.01      0.00      0.01      0.00      0.02    126.12      1.00
   beta_1[39]      0.01      0.00      0.01      0.00      0.02    123.40      1.00
   beta_1[40]      0.01      0.00      0.01      0.00      0.02    123.93      1.00
   beta_1[41]      0.01      0.00      0.01      0.00      0.02    124.57      1.00
   beta_1[42]      0.01      0.00      0.01      0.00      0.02    125.35      1.00
   beta_1[43]      0.01      0.00      0.01      0.00      0.02    127.67      1.00
   beta_1[44]      0.01      0.00      0.01      0.00      0.02    127.69      1.00
   beta_1[45]      0.01      0.00      0.01      0.00      0.02    127.86      1.00
   beta_1[46]      0.01      0.00      0.01      0.01      0.02    131.68      1.00
   beta_1[47]      0.01      0.00      0.01      0.01      0.02    133.67      1.00
   beta_1[48]      0.01      0.00      0.01      0.01      0.02    137.64      1.00
   beta_1[49]      0.01      0.00      0.01      0.01      0.02    140.90      1.00
   beta_1[50]      0.01      0.00      0.01      0.01      0.02    144.59      1.00
   beta_1[51]      0.01      0.00      0.01      0.01      0.02    148.15      1.00
   beta_1[52]      0.01      0.00      0.01      0.01      0.02    151.56      1.00
   beta_1[53]      0.01      0.00      0.01      0.01      0.02    158.42      1.00
   beta_1[54]      0.01      0.00      0.02      0.01      0.02    163.11      1.00
