                     date locationtest  value abbreviation location  population
location_name                                                                  
Vermont        2020-01-24           50      0           VT       50    623989.0
Vermont        2020-01-25           50      0           VT       50    623989.0
Vermont        2020-01-26           50      0           VT       50    623989.0
Vermont        2020-01-27           50      0           VT       50    623989.0
Vermont        2020-01-28           50      0           VT       50    623989.0
...                   ...          ...    ...          ...      ...         ...
Vermont        2021-01-07           50    245           VT       50    623989.0
Vermont        2021-01-08           50    216           VT       50    623989.0
Vermont        2021-01-09           50    171           VT       50    623989.0
Vermont        2021-01-10           50    177           VT       50    623989.0
Vermont        2021-01-11           50    111           VT       50    623989.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2041.61      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1567.35      1.00
a_raw_init[2]      0.31      0.00      0.31      0.31      0.32   1953.68      1.00
a_raw_init[3]      0.41      0.00      0.41      0.41      0.42   2253.51      1.00
a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   2057.05      1.00
a_raw_init[5]      0.03      0.00      0.03      0.02      0.03   1676.37      1.00
a_raw_init[6]      0.19      0.01      0.19      0.18      0.20   1509.79      1.00
a_raw_init[7]      0.02      0.01      0.02      0.01      0.03   1429.32      1.00
a_raw_init[8]      0.09      0.00      0.09      0.08      0.10   2226.81      1.00
a_raw_init[9]      0.12      0.01      0.12      0.11      0.13   1826.01      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1819.08      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1154.99      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    773.56      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    612.32      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    637.63      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    564.98      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    490.33      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    480.15      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    449.05      1.00
    beta_1[9]      0.01      0.00      0.01     -0.00      0.01    415.25      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    388.50      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    364.15      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    362.49      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    358.08      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    338.38      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    336.87      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    338.61      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    326.86      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    311.20      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    290.20      1.00
   beta_1[20]      0.01      0.00      0.01      0.00      0.02    269.75      1.00
   beta_1[21]      0.01      0.00      0.01      0.00      0.02    258.68      1.00
   beta_1[22]      0.01      0.00      0.01      0.01      0.02    241.34      1.00
   beta_1[23]      0.01      0.00      0.01      0.01      0.02    231.91      1.00
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    228.73      1.00
   beta_1[25]      0.01      0.00      0.01      0.01      0.02    225.85      1.00
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    222.81      1.00
   beta_1[27]      0.01      0.00      0.01      0.01      0.02    217.88      1.00
   beta_1[28]      0.02      0.00      0.02      0.01      0.02    213.96      1.00
   beta_1[29]      0.02      0.00      0.02      0.01      0.02    201.61      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    186.44      1.00
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    182.52      1.00
   beta_1[32]      0.02      0.00      0.02      0.01      0.02    184.30      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.02    186.73      1.00
