                     date locationtest  value abbreviation location  population
location_name                                                                  
Michigan       2020-01-24           26      0           MI       26   9986857.0
Michigan       2020-01-25           26      0           MI       26   9986857.0
Michigan       2020-01-26           26      0           MI       26   9986857.0
Michigan       2020-01-27           26      0           MI       26   9986857.0
Michigan       2020-01-28           26      0           MI       26   9986857.0
...                   ...          ...    ...          ...      ...         ...
Michigan       2021-01-07           26   4249           MI       26   9986857.0
Michigan       2021-01-08           26   3908           MI       26   9986857.0
Michigan       2021-01-09           26   2898           MI       26   9986857.0
Michigan       2021-01-10           26      0           MI       26   9986857.0
Michigan       2021-01-11           26   5129           MI       26   9986857.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2042.98      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2028.98      1.00
a_raw_init[2]      0.19      0.00      0.19      0.19      0.20   1265.23      1.00
a_raw_init[3]      0.94      0.00      0.94      0.93      0.94   1238.56      1.00
a_raw_init[4]      0.17      0.00      0.17      0.17      0.18   1170.33      1.00
a_raw_init[5]      0.41      0.00      0.41      0.40      0.42   1447.97      1.00
a_raw_init[6]      0.00      0.00      0.00      0.00      0.00   1788.91      1.00
a_raw_init[7]      0.20      0.00      0.20      0.20      0.21   1514.68      1.00
a_raw_init[8]      0.33      0.00      0.33      0.33      0.34   1453.83      1.00
a_raw_init[9]      0.40      0.00      0.40      0.39      0.40   1445.83      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1265.50      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    887.85      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    609.98      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    428.63      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.01    323.68      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.01    333.48      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    317.60      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    311.85      1.00
    beta_1[8]      0.00      0.00      0.00      0.00      0.01    262.01      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    247.87      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    233.62      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    216.16      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    210.26      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.01    205.36      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.01    191.38      1.00
   beta_1[15]      0.01      0.00      0.01      0.00      0.01    183.18      1.00
   beta_1[16]      0.01      0.00      0.01      0.00      0.01    171.88      1.00
   beta_1[17]      0.01      0.00      0.01      0.00      0.02    165.34      1.00
   beta_1[18]      0.01      0.00      0.01      0.00      0.02    159.71      1.00
   beta_1[19]      0.01      0.00      0.01      0.00      0.02    152.55      1.00
   beta_1[20]      0.01      0.00      0.01      0.00      0.02    148.71      1.00
   beta_1[21]      0.01      0.00      0.01      0.01      0.02    144.36      1.00
   beta_1[22]      0.01      0.00      0.01      0.01      0.02    138.51      1.00
   beta_1[23]      0.01      0.00      0.01      0.01      0.02    133.48      1.00
   beta_1[24]      0.01      0.00      0.01      0.01      0.02    127.43      1.00
   beta_1[25]      0.01      0.00      0.01      0.01      0.02    127.29      1.00
   beta_1[26]      0.01      0.00      0.01      0.01      0.02    121.29      1.00
   beta_1[27]      0.01      0.00      0.01      0.01      0.02    116.38      1.00
   beta_1[28]      0.01      0.00      0.01      0.01      0.02    112.44      1.00
   beta_1[29]      0.02      0.00      0.02      0.01      0.02    108.13      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.02    111.09      1.00
   beta_1[31]      0.02      0.00      0.02      0.01      0.02    105.31      1.00
   beta_1[32]      0.02      0.00      0.02      0.01      0.02    103.58      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.02    103.06      1.00
   beta_1[34]      0.02      0.00      0.02      0.01      0.02    104.93      1.00
   beta_1[35]      0.02      0.00      0.02      0.01      0.02     99.83      1.00
   beta_1[36]      0.02      0.00      0.02      0.01      0.03    100.13      1.00
   beta_1[37]      0.02      0.00      0.02      0.01      0.03    101.38      1.00
   beta_1[38]      0.02      0.00      0.02      0.01      0.03    101.55      1.00
   beta_1[39]      0.02      0.00      0.02      0.01      0.03     99.69      1.00
   beta_1[40]      0.02      0.00      0.02      0.01      0.03     97.07      1.00
   beta_1[41]      0.02      0.00      0.02      0.02      0.03     93.86      1.00
   beta_1[42]      0.02      0.00      0.02      0.02      0.03     93.92      1.00
   beta_1[43]      0.02      0.00      0.02      0.02      0.03     93.02      1.00
   beta_1[44]      0.02      0.00      0.02      0.02      0.03     93.08      1.00
   beta_1[45]      0.02      0.00      0.02      0.02      0.03     96.23      1.00
   beta_1[46]      0.02      0.00      0.02      0.02      0.03     96.63      1.00
   beta_1[47]      0.02      0.00      0.02      0.02      0.03     99.00      1.00
   beta_1[48]      0.03      0.00      0.03      0.02      0.03     97.55      1.00
   beta_1[49]      0.03      0.00      0.03      0.02      0.03     96.07      1.00
   beta_1[50]      0.03      0.00      0.03      0.02      0.03     96.10      1.00
   beta_1[51]      0.03      0.00      0.03      0.02      0.03     99.18      1.00
   beta_1[52]      0.03      0.00      0.03      0.02      0.03    100.13      1.00
   beta_1[53]      0.03      0.00      0.03      0.02      0.03    102.09      1.00
   beta_1[54]      0.03      0.00      0.03      0.02      0.03    109.88      1.00
   beta_1[55]      0.03      0.00      0.03      0.02      0.03    112.03      1.00
   beta_1[56]      0.03      0.00      0.03      0.02      0.04    116.25      1.00
   beta_1[57]      0.03      0.00      0.03      0.02      0.04    124.80      1.00
   beta_1[58]      0.03      0.00      0.03      0.02      0.04    124.88      1.00
   beta_1[59]      0.03      0.00      0.03      0.03      0.04    122.38      1.00
   beta_1[60]      0.03      0.00      0.03      0.03      0.04    125.06      1.00
   beta_1[61]      0.03      0.00      0.03      0.03      0.04    128.63      1.00
   beta_1[62]      0.03      0.00      0.03      0.03      0.04    129.95      1.00
   beta_1[63]      0.03      0.00      0.03      0.03      0.04    140.56      1.00
   beta_1[64]      0.03      0.00      0.03      0.03      0.04    155.18      1.00
   beta_1[65]      0.03      0.00      0.03      0.03      0.04    156.01      1.00
   beta_1[66]      0.04      0.00      0.04      0.03      0.04    178.03      1.00
   beta_1[67]      0.04      0.00      0.04      0.03      0.04    193.74      1.00
   beta_1[68]      0.04      0.00      0.04      0.03      0.04    211.55      1.01
   beta_1[69]      0.04      0.00      0.04      0.03      0.04    245.35      1.01
   beta_1[70]      0.04      0.00      0.04      0.03      0.04    278.60      1.00
   beta_1[71]      0.04      0.00      0.04      0.03      0.04    331.08      1.00
   beta_1[72]      0.04      0.00      0.04      0.03      0.04    356.48      1.00
   beta_1[73]      0.04      0.00      0.04      0.04      0.04    397.75      1.00
   beta_1[74]      0.04      0.00      0.04      0.04      0.04    461.98      1.00
   beta_1[75]      0.04      0.00      0.04      0.04      0.04    498.96      1.00
   beta_1[76]      0.04      0.00      0.04      0.04      0.04    560.78      1.00
   beta_1[77]      0.04      0.00      0.04      0.04      0.04    623.20      1.00
   beta_1[78]      0.04      0.00      0.04      0.03      0.04    703.93      1.00
   beta_1[79]      0.04      0.00      0.04      0.03      0.04    691.03      1.00
   beta_1[80]      0.04      0.00      0.04      0.03      0.04    731.41      1.00
   beta_1[81]      0.04      0.00      0.04      0.03      0.04    714.23      1.00
   beta_1[82]      0.04      0.00      0.04      0.03      0.04    684.02      1.00
