                     date locationtest  value abbreviation location  population
location_name                                                                  
Nevada         2020-01-24           32      0           NV       32   3080156.0
Nevada         2020-01-25           32      0           NV       32   3080156.0
Nevada         2020-01-26           32      0           NV       32   3080156.0
Nevada         2020-01-27           32      0           NV       32   3080156.0
Nevada         2020-01-28           32      0           NV       32   3080156.0
...                   ...          ...    ...          ...      ...         ...
Nevada         2021-01-07           32   3403           NV       32   3080156.0
Nevada         2021-01-08           32   2865           NV       32   3080156.0
Nevada         2021-01-09           32   2648           NV       32   3080156.0
Nevada         2021-01-10           32   2260           NV       32   3080156.0
Nevada         2021-01-11           32   1680           NV       32   3080156.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1749.61      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2021.27      1.00
a_raw_init[2]      0.04      0.00      0.04      0.03      0.05   1570.55      1.00
a_raw_init[3]      0.14      0.00      0.14      0.13      0.14   1493.55      1.00
a_raw_init[4]      0.05      0.00      0.05      0.05      0.06   1216.77      1.00
a_raw_init[5]      0.09      0.01      0.09      0.08      0.10   1082.94      1.00
a_raw_init[6]      0.09      0.01      0.09      0.08      0.09    809.32      1.00
a_raw_init[7]      0.45      0.01      0.45      0.44      0.45    852.13      1.00
a_raw_init[8]      0.70      0.00      0.70      0.69      0.70   1963.54      1.00
a_raw_init[9]      0.80      0.00      0.80      0.79      0.81   1346.17      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1716.45      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1120.41      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    962.20      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.01    845.22      1.00
    beta_1[4]      0.00      0.00      0.00      0.00      0.01    712.00      1.00
    beta_1[5]      0.00      0.00      0.00      0.00      0.01    610.20      1.00
    beta_1[6]      0.00      0.00      0.00      0.00      0.01    578.46      1.00
    beta_1[7]      0.01      0.00      0.01      0.00      0.01    502.37      1.00
    beta_1[8]      0.01      0.00      0.01      0.00      0.01    451.31      1.00
    beta_1[9]      0.01      0.00      0.01      0.00      0.01    432.17      1.00
   beta_1[10]      0.01      0.00      0.01      0.00      0.01    402.79      1.00
   beta_1[11]      0.01      0.00      0.01      0.00      0.01    380.28      1.00
   beta_1[12]      0.01      0.00      0.01      0.00      0.01    389.46      1.00
   beta_1[13]      0.01      0.00      0.01      0.00      0.02    362.75      1.00
   beta_1[14]      0.01      0.00      0.01      0.00      0.02    356.94      1.00
   beta_1[15]      0.01      0.00      0.01      0.01      0.02    345.75      1.00
   beta_1[16]      0.01      0.00      0.01      0.01      0.02    350.95      1.00
   beta_1[17]      0.01      0.00      0.01      0.01      0.02    343.77      1.00
   beta_1[18]      0.01      0.00      0.01      0.01      0.02    333.09      1.00
   beta_1[19]      0.01      0.00      0.01      0.01      0.02    324.51      1.00
   beta_1[20]      0.01      0.00      0.01      0.01      0.02    319.01      1.00
   beta_1[21]      0.01      0.00      0.01      0.01      0.02    310.26      1.00
   beta_1[22]      0.02      0.00      0.02      0.01      0.02    307.11      1.00
   beta_1[23]      0.02      0.00      0.02      0.01      0.02    301.92      1.00
   beta_1[24]      0.02      0.00      0.02      0.01      0.02    292.85      1.00
   beta_1[25]      0.02      0.00      0.02      0.01      0.02    284.02      1.00
   beta_1[26]      0.02      0.00      0.02      0.01      0.03    280.62      1.00
   beta_1[27]      0.02      0.00      0.02      0.01      0.03    271.62      1.00
   beta_1[28]      0.02      0.00      0.02      0.01      0.03    264.84      1.00
   beta_1[29]      0.02      0.00      0.02      0.01      0.03    248.08      1.00
   beta_1[30]      0.02      0.00      0.02      0.01      0.03    263.04      1.01
   beta_1[31]      0.02      0.00      0.02      0.01      0.03    245.08      1.01
   beta_1[32]      0.02      0.00      0.02      0.01      0.03    238.69      1.00
   beta_1[33]      0.02      0.00      0.02      0.01      0.03    227.20      1.00
   beta_1[34]      0.02      0.00      0.02      0.02      0.03    226.30      1.00
   beta_1[35]      0.02      0.00      0.02      0.02      0.03    227.32      1.00
   beta_1[36]      0.02      0.00      0.02      0.02      0.03    225.14      1.01
   beta_1[37]      0.03      0.00      0.03      0.02      0.03    223.61      1.00
   beta_1[38]      0.03      0.00      0.03      0.02      0.03    217.81      1.01
   beta_1[39]      0.03      0.01      0.03      0.02      0.03    214.94      1.01
   beta_1[40]      0.03      0.01      0.03      0.02      0.04    212.59      1.01
   beta_1[41]      0.03      0.01      0.03      0.02      0.04    211.83      1.01
   beta_1[42]      0.03      0.01      0.03      0.02      0.04    212.87      1.01
   beta_1[43]      0.03      0.01      0.03      0.02      0.04    213.70      1.01
   beta_1[44]      0.03      0.01      0.03      0.02      0.04    206.12      1.01
   beta_1[45]      0.03      0.01      0.03      0.02      0.04    211.99      1.01
   beta_1[46]      0.03      0.01      0.03      0.02      0.04    202.00      1.01
   beta_1[47]      0.03      0.01      0.03      0.02      0.04    191.70      1.01
   beta_1[48]      0.03      0.01      0.03      0.02      0.04    207.76      1.01
   beta_1[49]      0.03      0.01      0.03      0.03      0.04    203.77      1.01
   beta_1[50]      0.03      0.01      0.03      0.03      0.04    200.98      1.01
   beta_1[51]      0.04      0.01      0.04      0.03      0.04    200.16      1.01
   beta_1[52]      0.04      0.01      0.04      0.03      0.04    203.69      1.01
   beta_1[53]      0.04      0.00      0.04      0.03      0.04    204.49      1.01
   beta_1[54]      0.04      0.00      0.04      0.03      0.05    201.06      1.01
   beta_1[55]      0.04      0.00      0.04      0.03      0.05    199.70      1.01
   beta_1[56]      0.04      0.00      0.04      0.03      0.05    190.62      1.01
   beta_1[57]      0.04      0.00      0.04      0.03      0.05    181.64      1.01
   beta_1[58]      0.04      0.00      0.04      0.03      0.05    179.49      1.01
   beta_1[59]      0.04      0.00      0.04      0.03      0.05    182.80      1.01
   beta_1[60]      0.04      0.00      0.04      0.03      0.05    179.21      1.01
   beta_1[61]      0.04      0.00      0.04      0.03      0.05    169.68      1.01
   beta_1[62]      0.04      0.00      0.04      0.03      0.05    163.04      1.01
   beta_1[63]      0.04      0.00      0.04      0.04      0.05    166.92      1.01
   beta_1[64]      0.04      0.00      0.04      0.04      0.05    169.97      1.01
   beta_1[65]      0.04      0.00      0.04      0.04      0.05    165.39      1.01
   beta_1[66]      0.05      0.00      0.05      0.04      0.05    169.28      1.01
   beta_1[67]      0.05      0.00      0.05      0.04      0.05    177.23      1.01
   beta_1[68]      0.05      0.00      0.05      0.04      0.05    174.67      1.01
   beta_1[69]      0.05      0.00      0.05      0.04      0.05    179.98      1.01
   beta_1[70]      0.05      0.00      0.05      0.04      0.06    190.28      1.01
   beta_1[71]      0.05      0.00      0.05      0.04      0.06    190.18      1.01
   beta_1[72]      0.05      0.00      0.05      0.04      0.06    192.64      1.01
   beta_1[73]      0.05      0.00      0.05      0.04      0.06    189.52      1.01
   beta_1[74]      0.05      0.00      0.05      0.04      0.06    188.73      1.01
   beta_1[75]      0.05      0.00      0.05      0.04      0.06    187.89      1.01
   beta_1[76]      0.05      0.00      0.05      0.04      0.06    201.78      1.01
   beta_1[77]      0.05      0.00      0.05      0.04      0.06    206.72      1.01
   beta_1[78]      0.05      0.00      0.05      0.04      0.06    207.62      1.00
   beta_1[79]      0.05      0.00      0.05      0.05      0.06    213.02      1.00
   beta_1[80]      0.05      0.00      0.05      0.05      0.06    214.48      1.00
   beta_1[81]      0.05      0.00      0.05      0.05      0.06    221.83      1.00
   beta_1[82]      0.05      0.00      0.05      0.05      0.06    224.09      1.00
   beta_1[83]      0.05      0.00      0.05      0.05      0.06    230.85      1.00
   beta_1[84]      0.05      0.00      0.05      0.05      0.06    231.69      1.00
   beta_1[85]      0.05      0.00      0.05      0.05      0.06    242.65      1.00
   beta_1[86]      0.05      0.00      0.05      0.05      0.06    242.99      1.00
   beta_1[87]      0.05      0.00      0.05      0.05      0.06    237.92      1.00
   beta_1[88]      0.05      0.00      0.05      0.05      0.06    249.50      1.00
   beta_1[89]      0.05      0.00      0.05      0.05      0.06    265.39      1.00
   beta_1[90]      0.05      0.00      0.05      0.05      0.06    291.41      1.00
   beta_1[91]      0.05      0.00      0.05      0.05      0.06    279.22      1.00
   beta_1[92]      0.05      0.00      0.05      0.05      0.06    282.30      1.00
   beta_1[93]      0.05      0.00      0.05      0.05      0.06    274.04      1.00
   beta_1[94]      0.05      0.00      0.05      0.05      0.06    265.30      1.00
   beta_1[95]      0.05      0.00      0.05      0.05      0.06    257.99      1.00
   beta_1[96]      0.05      0.00      0.05      0.05      0.06    253.80      1.00
   beta_1[97]      0.05      0.00      0.05      0.05      0.06    252.95      1.00
   beta_1[98]      0.05      0.00      0.05      0.04      0.06    252.08      1.00
   beta_1[99]      0.05      0.00      0.05      0.04      0.06    258.61      1.00
  beta_1[100]      0.05      0.00      0.05      0.04      0.06    270.15      1.00
  beta_1[101]      0.05      0.00      0.05      0.04      0.06    266.85      1.00
  beta_1[102]      0.05      0.00      0.05      0.04      0.05    286.84      1.00
  beta_1[103]      0.05      0.00      0.05      0.04      0.05    290.12      1.00
  beta_1[104]      0.05      0.00      0.05      0.04      0.05    306.15      1.00
  beta_1[105]      0.05      0.00      0.05      0.04      0.05    309.38      1.00
  beta_1[106]      0.05      0.00      0.05      0.04      0.05    315.62      1.00
  beta_1[107]      0.05      0.00      0.05      0.04      0.05    318.82      1.00
  beta_1[108]      0.05      0.00      0.05      0.04      0.05    341.85      1.00
  beta_1[109]      0.04      0.00      0.04      0.04      0.05    343.95      1.00
  beta_1[110]      0.04      0.00      0.04      0.04      0.05    363.55      1.00
  beta_1[111]      0.04      0.00      0.04      0.04      0.05    345.77      1.00
  beta_1[112]      0.04      0.00      0.04      0.04      0.05    333.44      1.00
  beta_1[113]      0.04      0.00      0.04      0.04      0.05    328.34      1.00
  beta_1[114]      0.04      0.00      0.04      0.04      0.05    345.76      1.00
  beta_1[115]      0.04      0.00      0.04      0.03      0.04    365.86      1.00
  beta_1[116]      0.04      0.00      0.04      0.03      0.04    385.29      1.00
  beta_1[117]      0.04      0.00      0.04      0.03      0.04    377.19      1.00
  beta_1[118]      0.04      0.00      0.04      0.03      0.04    388.16      1.00
  beta_1[119]      0.04      0.00      0.04      0.03      0.04    394.88      1.00
  beta_1[120]      0.04      0.00      0.04      0.03      0.04    399.71      1.00
  beta_1[121]      0.03      0.00      0.03      0.03      0.04    405.52      1.00
  beta_1[122]      0.03      0.00      0.03      0.03      0.04    397.41      1.00
  beta_1[123]      0.03      0.00      0.03      0.03      0.04    400.29      1.00
  beta_1[124]      0.03      0.00      0.03      0.03      0.04    413.77      1.00
  beta_1[125]      0.03      0.00      0.03      0.03      0.04    412.55      1.00
  beta_1[126]      0.03      0.00      0.03      0.03      0.03    419.19      1.00
  beta_1[127]      0.03      0.00      0.03      0.02      0.03    425.69      1.00
  beta_1[128]      0.03      0.00      0.03      0.02      0.03    427.24      1.00
  beta_1[129]      0.03      0.00      0.03      0.02      0.03    422.03      1.00
  beta_1[130]      0.03      0.00      0.03      0.02      0.03    420.31      1.00
  beta_1[131]      0.03      0.00      0.03      0.02      0.03    400.60      1.00
  beta_1[132]      0.03      0.00      0.03      0.02      0.03    413.95      1.00
  beta_1[133]      0.02      0.00      0.02      0.02      0.03    439.00      1.00
  beta_1[134]      0.02      0.00      0.02      0.02      0.03    429.61      1.00
  beta_1[135]      0.02      0.00      0.02      0.02      0.03    443.74      1.00
  beta_1[136]      0.02      0.00      0.02      0.02      0.03    474.89      1.00
  beta_1[137]      0.02      0.00      0.02      0.02      0.03    485.79      1.00
  beta_1[138]      0.02      0.00      0.02      0.02      0.03    501.35      1.00
  beta_1[139]      0.02      0.00      0.02      0.02      0.02    534.18      1.00
  beta_1[140]      0.02      0.00      0.02      0.02      0.02    563.22      1.00
  beta_1[141]      0.02      0.00      0.02      0.02      0.02    595.26      1.00
  beta_1[142]      0.02      0.00      0.02      0.01      0.02    628.41      1.00
  beta_1[143]      0.02      0.00      0.02      0.01      0.02    652.87      1.00
  beta_1[144]      0.02      0.00      0.02      0.01      0.02    620.30      1.00
  beta_1[145]      0.02      0.00      0.02      0.01      0.02    636.29      1.00
  beta_1[146]      0.02      0.00      0.02      0.01      0.02    682.04      1.00
  beta_1[147]      0.02      0.00      0.02      0.01      0.02    723.17      1.00
  beta_1[148]      0.02      0.00      0.02      0.01      0.02    731.35      1.00
  beta_1[149]      0.02      0.00      0.02      0.01      0.02    773.92      1.00
  beta_1[150]      0.01      0.00      0.01      0.01      0.02    776.68      1.00
  beta_1[151]      0.01      0.00      0.01      0.01      0.02    849.52      1.00
  beta_1[152]      0.01      0.00      0.01      0.01      0.02    865.65      1.00
  beta_1[153]      0.01      0.00      0.01      0.01      0.02    907.57      1.00
  beta_1[154]      0.01      0.00      0.01      0.01      0.02    921.63      1.00
  beta_1[155]      0.01      0.00      0.01      0.01      0.02    885.10      1.00
  beta_1[156]      0.01      0.00      0.01      0.01      0.02    951.61      1.00
  beta_1[157]      0.01      0.00      0.01      0.01      0.02    990.01      1.00
  beta_1[158]      0.01      0.00      0.01      0.01      0.02   1013.69      1.00
  beta_1[159]      0.01      0.00      0.01      0.01      0.02   1053.60      1.00
  beta_1[160]      0.01      0.00      0.01      0.01      0.02   1065.56      1.00
  beta_1[161]      0.01      0.00      0.01      0.01      0.02   1080.97      1.00
  beta_1[162]      0.01      0.00      0.01      0.01      0.02   1144.42      1.00
  beta_1[163]      0.02      0.00      0.02      0.01      0.02   1164.98      1.00
  beta_1[164]      0.02      0.00      0.02      0.01      0.02   1100.28      1.00
  beta_1[165]      0.02      0.00      0.02      0.01      0.02   1257.79      1.00
  beta_1[166]      0.02      0.00      0.02      0.01      0.02   1312.37      1.00
  beta_1[167]      0.02      0.00      0.02      0.01      0.02   1126.57      1.00
  beta_1[168]      0.02      0.00      0.02      0.01      0.02   1201.77      1.00
  beta_1[169]      0.02      0.00      0.02      0.01      0.02   1115.63      1.00
  beta_1[170]      0.02      0.00      0.02      0.01      0.02   1156.80      1.00
  beta_1[171]      0.02      0.00      0.02      0.01      0.02   1133.88      1.00
  beta_1[172]      0.02      0.00      0.02      0.01      0.02   1263.10      1.00
