                     date locationtest  value abbreviation location  population
location_name                                                                  
Wyoming        2020-01-24           56      0           WY       56    578759.0
Wyoming        2020-01-25           56      0           WY       56    578759.0
Wyoming        2020-01-26           56      0           WY       56    578759.0
Wyoming        2020-01-27           56      0           WY       56    578759.0
Wyoming        2020-01-28           56      0           WY       56    578759.0
...                   ...          ...    ...          ...      ...         ...
Wyoming        2021-01-07           56    278           WY       56    578759.0
Wyoming        2021-01-08           56    479           WY       56    578759.0
Wyoming        2021-01-09           56     72           WY       56    578759.0
Wyoming        2021-01-10           56    113           WY       56    578759.0
Wyoming        2021-01-11           56    563           WY       56    578759.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1840.20      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1977.61      1.00
a_raw_init[2]      0.04      0.00      0.04      0.04      0.05   1447.30      1.00
a_raw_init[3]      0.14      0.00      0.14      0.13      0.15   1173.66      1.00
a_raw_init[4]      0.12      0.00      0.12      0.11      0.12   1027.52      1.00
a_raw_init[5]      0.06      0.01      0.06      0.05      0.07    987.96      1.00
a_raw_init[6]      0.09      0.01      0.09      0.09      0.10   1158.76      1.00
a_raw_init[7]      0.28      0.01      0.28      0.27      0.29   1182.59      1.00
a_raw_init[8]      0.29      0.00      0.29      0.29      0.30   1433.50      1.00
a_raw_init[9]      0.30      0.00      0.30      0.29      0.31   1790.60      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1122.45      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    724.18      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    570.98      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    405.43      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.00    365.66      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.00    310.80      1.01
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    310.17      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.01    242.29      1.01
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    210.61      1.01
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    184.89      1.01
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    171.99      1.01
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    162.36      1.01
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    151.09      1.01
   beta_1[13]      0.00      0.00      0.00     -0.00      0.01    145.87      1.01
   beta_1[14]      0.00      0.00      0.00     -0.00      0.01    135.82      1.01
   beta_1[15]      0.00      0.00      0.00     -0.00      0.01    128.17      1.01
   beta_1[16]      0.00      0.00      0.00     -0.00      0.01    122.38      1.01
   beta_1[17]      0.00      0.00      0.00     -0.00      0.01    116.05      1.01
   beta_1[18]      0.00      0.00      0.00     -0.00      0.01    116.25      1.01
   beta_1[19]      0.00      0.00      0.00     -0.00      0.01    110.84      1.00
   beta_1[20]      0.00      0.00      0.00     -0.00      0.01    110.42      1.00
   beta_1[21]      0.00      0.00      0.00     -0.00      0.01    108.68      1.00
   beta_1[22]      0.00      0.00      0.00     -0.00      0.01    105.76      1.00
   beta_1[23]      0.00      0.00      0.00     -0.00      0.01    103.04      1.00
   beta_1[24]      0.00      0.00      0.00     -0.00      0.01    102.63      1.00
   beta_1[25]      0.00      0.00      0.00     -0.00      0.01    100.12      1.00
   beta_1[26]      0.00      0.00      0.00     -0.00      0.01    100.16      1.00
   beta_1[27]      0.00      0.00      0.00     -0.00      0.01     97.70      1.00
   beta_1[28]      0.00      0.00      0.00     -0.00      0.01     94.93      1.00
   beta_1[29]      0.00      0.00      0.00     -0.00      0.01     96.03      1.00
   beta_1[30]      0.00      0.00      0.00     -0.00      0.01     97.38      1.00
   beta_1[31]      0.00      0.00      0.00     -0.00      0.01     94.13      1.00
   beta_1[32]      0.00      0.00      0.00     -0.00      0.01     95.77      1.00
   beta_1[33]      0.00      0.00      0.00     -0.00      0.01     92.48      1.00
   beta_1[34]      0.01      0.00      0.00     -0.00      0.01     91.44      1.00
   beta_1[35]      0.01      0.00      0.01     -0.00      0.01     92.35      1.00
   beta_1[36]      0.01      0.00      0.01     -0.00      0.01     91.22      1.00
   beta_1[37]      0.01      0.00      0.01     -0.00      0.01     91.27      1.00
   beta_1[38]      0.01      0.00      0.01     -0.00      0.01     92.47      1.00
   beta_1[39]      0.01      0.00      0.01     -0.00      0.01     92.75      1.00
   beta_1[40]      0.01      0.01      0.01     -0.00      0.01     93.05      1.00
   beta_1[41]      0.01      0.01      0.01     -0.00      0.01     92.53      1.00
   beta_1[42]      0.01      0.01      0.01     -0.00      0.01     93.32      1.00
   beta_1[43]      0.01      0.01      0.01     -0.00      0.01     93.86      1.00
   beta_1[44]      0.01      0.01      0.01     -0.00      0.01     91.77      1.00
   beta_1[45]      0.01      0.01      0.01     -0.00      0.01     91.80      1.00
   beta_1[46]      0.01      0.01      0.01     -0.00      0.01     91.59      1.00
   beta_1[47]      0.01      0.01      0.01     -0.00      0.02     95.64      1.00
   beta_1[48]      0.01      0.01      0.01     -0.00      0.02     95.66      1.00
   beta_1[49]      0.01      0.01      0.01     -0.00      0.02     97.06      1.00
   beta_1[50]      0.01      0.01      0.01     -0.00      0.02    100.73      1.00
   beta_1[51]      0.01      0.01      0.01     -0.00      0.02     98.87      1.00
   beta_1[52]      0.01      0.01      0.01     -0.00      0.02    100.83      1.00
   beta_1[53]      0.01      0.01      0.01     -0.00      0.02    100.53      1.00
   beta_1[54]      0.01      0.01      0.01     -0.00      0.02    104.92      1.00
   beta_1[55]      0.01      0.01      0.01     -0.00      0.02    104.21      1.00
   beta_1[56]      0.01      0.01      0.01     -0.00      0.02    103.89      1.00
   beta_1[57]      0.01      0.01      0.01     -0.00      0.02    105.07      1.00
   beta_1[58]      0.01      0.01      0.01     -0.00      0.02    108.62      1.00
   beta_1[59]      0.01      0.01      0.01     -0.00      0.02    109.50      1.00
   beta_1[60]      0.01      0.01      0.01      0.00      0.02    106.71      1.00
   beta_1[61]      0.01      0.01      0.01      0.00      0.02    108.42      1.00
   beta_1[62]      0.01      0.01      0.01      0.00      0.02    110.04      1.00
   beta_1[63]      0.01      0.01      0.01      0.00      0.02    112.71      1.01
   beta_1[64]      0.01      0.01      0.01      0.00      0.02    114.20      1.01
   beta_1[65]      0.01      0.01      0.01      0.00      0.02    116.26      1.00
   beta_1[66]      0.01      0.01      0.01      0.00      0.02    114.23      1.01
   beta_1[67]      0.01      0.01      0.01      0.00      0.02    114.93      1.01
   beta_1[68]      0.01      0.01      0.01      0.00      0.02    115.50      1.01
   beta_1[69]      0.01      0.01      0.01      0.00      0.02    119.03      1.01
   beta_1[70]      0.01      0.01      0.01      0.00      0.02    120.82      1.00
   beta_1[71]      0.01      0.01      0.01      0.00      0.02    120.63      1.00
   beta_1[72]      0.01      0.00      0.01      0.00      0.02    124.93      1.00
   beta_1[73]      0.01      0.00      0.01      0.00      0.02    121.46      1.00
