                     date locationtest  value abbreviation location  population
location_name                                                                  
Guam           2020-01-24           66      0           GU       66    164229.0
Guam           2020-01-25           66      0           GU       66    164229.0
Guam           2020-01-26           66      0           GU       66    164229.0
Guam           2020-01-27           66      0           GU       66    164229.0
Guam           2020-01-28           66      0           GU       66    164229.0
...                   ...          ...    ...          ...      ...         ...
Guam           2021-01-07           66      8           GU       66    164229.0
Guam           2021-01-08           66     13           GU       66    164229.0
Guam           2021-01-09           66      0           GU       66    164229.0
Guam           2021-01-10           66      0           GU       66    164229.0
Guam           2021-01-11           66     24           GU       66    164229.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1885.55      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2037.11      1.00
 a_raw_init[2]      0.21      0.00      0.21      0.21      0.22   2236.86      1.00
 a_raw_init[3]      0.09      0.00      0.09      0.09      0.10   2384.52      1.00
 a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   1655.21      1.00
 a_raw_init[5]      0.05      0.00      0.05      0.04      0.05   1962.40      1.00
 a_raw_init[6]      0.03      0.00      0.03      0.03      0.04   1656.74      1.00
 a_raw_init[7]      0.26      0.00      0.26      0.26      0.27   1890.71      1.00
 a_raw_init[8]      0.00      0.00      0.00      0.00      0.00   2059.29      1.00
 a_raw_init[9]      0.14      0.00      0.14      0.14      0.15   2460.68      1.00
a_raw_init[10]      0.63      0.01      0.63      0.62      0.64   2323.11      1.00
a_raw_init[11]      0.72      0.01      0.72      0.71      0.73   2181.21      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1865.15      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1340.94      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00   1167.02      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    992.92      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    850.33      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    821.57      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    736.28      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    655.94      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    606.02      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    591.63      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    577.53      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    541.00      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    509.20      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    490.61      1.01
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    463.55      1.01
    beta_1[15]      0.01      0.00      0.01     -0.00      0.01    455.48      1.01
