                     date locationtest  value abbreviation location  population
location_name                                                                  
Michigan       2020-01-24           26      0           MI       26   9986857.0
Michigan       2020-01-25           26      0           MI       26   9986857.0
Michigan       2020-01-26           26      0           MI       26   9986857.0
Michigan       2020-01-27           26      0           MI       26   9986857.0
Michigan       2020-01-28           26      0           MI       26   9986857.0
...                   ...          ...    ...          ...      ...         ...
Michigan       2021-01-07           26   4249           MI       26   9986857.0
Michigan       2021-01-08           26   3908           MI       26   9986857.0
Michigan       2021-01-09           26   2898           MI       26   9986857.0
Michigan       2021-01-10           26      0           MI       26   9986857.0
Michigan       2021-01-11           26   5129           MI       26   9986857.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2053.31      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2026.89      1.00
 a_raw_init[2]      0.19      0.00      0.19      0.19      0.20   1373.45      1.00
 a_raw_init[3]      0.94      0.00      0.94      0.93      0.94   1377.02      1.00
 a_raw_init[4]      0.17      0.00      0.17      0.17      0.18   1260.57      1.00
 a_raw_init[5]      0.41      0.00      0.41      0.40      0.42   1404.70      1.00
 a_raw_init[6]      0.00      0.00      0.00      0.00      0.00   2046.70      1.00
 a_raw_init[7]      0.22      0.00      0.22      0.22      0.23   1398.83      1.00
 a_raw_init[8]      0.43      0.01      0.43      0.42      0.44   1140.44      1.00
 a_raw_init[9]      0.29      0.01      0.29      0.28      0.30   1077.34      1.00
a_raw_init[10]      0.45      0.01      0.45      0.44      0.45    986.63      1.00
a_raw_init[11]      0.47      0.01      0.47      0.46      0.48   1219.18      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1697.58      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1088.92      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    800.42      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    619.73      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    519.68      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    484.87      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    441.60      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    389.36      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    365.19      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    332.12      1.00
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    317.66      1.00
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    300.05      1.00
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    283.40      1.00
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    262.58      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    247.04      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    242.38      1.00
    beta_1[16]      0.01      0.00      0.01      0.00      0.01    236.14      1.00
    beta_1[17]      0.01      0.00      0.01      0.00      0.01    223.58      1.00
    beta_1[18]      0.01      0.00      0.01      0.00      0.02    218.50      1.00
    beta_1[19]      0.01      0.00      0.01      0.00      0.02    215.00      1.00
    beta_1[20]      0.01      0.00      0.01      0.00      0.02    206.39      1.00
    beta_1[21]      0.01      0.00      0.01      0.00      0.02    197.71      1.00
    beta_1[22]      0.01      0.00      0.01      0.01      0.02    190.98      1.00
    beta_1[23]      0.01      0.00      0.01      0.01      0.02    185.54      1.00
    beta_1[24]      0.01      0.00      0.01      0.01      0.02    182.15      1.00
    beta_1[25]      0.01      0.00      0.01      0.01      0.02    181.07      1.00
    beta_1[26]      0.01      0.00      0.01      0.01      0.02    175.77      1.00
    beta_1[27]      0.01      0.00      0.01      0.01      0.02    166.46      1.00
    beta_1[28]      0.01      0.00      0.01      0.01      0.02    162.45      1.00
    beta_1[29]      0.02      0.00      0.02      0.01      0.02    159.93      1.00
    beta_1[30]      0.02      0.00      0.02      0.01      0.02    161.05      1.00
    beta_1[31]      0.02      0.00      0.02      0.01      0.02    156.23      1.00
    beta_1[32]      0.02      0.00      0.02      0.01      0.02    153.18      1.00
    beta_1[33]      0.02      0.00      0.02      0.01      0.02    153.82      1.00
