                     date locationtest  value abbreviation location  population
location_name                                                                  
Vermont        2020-01-24           50      0           VT       50    623989.0
Vermont        2020-01-25           50      0           VT       50    623989.0
Vermont        2020-01-26           50      0           VT       50    623989.0
Vermont        2020-01-27           50      0           VT       50    623989.0
Vermont        2020-01-28           50      0           VT       50    623989.0
...                   ...          ...    ...          ...      ...         ...
Vermont        2021-01-07           50    245           VT       50    623989.0
Vermont        2021-01-08           50    216           VT       50    623989.0
Vermont        2021-01-09           50    171           VT       50    623989.0
Vermont        2021-01-10           50    177           VT       50    623989.0
Vermont        2021-01-11           50    111           VT       50    623989.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2002.49      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2034.56      1.00
 a_raw_init[2]      0.31      0.00      0.31      0.31      0.32   2116.19      1.00
 a_raw_init[3]      0.41      0.00      0.41      0.41      0.42   2214.84      1.00
 a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   2046.22      1.00
 a_raw_init[5]      0.03      0.00      0.03      0.03      0.04   1755.59      1.00
 a_raw_init[6]      0.17      0.00      0.17      0.16      0.17   1485.68      1.00
 a_raw_init[7]      0.03      0.00      0.03      0.02      0.04   1497.19      1.00
 a_raw_init[8]      0.16      0.00      0.16      0.16      0.17   1810.47      1.00
 a_raw_init[9]      0.00      0.00      0.00      0.00      0.00   2058.87      1.00
a_raw_init[10]      0.13      0.01      0.13      0.12      0.14   2057.19      1.00
a_raw_init[11]      0.16      0.01      0.16      0.15      0.17   2205.93      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1584.00      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1159.86      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    961.43      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    790.97      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    682.77      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    623.74      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    553.36      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    549.34      1.00
     beta_1[8]      0.00      0.00      0.00      0.00      0.01    504.76      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    495.46      1.00
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    481.34      1.00
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    446.22      1.00
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    429.76      1.00
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    424.63      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    400.79      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    394.41      1.00
    beta_1[16]      0.01      0.00      0.01      0.00      0.01    377.30      1.00
