                     date locationtest  value abbreviation location  population
location_name                                                                  
Minnesota      2020-01-24           27      0           MN       27   5639632.0
Minnesota      2020-01-25           27      0           MN       27   5639632.0
Minnesota      2020-01-26           27      0           MN       27   5639632.0
Minnesota      2020-01-27           27      0           MN       27   5639632.0
Minnesota      2020-01-28           27      0           MN       27   5639632.0
...                   ...          ...    ...          ...      ...         ...
Minnesota      2021-01-07           27   1983           MN       27   5639632.0
Minnesota      2021-01-08           27   2374           MN       27   5639632.0
Minnesota      2021-01-09           27   2469           MN       27   5639632.0
Minnesota      2021-01-10           27   2159           MN       27   5639632.0
Minnesota      2021-01-11           27    980           MN       27   5639632.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2023.24      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2017.42      1.00
 a_raw_init[2]      0.07      0.00      0.07      0.06      0.07   1609.11      1.00
 a_raw_init[3]      0.00      0.00      0.00      0.00      0.00   2026.96      1.00
 a_raw_init[4]      0.58      0.00      0.58      0.58      0.59   1442.98      1.00
 a_raw_init[5]      0.89      0.00      0.89      0.88      0.90   1291.66      1.00
 a_raw_init[6]      0.24      0.00      0.24      0.23      0.25   1017.22      1.00
 a_raw_init[7]      0.44      0.01      0.44      0.43      0.45   1039.81      1.00
 a_raw_init[8]      0.82      0.01      0.82      0.81      0.83   1082.12      1.00
 a_raw_init[9]      0.70      0.01      0.70      0.69      0.71   1372.21      1.00
a_raw_init[10]      0.70      0.00      0.70      0.70      0.71   1602.31      1.00
a_raw_init[11]      0.70      0.01      0.70      0.69      0.71   1570.10      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1617.91      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    980.62      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    668.63      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    517.96      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    437.18      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    395.58      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    343.56      1.00
     beta_1[7]      0.00      0.00      0.00      0.00      0.01    310.63      1.00
     beta_1[8]      0.00      0.00      0.00      0.00      0.01    275.98      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    235.75      1.00
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    205.02      1.00
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    187.26      1.00
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    178.45      1.00
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    168.07      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    165.84      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    146.16      1.00
    beta_1[16]      0.01      0.00      0.01      0.00      0.02    141.00      1.00
    beta_1[17]      0.01      0.00      0.01      0.00      0.02    131.72      1.00
    beta_1[18]      0.01      0.00      0.01      0.00      0.02    125.18      1.00
    beta_1[19]      0.01      0.00      0.01      0.00      0.02    121.50      1.00
    beta_1[20]      0.01      0.00      0.01      0.00      0.02    118.92      1.00
    beta_1[21]      0.01      0.00      0.01      0.01      0.02    116.70      1.00
    beta_1[22]      0.01      0.00      0.01      0.01      0.02    110.47      1.00
    beta_1[23]      0.01      0.00      0.01      0.01      0.02    106.52      1.00
    beta_1[24]      0.01      0.00      0.01      0.01      0.02    104.32      1.00
    beta_1[25]      0.01      0.00      0.01      0.01      0.02    103.85      1.00
    beta_1[26]      0.01      0.00      0.01      0.01      0.02    102.81      1.00
    beta_1[27]      0.02      0.00      0.02      0.01      0.02     98.32      1.00
    beta_1[28]      0.02      0.00      0.02      0.01      0.02     99.07      1.00
    beta_1[29]      0.02      0.00      0.02      0.01      0.02     97.39      1.00
    beta_1[30]      0.02      0.00      0.02      0.01      0.03     93.55      1.00
    beta_1[31]      0.02      0.00      0.02      0.01      0.03     93.05      1.00
    beta_1[32]      0.02      0.01      0.02      0.01      0.03     94.15      1.00
    beta_1[33]      0.02      0.01      0.02      0.01      0.03     94.46      1.00
    beta_1[34]      0.02      0.01      0.02      0.01      0.03     92.49      1.00
    beta_1[35]      0.02      0.01      0.02      0.01      0.03     90.94      1.00
    beta_1[36]      0.02      0.01      0.02      0.01      0.03     88.78      1.00
    beta_1[37]      0.02      0.01      0.02      0.01      0.03     89.73      1.00
    beta_1[38]      0.02      0.01      0.02      0.01      0.03     90.06      1.00
