                     date locationtest  value abbreviation location  population
location_name                                                                  
Oklahoma       2020-01-24           40      0           OK       40   3956971.0
Oklahoma       2020-01-25           40      0           OK       40   3956971.0
Oklahoma       2020-01-26           40      0           OK       40   3956971.0
Oklahoma       2020-01-27           40      0           OK       40   3956971.0
Oklahoma       2020-01-28           40      0           OK       40   3956971.0
...                   ...          ...    ...          ...      ...         ...
Oklahoma       2021-01-07           40   3781           OK       40   3956971.0
Oklahoma       2021-01-08           40   5232           OK       40   3956971.0
Oklahoma       2021-01-09           40   4289           OK       40   3956971.0
Oklahoma       2021-01-10           40   6487           OK       40   3956971.0
Oklahoma       2021-01-11           40   3885           OK       40   3956971.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1500.86      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2030.11      1.00
 a_raw_init[2]      0.03      0.00      0.03      0.03      0.04   1230.06      1.00
 a_raw_init[3]      0.09      0.00      0.09      0.08      0.09    979.35      1.00
 a_raw_init[4]      0.08      0.00      0.08      0.07      0.09    762.77      1.00
 a_raw_init[5]      0.02      0.00      0.02      0.02      0.03    807.01      1.00
 a_raw_init[6]      0.14      0.01      0.14      0.13      0.15    858.94      1.00
 a_raw_init[7]      0.26      0.01      0.26      0.25      0.27    943.55      1.00
 a_raw_init[8]      0.75      0.01      0.75      0.75      0.76    971.91      1.00
 a_raw_init[9]      0.50      0.01      0.50      0.49      0.51    826.83      1.00
a_raw_init[10]      0.52      0.00      0.52      0.51      0.52   1303.65      1.00
a_raw_init[11]      0.51      0.01      0.51      0.50      0.52   1351.91      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00    916.11      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    599.28      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.01    356.21      1.01
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    229.44      1.02
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    183.21      1.02
     beta_1[5]      0.00      0.00      0.00      0.00      0.01    144.93      1.02
     beta_1[6]      0.00      0.00      0.00      0.00      0.01    137.07      1.02
     beta_1[7]      0.01      0.00      0.01      0.00      0.01    125.35      1.02
     beta_1[8]      0.01      0.00      0.01      0.00      0.01    110.89      1.02
     beta_1[9]      0.01      0.00      0.01      0.00      0.01     95.68      1.03
    beta_1[10]      0.01      0.00      0.01      0.00      0.01     96.91      1.02
    beta_1[11]      0.01      0.00      0.01      0.00      0.01     95.63      1.02
    beta_1[12]      0.01      0.00      0.01      0.00      0.01     88.13      1.03
    beta_1[13]      0.01      0.00      0.01      0.00      0.02     87.69      1.03
    beta_1[14]      0.01      0.00      0.01      0.00      0.02     83.39      1.03
    beta_1[15]      0.01      0.00      0.01      0.00      0.02     83.25      1.03
    beta_1[16]      0.01      0.00      0.01      0.01      0.02     79.11      1.04
    beta_1[17]      0.01      0.00      0.01      0.01      0.02     75.79      1.04
    beta_1[18]      0.01      0.00      0.01      0.01      0.02     75.64      1.04
    beta_1[19]      0.01      0.00      0.01      0.01      0.02     73.17      1.03
    beta_1[20]      0.01      0.00      0.01      0.01      0.02     77.85      1.03
