                     date locationtest  value abbreviation location  population
location_name                                                                  
Arkansas       2020-01-24           05      0           AR       05   3017804.0
Arkansas       2020-01-25           05      0           AR       05   3017804.0
Arkansas       2020-01-26           05      0           AR       05   3017804.0
Arkansas       2020-01-27           05      0           AR       05   3017804.0
Arkansas       2020-01-28           05      0           AR       05   3017804.0
...                   ...          ...    ...          ...      ...         ...
Arkansas       2021-01-07           05   3323           AR       05   3017804.0
Arkansas       2021-01-08           05   2944           AR       05   3017804.0
Arkansas       2021-01-09           05   2886           AR       05   3017804.0
Arkansas       2021-01-10           05   3330           AR       05   3017804.0
Arkansas       2021-01-11           05   1268           AR       05   3017804.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2037.48      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1848.30      1.00
 a_raw_init[2]      0.01      0.01      0.01      0.00      0.02     56.28      1.06
 a_raw_init[3]      0.11      0.01      0.11      0.10      0.12    105.43      1.03
 a_raw_init[4]      0.09      0.01      0.09      0.08      0.10    241.87      1.02
 a_raw_init[5]      0.07      0.01      0.07      0.06      0.08    709.23      1.01
 a_raw_init[6]      0.48      0.01      0.48      0.47      0.49    691.95      1.00
 a_raw_init[7]      0.47      0.00      0.47      0.47      0.48    676.63      1.00
 a_raw_init[8]      0.87      0.00      0.87      0.86      0.88    814.68      1.00
 a_raw_init[9]      0.51      0.00      0.51      0.50      0.52    990.53      1.00
a_raw_init[10]      0.56      0.00      0.56      0.56      0.57   1820.78      1.00
a_raw_init[11]      0.58      0.00      0.58      0.58      0.59   1445.63      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1317.55      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    710.91      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    570.16      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    488.27      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    393.69      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    348.12      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    298.23      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    272.46      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    257.15      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    230.65      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    223.29      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    210.50      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    201.16      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    192.07      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    174.77      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    163.37      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01    145.13      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01    128.96      1.00
    beta_1[18]      0.00      0.00      0.01     -0.00      0.01    121.02      1.00
    beta_1[19]      0.01      0.00      0.01     -0.00      0.01    109.98      1.00
    beta_1[20]      0.01      0.00      0.01     -0.00      0.01    100.34      1.00
    beta_1[21]      0.01      0.00      0.01     -0.00      0.01     92.52      1.00
    beta_1[22]      0.01      0.00      0.01     -0.00      0.01     85.48      1.01
    beta_1[23]      0.01      0.00      0.01     -0.00      0.01     78.97      1.01
    beta_1[24]      0.01      0.00      0.01     -0.00      0.01     75.00      1.01
    beta_1[25]      0.01      0.00      0.01     -0.00      0.01     72.29      1.01
    beta_1[26]      0.01      0.00      0.01      0.00      0.01     70.42      1.01
    beta_1[27]      0.01      0.00      0.01      0.00      0.01     67.90      1.01
    beta_1[28]      0.01      0.00      0.01      0.00      0.01     65.85      1.01
    beta_1[29]      0.01      0.00      0.01      0.00      0.01     62.11      1.01
    beta_1[30]      0.01      0.00      0.01      0.00      0.01     60.07      1.01
    beta_1[31]      0.01      0.00      0.01      0.00      0.02     58.32      1.01
    beta_1[32]      0.01      0.00      0.01      0.00      0.02     58.11      1.01
    beta_1[33]      0.01      0.00      0.01      0.00      0.02     57.00      1.01
    beta_1[34]      0.01      0.00      0.01      0.00      0.02     56.13      1.01
    beta_1[35]      0.01      0.00      0.01      0.00      0.02     53.83      1.01
    beta_1[36]      0.01      0.00      0.01      0.00      0.02     53.19      1.01
    beta_1[37]      0.01      0.00      0.01      0.00      0.02     52.81      1.01
    beta_1[38]      0.01      0.00      0.01      0.00      0.02     51.43      1.01
    beta_1[39]      0.01      0.00      0.01      0.00      0.02     50.99      1.01
    beta_1[40]      0.01      0.00      0.01      0.00      0.02     50.94      1.01
    beta_1[41]      0.01      0.00      0.01      0.00      0.02     50.50      1.01
    beta_1[42]      0.01      0.00      0.01      0.00      0.02     48.45      1.01
    beta_1[43]      0.01      0.00      0.01      0.00      0.02     47.79      1.01
    beta_1[44]      0.01      0.00      0.01      0.00      0.02     44.15      1.01
    beta_1[45]      0.01      0.00      0.01      0.00      0.02     45.54      1.01
    beta_1[46]      0.01      0.01      0.01      0.00      0.02     41.05      1.01
    beta_1[47]      0.01      0.01      0.01      0.00      0.02     45.78      1.01
    beta_1[48]      0.01      0.01      0.01      0.01      0.02     43.42      1.01
    beta_1[49]      0.01      0.01      0.01      0.00      0.02     38.64      1.01
    beta_1[50]      0.01      0.01      0.01      0.01      0.02     40.20      1.01
    beta_1[51]      0.01      0.01      0.01      0.01      0.02     43.72      1.01
    beta_1[52]      0.01      0.01      0.01      0.01      0.02     40.55      1.01
    beta_1[53]      0.01      0.01      0.01      0.01      0.02     36.27      1.01
    beta_1[54]      0.01      0.01      0.01      0.01      0.02     36.38      1.01
    beta_1[55]      0.02      0.01      0.02      0.01      0.02     33.40      1.01
    beta_1[56]      0.02      0.01      0.02      0.01      0.02     33.50      1.01
    beta_1[57]      0.02      0.01      0.02      0.01      0.02     32.86      1.01
    beta_1[58]      0.02      0.01      0.02      0.01      0.03     30.66      1.01
    beta_1[59]      0.02      0.01      0.02      0.01      0.02     29.73      1.01
    beta_1[60]      0.02      0.01      0.02      0.01      0.03     29.00      1.01
    beta_1[61]      0.02      0.01      0.02      0.01      0.03     29.33      1.01
    beta_1[62]      0.02      0.01      0.02      0.01      0.03     30.07      1.01
    beta_1[63]      0.02      0.01      0.02      0.01      0.03     28.79      1.01
    beta_1[64]      0.02      0.01      0.02      0.01      0.03     28.94      1.01
    beta_1[65]      0.02      0.01      0.02      0.01      0.03     29.02      1.01
    beta_1[66]      0.02      0.01      0.02      0.01      0.03     28.43      1.01
    beta_1[67]      0.02      0.01      0.02      0.01      0.03     29.17      1.01
