                     date locationtest  value abbreviation location  population
location_name                                                                  
Arizona        2020-01-24           04      0           AZ       04   7278717.0
Arizona        2020-01-25           04      0           AZ       04   7278717.0
Arizona        2020-01-26           04      1           AZ       04   7278717.0
Arizona        2020-01-27           04      0           AZ       04   7278717.0
Arizona        2020-01-28           04      0           AZ       04   7278717.0
...                   ...          ...    ...          ...      ...         ...
Arizona        2021-01-07           04   9913           AZ       04   7278717.0
Arizona        2021-01-08           04  11658           AZ       04   7278717.0
Arizona        2021-01-09           04  11094           AZ       04   7278717.0
Arizona        2021-01-10           04  11201           AZ       04   7278717.0
Arizona        2021-01-11           04   8995           AZ       04   7278717.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2029.37      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1991.93      1.00
 a_raw_init[2]      0.02      0.00      0.02      0.01      0.02   1611.29      1.00
 a_raw_init[3]      0.03      0.00      0.03      0.03      0.04   1245.61      1.00
 a_raw_init[4]      0.09      0.00      0.09      0.08      0.10   1181.91      1.00
 a_raw_init[5]      0.04      0.01      0.04      0.03      0.04   1108.79      1.00
 a_raw_init[6]      0.25      0.01      0.25      0.24      0.26   1259.97      1.00
 a_raw_init[7]      0.87      0.01      0.87      0.87      0.88   1371.09      1.00
 a_raw_init[8]      0.57      0.01      0.57      0.56      0.58   1238.63      1.00
 a_raw_init[9]      0.18      0.01      0.18      0.18      0.19   1253.44      1.00
a_raw_init[10]      0.12      0.00      0.12      0.11      0.13   1614.95      1.00
a_raw_init[11]      0.09      0.00      0.09      0.08      0.10   1246.63      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1616.19      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1231.93      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00   1076.67      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    822.60      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    736.58      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    646.32      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    547.71      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    562.10      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    521.00      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    473.95      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    432.50      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    440.82      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    391.00      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    375.72      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    343.00      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    344.24      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01    302.26      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01    284.04      1.00
    beta_1[18]      0.00      0.00      0.00     -0.00      0.01    272.76      1.00
    beta_1[19]      0.01      0.00      0.01     -0.00      0.01    259.81      1.00
    beta_1[20]      0.01      0.00      0.01     -0.00      0.01    253.24      1.00
    beta_1[21]      0.01      0.00      0.01     -0.00      0.01    233.68      1.00
    beta_1[22]      0.01      0.00      0.01     -0.00      0.01    231.78      1.00
    beta_1[23]      0.01      0.00      0.01     -0.00      0.01    228.36      1.00
    beta_1[24]      0.01      0.00      0.01     -0.00      0.01    228.38      1.00
    beta_1[25]      0.01      0.00      0.01     -0.00      0.01    223.94      1.00
    beta_1[26]      0.01      0.00      0.01     -0.00      0.01    194.33      1.00
    beta_1[27]      0.01      0.00      0.01      0.00      0.02    191.04      1.00
    beta_1[28]      0.01      0.00      0.01     -0.00      0.02    183.69      1.00
    beta_1[29]      0.01      0.00      0.01      0.00      0.02    170.02      1.00
    beta_1[30]      0.01      0.00      0.01      0.00      0.02    165.41      1.00
    beta_1[31]      0.01      0.00      0.01      0.00      0.02    155.92      1.00
    beta_1[32]      0.01      0.00      0.01      0.00      0.02    152.73      1.00
    beta_1[33]      0.01      0.00      0.01      0.00      0.02    148.32      1.00
    beta_1[34]      0.01      0.00      0.01      0.00      0.02    141.14      1.00
    beta_1[35]      0.01      0.00      0.01      0.00      0.02    139.29      1.00
    beta_1[36]      0.01      0.00      0.01      0.00      0.02    129.80      1.00
    beta_1[37]      0.01      0.01      0.01      0.00      0.02    127.12      1.00
    beta_1[38]      0.01      0.01      0.01      0.00      0.02    118.90      1.00
    beta_1[39]      0.01      0.01      0.01      0.00      0.02    117.77      1.00
    beta_1[40]      0.01      0.01      0.01      0.00      0.02    117.18      1.00
    beta_1[41]      0.01      0.01      0.01      0.00      0.02    112.11      1.00
    beta_1[42]      0.01      0.01      0.01      0.00      0.02    109.96      1.00
    beta_1[43]      0.01      0.01      0.01      0.00      0.02    109.33      1.00
    beta_1[44]      0.01      0.01      0.01      0.00      0.02    107.36      1.00
    beta_1[45]      0.01      0.01      0.01      0.00      0.02    102.70      1.00
    beta_1[46]      0.01      0.01      0.01      0.00      0.02    103.09      1.00
    beta_1[47]      0.01      0.01      0.01      0.00      0.02    101.29      1.00
    beta_1[48]      0.01      0.01      0.01      0.00      0.02     99.96      1.00
    beta_1[49]      0.01      0.01      0.01      0.00      0.02     99.08      1.00
    beta_1[50]      0.01      0.01      0.01      0.00      0.02    100.53      1.00
    beta_1[51]      0.01      0.01      0.01      0.00      0.02    104.47      1.00
    beta_1[52]      0.01      0.01      0.01      0.00      0.02    102.18      1.00
    beta_1[53]      0.01      0.01      0.01      0.00      0.02    104.18      1.00
    beta_1[54]      0.01      0.01      0.01      0.00      0.02    103.37      1.00
    beta_1[55]      0.01      0.01      0.01      0.00      0.02    104.57      1.00
    beta_1[56]      0.01      0.01      0.01      0.01      0.02    105.55      1.00
    beta_1[57]      0.01      0.01      0.01      0.01      0.02    105.59      1.00
    beta_1[58]      0.02      0.01      0.02      0.01      0.02    103.07      1.00
    beta_1[59]      0.02      0.01      0.02      0.01      0.02    101.92      1.00
    beta_1[60]      0.02      0.01      0.02      0.01      0.02    105.06      1.00
    beta_1[61]      0.02      0.01      0.02      0.01      0.03    116.85      1.00
    beta_1[62]      0.02      0.01      0.02      0.01      0.03    114.96      1.00
    beta_1[63]      0.02      0.01      0.02      0.01      0.03    114.86      1.00
    beta_1[64]      0.02      0.01      0.02      0.01      0.03    116.42      1.00
    beta_1[65]      0.02      0.01      0.02      0.01      0.02    117.16      1.00
    beta_1[66]      0.02      0.01      0.02      0.01      0.03    117.72      1.00
    beta_1[67]      0.02      0.01      0.02      0.01      0.03    122.82      1.00
    beta_1[68]      0.02      0.01      0.02      0.01      0.03    126.61      1.00
    beta_1[69]      0.02      0.01      0.02      0.01      0.03    126.18      1.00
    beta_1[70]      0.02      0.01      0.02      0.01      0.03    133.17      1.00
    beta_1[71]      0.02      0.01      0.02      0.01      0.03    137.60      1.00
    beta_1[72]      0.02      0.01      0.02      0.01      0.03    138.04      1.00
    beta_1[73]      0.02      0.01      0.02      0.01      0.03    147.78      1.00
    beta_1[74]      0.02      0.01      0.02      0.01      0.03    156.42      1.00
    beta_1[75]      0.02      0.01      0.02      0.01      0.03    161.65      1.00
    beta_1[76]      0.02      0.01      0.02      0.01      0.03    165.87      1.00
    beta_1[77]      0.02      0.01      0.02      0.01      0.03    165.31      1.00
    beta_1[78]      0.02      0.01      0.02      0.01      0.03    163.59      1.00
    beta_1[79]      0.02      0.01      0.02      0.01      0.03    165.11      1.00
    beta_1[80]      0.02      0.01      0.02      0.01      0.03    166.67      1.00
    beta_1[81]      0.02      0.01      0.02      0.01      0.03    162.06      1.00
    beta_1[82]      0.02      0.01      0.02      0.01      0.03    164.80      1.00
    beta_1[83]      0.02      0.00      0.02      0.01      0.03    166.70      1.00
    beta_1[84]      0.02      0.00      0.02      0.01      0.03    170.28      1.00
    beta_1[85]      0.02      0.00      0.02      0.01      0.03    169.14      1.00
    beta_1[86]      0.02      0.00      0.02      0.01      0.03    166.25      1.00
    beta_1[87]      0.02      0.00      0.02      0.01      0.03    164.80      1.00
    beta_1[88]      0.02      0.00      0.02      0.01      0.03    163.24      1.00
    beta_1[89]      0.02      0.00      0.02      0.02      0.03    159.69      1.00
    beta_1[90]      0.02      0.00      0.02      0.01      0.03    166.17      1.00
    beta_1[91]      0.02      0.00      0.02      0.02      0.03    168.97      1.00
    beta_1[92]      0.02      0.00      0.02      0.02      0.03    169.12      1.00
    beta_1[93]      0.02      0.00      0.02      0.02      0.03    168.81      1.00
    beta_1[94]      0.02      0.00      0.02      0.02      0.03    165.17      1.00
    beta_1[95]      0.02      0.00      0.02      0.02      0.03    163.93      1.00
    beta_1[96]      0.02      0.00      0.02      0.02      0.03    157.76      1.00
    beta_1[97]      0.02      0.00      0.02      0.02      0.03    159.04      1.00
    beta_1[98]      0.02      0.00      0.02      0.02      0.03    159.94      1.00
    beta_1[99]      0.02      0.00      0.02      0.02      0.03    160.06      1.00
   beta_1[100]      0.02      0.00      0.02      0.02      0.03    161.98      1.00
   beta_1[101]      0.02      0.00      0.02      0.02      0.03    165.03      1.00
   beta_1[102]      0.02      0.00      0.02      0.02      0.03    170.81      1.00
   beta_1[103]      0.02      0.00      0.02      0.02      0.03    173.41      1.00
   beta_1[104]      0.02      0.00      0.02      0.02      0.03    174.16      1.00
   beta_1[105]      0.02      0.00      0.02      0.02      0.03    178.71      1.00
   beta_1[106]      0.02      0.00      0.02      0.02      0.03    179.26      1.00
   beta_1[107]      0.02      0.00      0.02      0.02      0.03    174.12      1.00
   beta_1[108]      0.02      0.00      0.02      0.02      0.03    175.95      1.00
   beta_1[109]      0.02      0.00      0.02      0.02      0.03    186.64      1.00
   beta_1[110]      0.02      0.00      0.02      0.02      0.03    190.49      1.00
   beta_1[111]      0.02      0.00      0.02      0.02      0.03    193.57      1.00
   beta_1[112]      0.02      0.00      0.02      0.02      0.03    197.58      1.00
   beta_1[113]      0.02      0.00      0.02      0.02      0.03    209.92      1.00
   beta_1[114]      0.02      0.00      0.02      0.02      0.03    218.18      1.00
   beta_1[115]      0.02      0.00      0.02      0.02      0.03    224.32      1.00
   beta_1[116]      0.02      0.00      0.02      0.02      0.03    241.29      1.00
   beta_1[117]      0.02      0.00      0.02      0.02      0.03    246.39      1.00
   beta_1[118]      0.02      0.00      0.02      0.02      0.03    276.63      1.00
   beta_1[119]      0.02      0.00      0.02      0.02      0.03    279.23      1.00
   beta_1[120]      0.02      0.00      0.02      0.02      0.03    283.84      1.00
   beta_1[121]      0.02      0.00      0.02      0.02      0.03    301.40      1.00
   beta_1[122]      0.02      0.00      0.02      0.02      0.03    291.08      1.00
   beta_1[123]      0.02      0.00      0.02      0.02      0.03    305.12      1.00
   beta_1[124]      0.02      0.00      0.02      0.02      0.03    319.29      1.00
   beta_1[125]      0.02      0.00      0.02      0.02      0.03    330.68      1.00
   beta_1[126]      0.02      0.00      0.02      0.02      0.03    350.53      1.00
   beta_1[127]      0.02      0.00      0.02      0.02      0.03    333.43      1.00
   beta_1[128]      0.02      0.00      0.02      0.02      0.03    328.02      1.00
   beta_1[129]      0.02      0.00      0.02      0.02      0.03    343.49      1.00
   beta_1[130]      0.02      0.00      0.02      0.02      0.03    356.08      1.00
   beta_1[131]      0.02      0.00      0.02      0.01      0.03    355.44      1.00
   beta_1[132]      0.02      0.00      0.02      0.02      0.03    358.45      1.00
   beta_1[133]      0.02      0.00      0.02      0.01      0.02    379.90      1.00
   beta_1[134]      0.02      0.00      0.02      0.01      0.02    386.55      1.00
   beta_1[135]      0.02      0.00      0.02      0.01      0.02    396.41      1.00
   beta_1[136]      0.02      0.00      0.02      0.01      0.02    392.83      1.00
   beta_1[137]      0.02      0.00      0.02      0.01      0.02    385.06      1.00
   beta_1[138]      0.02      0.00      0.02      0.01      0.02    393.66      1.00
   beta_1[139]      0.02      0.00      0.02      0.01      0.02    434.48      1.00
   beta_1[140]      0.02      0.00      0.02      0.01      0.02    460.99      1.00
   beta_1[141]      0.02      0.00      0.02      0.01      0.02    493.41      1.00
   beta_1[142]      0.02      0.00      0.02      0.01      0.02    496.88      1.00
   beta_1[143]      0.02      0.00      0.02      0.01      0.02    550.37      1.00
   beta_1[144]      0.02      0.00      0.02      0.01      0.02    575.92      1.00
   beta_1[145]      0.02      0.00      0.02      0.01      0.02    566.74      1.00
   beta_1[146]      0.02      0.00      0.02      0.01      0.02    604.06      1.00
   beta_1[147]      0.02      0.00      0.02      0.01      0.02    624.09      1.00
   beta_1[148]      0.02      0.00      0.02      0.01      0.02    614.11      1.00
   beta_1[149]      0.02      0.00      0.02      0.01      0.02    641.85      1.00
   beta_1[150]      0.02      0.00      0.02      0.01      0.02    651.69      1.00
   beta_1[151]      0.02      0.00      0.02      0.01      0.02    712.27      1.00
   beta_1[152]      0.02      0.00      0.02      0.01      0.02    768.71      1.00
   beta_1[153]      0.01      0.00      0.01      0.01      0.02    784.94      1.00
   beta_1[154]      0.01      0.00      0.01      0.01      0.02    844.45      1.00
   beta_1[155]      0.01      0.00      0.01      0.01      0.02    868.83      1.00
   beta_1[156]      0.01      0.00      0.01      0.01      0.02    942.76      1.00
   beta_1[157]      0.01      0.00      0.01      0.01      0.02   1082.91      1.00
   beta_1[158]      0.01      0.00      0.01      0.01      0.02   1125.68      1.00
   beta_1[159]      0.01      0.00      0.01      0.01      0.02   1308.63      1.00
   beta_1[160]      0.01      0.00      0.01      0.01      0.02   1318.55      1.00
   beta_1[161]      0.01      0.00      0.01      0.01      0.02   1338.15      1.00
   beta_1[162]      0.01      0.00      0.01      0.01      0.01   1648.64      1.00
   beta_1[163]      0.01      0.00      0.01      0.01      0.01   1699.51      1.00
   beta_1[164]      0.01      0.00      0.01      0.01      0.01   1785.28      1.00
   beta_1[165]      0.01      0.00      0.01      0.01      0.02   1801.57      1.00
   beta_1[166]      0.01      0.00      0.01      0.01      0.02   2011.15      1.00
   beta_1[167]      0.01      0.00      0.01      0.01      0.02   1990.11      1.00
   beta_1[168]      0.01      0.00      0.01      0.01      0.02   2132.75      1.00
   beta_1[169]      0.01      0.00      0.01      0.01      0.02   2232.85      1.00
   beta_1[170]      0.01      0.00      0.01      0.01      0.02   2293.62      1.00
   beta_1[171]      0.01      0.00      0.01      0.01      0.02   2241.46      1.00
   beta_1[172]      0.02      0.00      0.02      0.01      0.02   2249.41      1.00
   beta_1[173]      0.02      0.00      0.02      0.01      0.02   2240.36      1.00
