                     date locationtest  value abbreviation location  population
location_name                                                                  
California     2020-01-24           06      0           CA       06  39512223.0
California     2020-01-25           06      0           CA       06  39512223.0
California     2020-01-26           06      2           CA       06  39512223.0
California     2020-01-27           06      0           CA       06  39512223.0
California     2020-01-28           06      0           CA       06  39512223.0
...                   ...          ...    ...          ...      ...         ...
California     2021-01-07           06  45498           CA       06  39512223.0
California     2021-01-08           06  43474           CA       06  39512223.0
California     2021-01-09           06  55433           CA       06  39512223.0
California     2021-01-10           06  42600           CA       06  39512223.0
California     2021-01-11           06  35877           CA       06  39512223.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1199.41      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1658.83      1.00
 a_raw_init[2]      0.02      0.00      0.02      0.01      0.03   1056.91      1.00
 a_raw_init[3]      0.12      0.00      0.12      0.11      0.13    861.12      1.00
 a_raw_init[4]      0.08      0.00      0.08      0.07      0.09    788.20      1.00
 a_raw_init[5]      0.18      0.01      0.18      0.17      0.19    733.58      1.01
 a_raw_init[6]      0.13      0.00      0.13      0.12      0.14    774.44      1.00
 a_raw_init[7]      0.52      0.00      0.52      0.52      0.53    878.82      1.00
 a_raw_init[8]      0.63      0.01      0.63      0.62      0.64    831.35      1.00
 a_raw_init[9]      0.53      0.01      0.53      0.52      0.54   1009.27      1.00
a_raw_init[10]      0.41      0.00      0.41      0.40      0.42   1415.73      1.00
a_raw_init[11]      0.34      0.00      0.34      0.33      0.35   1245.34      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1448.83      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    924.28      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    628.42      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    505.28      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    474.23      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    390.08      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    376.51      1.00
     beta_1[7]      0.00      0.00      0.00      0.00      0.01    335.58      1.00
     beta_1[8]      0.01      0.00      0.01     -0.00      0.01    328.00      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    328.53      1.00
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    293.85      1.00
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    284.10      1.00
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    260.72      1.00
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    253.72      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.02    245.44      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.02    235.95      1.00
    beta_1[16]      0.01      0.00      0.01      0.00      0.02    232.72      1.00
    beta_1[17]      0.01      0.00      0.01      0.00      0.02    225.14      1.00
    beta_1[18]      0.01      0.00      0.01      0.00      0.02    215.03      1.00
    beta_1[19]      0.01      0.00      0.01      0.00      0.02    208.55      1.00
    beta_1[20]      0.01      0.00      0.01      0.01      0.02    201.78      1.00
    beta_1[21]      0.01      0.00      0.01      0.01      0.02    201.89      1.00
    beta_1[22]      0.01      0.00      0.01      0.01      0.02    190.85      1.00
    beta_1[23]      0.01      0.00      0.01      0.01      0.02    185.64      1.00
    beta_1[24]      0.01      0.00      0.01      0.01      0.02    177.62      1.00
    beta_1[25]      0.02      0.00      0.02      0.01      0.02    169.53      1.00
    beta_1[26]      0.02      0.00      0.02      0.01      0.02    165.37      1.00
    beta_1[27]      0.02      0.00      0.02      0.01      0.02    156.57      1.00
    beta_1[28]      0.02      0.00      0.02      0.01      0.02    154.83      1.00
    beta_1[29]      0.02      0.00      0.02      0.01      0.02    150.77      1.00
    beta_1[30]      0.02      0.00      0.02      0.01      0.03    148.70      1.00
    beta_1[31]      0.02      0.00      0.02      0.01      0.03    145.73      1.00
    beta_1[32]      0.02      0.00      0.02      0.01      0.03    142.56      1.00
    beta_1[33]      0.02      0.00      0.02      0.01      0.03    140.92      1.00
    beta_1[34]      0.02      0.00      0.02      0.01      0.03    144.29      1.00
    beta_1[35]      0.02      0.00      0.02      0.01      0.03    140.87      1.00
    beta_1[36]      0.02      0.00      0.02      0.01      0.03    135.83      1.00
    beta_1[37]      0.02      0.00      0.02      0.01      0.03    134.37      1.00
    beta_1[38]      0.02      0.00      0.02      0.02      0.03    133.05      1.00
    beta_1[39]      0.02      0.00      0.02      0.02      0.03    130.01      1.01
    beta_1[40]      0.02      0.00      0.02      0.02      0.03    128.11      1.01
    beta_1[41]      0.02      0.00      0.02      0.02      0.03    126.89      1.01
    beta_1[42]      0.03      0.00      0.03      0.02      0.03    124.25      1.01
    beta_1[43]      0.03      0.01      0.03      0.02      0.03    121.60      1.01
    beta_1[44]      0.03      0.01      0.03      0.02      0.04    118.68      1.01
    beta_1[45]      0.03      0.01      0.03      0.02      0.04    117.79      1.01
    beta_1[46]      0.03      0.01      0.03      0.02      0.04    116.84      1.01
    beta_1[47]      0.03      0.01      0.03      0.02      0.04    114.26      1.01
    beta_1[48]      0.03      0.01      0.03      0.02      0.04    110.61      1.01
    beta_1[49]      0.03      0.01      0.03      0.02      0.04    110.53      1.01
    beta_1[50]      0.03      0.01      0.03      0.02      0.04    106.07      1.01
    beta_1[51]      0.03      0.01      0.03      0.02      0.04    104.14      1.02
    beta_1[52]      0.03      0.01      0.03      0.02      0.04    110.74      1.01
    beta_1[53]      0.03      0.01      0.03      0.02      0.04    113.26      1.01
    beta_1[54]      0.03      0.01      0.03      0.02      0.04    115.59      1.02
    beta_1[55]      0.03      0.01      0.03      0.02      0.04    116.90      1.02
    beta_1[56]      0.03      0.01      0.03      0.03      0.04    120.18      1.02
    beta_1[57]      0.03      0.01      0.03      0.03      0.04    119.40      1.02
    beta_1[58]      0.03      0.01      0.03      0.03      0.04    120.47      1.02
    beta_1[59]      0.04      0.01      0.04      0.03      0.04    122.67      1.02
    beta_1[60]      0.04      0.01      0.04      0.03      0.04    122.95      1.02
    beta_1[61]      0.04      0.01      0.04      0.03      0.04    127.68      1.02
    beta_1[62]      0.04      0.01      0.04      0.03      0.05    125.86      1.02
    beta_1[63]      0.04      0.01      0.04      0.03      0.05    122.89      1.02
    beta_1[64]      0.04      0.00      0.04      0.03      0.05    124.64      1.02
    beta_1[65]      0.04      0.00      0.04      0.03      0.05    124.75      1.02
    beta_1[66]      0.04      0.00      0.04      0.03      0.05    125.92      1.02
    beta_1[67]      0.04      0.00      0.04      0.03      0.05    126.01      1.02
    beta_1[68]      0.04      0.00      0.04      0.03      0.05    126.68      1.02
    beta_1[69]      0.04      0.00      0.04      0.03      0.05    128.52      1.02
    beta_1[70]      0.04      0.00      0.04      0.03      0.05    129.94      1.02
    beta_1[71]      0.04      0.00      0.04      0.03      0.05    129.76      1.02
    beta_1[72]      0.04      0.00      0.04      0.04      0.05    131.95      1.02
    beta_1[73]      0.04      0.00      0.04      0.04      0.05    133.68      1.02
