                     date locationtest  value abbreviation location  population
location_name                                                                  
Georgia        2020-01-24           13      0           GA       13  10617423.0
Georgia        2020-01-25           13      0           GA       13  10617423.0
Georgia        2020-01-26           13      0           GA       13  10617423.0
Georgia        2020-01-27           13      0           GA       13  10617423.0
Georgia        2020-01-28           13      0           GA       13  10617423.0
...                   ...          ...    ...          ...      ...         ...
Georgia        2021-01-07           13   9790           GA       13  10617423.0
Georgia        2021-01-08           13  13296           GA       13  10617423.0
Georgia        2021-01-09           13  11926           GA       13  10617423.0
Georgia        2021-01-10           13   8193           GA       13  10617423.0
Georgia        2021-01-11           13   7454           GA       13  10617423.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1979.99      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1863.71      1.00
 a_raw_init[2]      0.01      0.00      0.01      0.00      0.02    439.63      1.00
 a_raw_init[3]      0.25      0.01      0.25      0.24      0.26    633.88      1.00
 a_raw_init[4]      0.09      0.01      0.09      0.08      0.10   1310.66      1.00
 a_raw_init[5]      0.19      0.00      0.19      0.18      0.20   1392.37      1.00
 a_raw_init[6]      0.05      0.00      0.05      0.04      0.06   1244.21      1.00
 a_raw_init[7]      0.56      0.00      0.56      0.56      0.57   1593.34      1.00
 a_raw_init[8]      0.86      0.00      0.86      0.85      0.86   1602.20      1.00
 a_raw_init[9]      0.63      0.00      0.63      0.62      0.64   1963.06      1.00
a_raw_init[10]      0.50      0.00      0.50      0.50      0.51   2231.26      1.00
a_raw_init[11]      0.44      0.00      0.44      0.43      0.45   2082.87      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1483.40      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1157.46      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00   1020.82      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    887.55      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    713.68      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    603.45      1.00
     beta_1[6]      0.00      0.00      0.00      0.00      0.01    567.99      1.00
     beta_1[7]      0.00      0.00      0.00      0.00      0.01    505.16      1.00
     beta_1[8]      0.01      0.00      0.01      0.00      0.01    505.38      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    453.86      1.00
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    436.42      1.00
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    400.13      1.00
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    369.02      1.00
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    343.82      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.02    319.92      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.02    306.72      1.00
    beta_1[16]      0.01      0.00      0.01      0.00      0.02    308.11      1.00
    beta_1[17]      0.01      0.00      0.01      0.00      0.02    293.52      1.00
    beta_1[18]      0.01      0.00      0.01      0.01      0.02    282.27      1.00
    beta_1[19]      0.01      0.00      0.01      0.01      0.02    283.36      1.00
    beta_1[20]      0.01      0.00      0.01      0.01      0.02    285.42      1.00
    beta_1[21]      0.01      0.00      0.01      0.01      0.02    274.87      1.00
    beta_1[22]      0.01      0.00      0.01      0.01      0.02    267.59      1.00
    beta_1[23]      0.01      0.00      0.01      0.01      0.02    266.49      1.00
    beta_1[24]      0.02      0.00      0.02      0.01      0.02    270.49      1.00
    beta_1[25]      0.02      0.00      0.02      0.01      0.02    270.43      1.00
    beta_1[26]      0.02      0.00      0.02      0.01      0.02    262.15      1.00
    beta_1[27]      0.02      0.00      0.02      0.01      0.02    265.49      1.00
    beta_1[28]      0.02      0.00      0.02      0.01      0.02    267.54      1.00
    beta_1[29]      0.02      0.00      0.02      0.01      0.03    268.76      1.00
    beta_1[30]      0.02      0.00      0.02      0.01      0.03    273.32      1.00
    beta_1[31]      0.02      0.00      0.02      0.01      0.03    268.11      1.00
    beta_1[32]      0.02      0.00      0.02      0.01      0.03    267.35      1.00
    beta_1[33]      0.02      0.00      0.02      0.01      0.03    267.66      1.00
    beta_1[34]      0.02      0.00      0.02      0.01      0.03    268.59      1.00
    beta_1[35]      0.02      0.00      0.02      0.01      0.03    263.13      1.00
    beta_1[36]      0.02      0.00      0.02      0.01      0.03    264.76      1.00
    beta_1[37]      0.02      0.00      0.02      0.01      0.03    269.53      1.00
    beta_1[38]      0.02      0.00      0.02      0.02      0.03    265.77      1.00
    beta_1[39]      0.02      0.00      0.02      0.02      0.03    255.66      1.00
    beta_1[40]      0.02      0.00      0.02      0.02      0.03    249.52      1.00
    beta_1[41]      0.03      0.00      0.03      0.02      0.03    244.25      1.00
    beta_1[42]      0.03      0.00      0.03      0.02      0.03    241.98      1.00
    beta_1[43]      0.03      0.00      0.03      0.02      0.03    242.52      1.00
    beta_1[44]      0.03      0.00      0.03      0.02      0.04    244.63      1.00
    beta_1[45]      0.03      0.00      0.03      0.02      0.04    241.45      1.00
    beta_1[46]      0.03      0.00      0.03      0.02      0.04    239.64      1.00
    beta_1[47]      0.03      0.00      0.03      0.02      0.04    244.08      1.00
    beta_1[48]      0.03      0.00      0.03      0.02      0.04    237.78      1.00
    beta_1[49]      0.03      0.00      0.03      0.02      0.04    239.22      1.00
    beta_1[50]      0.03      0.00      0.03      0.02      0.04    236.20      1.00
    beta_1[51]      0.03      0.00      0.03      0.02      0.04    231.75      1.00
    beta_1[52]      0.03      0.00      0.03      0.02      0.04    226.93      1.00
    beta_1[53]      0.03      0.00      0.03      0.02      0.04    231.11      1.00
    beta_1[54]      0.03      0.00      0.03      0.02      0.04    222.88      1.00
    beta_1[55]      0.03      0.00      0.03      0.03      0.04    220.64      1.00
    beta_1[56]      0.03      0.00      0.03      0.03      0.04    225.59      1.00
    beta_1[57]      0.03      0.00      0.03      0.03      0.04    226.14      1.00
    beta_1[58]      0.04      0.00      0.04      0.03      0.04    219.15      1.00
    beta_1[59]      0.04      0.00      0.04      0.03      0.04    220.47      1.00
    beta_1[60]      0.04      0.00      0.04      0.03      0.04    222.65      1.00
    beta_1[61]      0.04      0.00      0.04      0.03      0.04    221.91      1.00
    beta_1[62]      0.04      0.00      0.04      0.03      0.05    223.58      1.00
    beta_1[63]      0.04      0.00      0.04      0.03      0.05    229.78      1.00
    beta_1[64]      0.04      0.00      0.04      0.03      0.05    230.71      1.00
    beta_1[65]      0.04      0.00      0.04      0.03      0.05    229.30      1.00
    beta_1[66]      0.04      0.00      0.04      0.03      0.05    230.66      1.00
    beta_1[67]      0.04      0.00      0.04      0.03      0.05    228.78      1.00
    beta_1[68]      0.04      0.00      0.04      0.03      0.05    228.50      1.00
    beta_1[69]      0.04      0.00      0.04      0.03      0.05    235.06      1.00
    beta_1[70]      0.04      0.00      0.04      0.03      0.05    242.11      1.00
    beta_1[71]      0.04      0.00      0.04      0.04      0.05    245.34      1.00
    beta_1[72]      0.04      0.00      0.04      0.04      0.05    246.00      1.00
    beta_1[73]      0.04      0.00      0.04      0.04      0.05    244.07      1.00
    beta_1[74]      0.04      0.00      0.04      0.04      0.05    238.62      1.00
    beta_1[75]      0.04      0.00      0.04      0.04      0.05    245.99      1.00
    beta_1[76]      0.04      0.00      0.04      0.04      0.05    251.21      1.00
    beta_1[77]      0.04      0.00      0.04      0.04      0.05    254.14      1.00
    beta_1[78]      0.05      0.00      0.05      0.04      0.05    253.35      1.00
    beta_1[79]      0.05      0.00      0.05      0.04      0.05    255.99      1.00
    beta_1[80]      0.05      0.00      0.05      0.04      0.05    260.12      1.00
    beta_1[81]      0.05      0.00      0.05      0.04      0.05    266.40      1.00
    beta_1[82]      0.05      0.00      0.05      0.04      0.05    264.61      1.00
    beta_1[83]      0.05      0.00      0.05      0.04      0.05    266.01      1.00
    beta_1[84]      0.05      0.00      0.05      0.04      0.05    269.65      1.00
    beta_1[85]      0.05      0.00      0.05      0.04      0.05    272.04      1.00
    beta_1[86]      0.05      0.00      0.05      0.04      0.05    283.58      1.00
    beta_1[87]      0.05      0.00      0.05      0.04      0.05    288.13      1.00
    beta_1[88]      0.05      0.00      0.05      0.04      0.05    300.31      1.00
    beta_1[89]      0.05      0.00      0.05      0.04      0.05    309.16      1.00
    beta_1[90]      0.04      0.00      0.04      0.04      0.05    306.68      1.00
    beta_1[91]      0.04      0.00      0.04      0.04      0.05    318.84      1.00
    beta_1[92]      0.04      0.00      0.04      0.04      0.05    307.67      1.00
    beta_1[93]      0.04      0.00      0.04      0.04      0.05    318.70      1.00
    beta_1[94]      0.04      0.00      0.04      0.04      0.05    323.71      1.00
    beta_1[95]      0.04      0.00      0.04      0.04      0.05    345.50      1.00
    beta_1[96]      0.04      0.00      0.04      0.04      0.05    362.91      1.00
    beta_1[97]      0.04      0.00      0.04      0.04      0.05    382.05      1.00
    beta_1[98]      0.04      0.00      0.04      0.04      0.05    404.04      1.00
    beta_1[99]      0.04      0.00      0.04      0.04      0.05    404.26      1.00
   beta_1[100]      0.04      0.00      0.04      0.04      0.05    402.09      1.00
   beta_1[101]      0.04      0.00      0.04      0.03      0.04    412.56      1.00
   beta_1[102]      0.04      0.00      0.04      0.03      0.04    406.86      1.00
