                     date locationtest  value abbreviation location  population
location_name                                                                  
Connecticut    2020-01-24           09      0           CT       09   3565287.0
Connecticut    2020-01-25           09      0           CT       09   3565287.0
Connecticut    2020-01-26           09      0           CT       09   3565287.0
Connecticut    2020-01-27           09      0           CT       09   3565287.0
Connecticut    2020-01-28           09      0           CT       09   3565287.0
...                   ...          ...    ...          ...      ...         ...
Connecticut    2021-01-07           09   3304           CT       09   3565287.0
Connecticut    2021-01-08           09   3236           CT       09   3565287.0
Connecticut    2021-01-09           09      0           CT       09   3565287.0
Connecticut    2021-01-10           09      0           CT       09   3565287.0
Connecticut    2021-01-11           09   7364           CT       09   3565287.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1682.89      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2003.43      1.00
 a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   2017.91      1.00
 a_raw_init[3]      0.61      0.00      0.61      0.61      0.62   1601.04      1.00
 a_raw_init[4]      0.24      0.00      0.24      0.23      0.24   1133.08      1.00
 a_raw_init[5]      0.22      0.00      0.22      0.22      0.23    957.98      1.00
 a_raw_init[6]      0.03      0.01      0.03      0.02      0.04    885.77      1.00
 a_raw_init[7]      0.03      0.01      0.02      0.02      0.03    815.84      1.00
 a_raw_init[8]      0.08      0.01      0.08      0.07      0.08    756.48      1.00
 a_raw_init[9]      0.02      0.01      0.02      0.01      0.03    610.14      1.00
a_raw_init[10]      0.08      0.01      0.08      0.07      0.09    934.27      1.00
a_raw_init[11]      0.05      0.01      0.05      0.04      0.06   1335.65      1.00
a_raw_init[12]      0.04      0.01      0.04      0.03      0.05    963.37      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00    969.72      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    980.63      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    571.99      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    500.29      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    431.76      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    379.71      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    337.68      1.00
     beta_1[7]      0.00      0.00      0.00      0.00      0.01    306.42      1.01
     beta_1[8]      0.00      0.00      0.01      0.00      0.01    294.39      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    271.19      1.01
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    245.99      1.01
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    235.15      1.01
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    234.17      1.01
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    228.53      1.01
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    214.19      1.01
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    205.42      1.01
    beta_1[16]      0.01      0.00      0.01      0.00      0.01    199.10      1.01
    beta_1[17]      0.01      0.00      0.01      0.00      0.02    192.88      1.01
