                     date locationtest  value abbreviation location  population
location_name                                                                  
Mississippi    2020-01-24           28      0           MS       28   2976149.0
Mississippi    2020-01-25           28      0           MS       28   2976149.0
Mississippi    2020-01-26           28      0           MS       28   2976149.0
Mississippi    2020-01-27           28      0           MS       28   2976149.0
Mississippi    2020-01-28           28      0           MS       28   2976149.0
...                   ...          ...    ...          ...      ...         ...
Mississippi    2021-01-07           28      0           MS       28   2976149.0
Mississippi    2021-01-08           28   5430           MS       28   2976149.0
Mississippi    2021-01-09           28   3203           MS       28   2976149.0
Mississippi    2021-01-10           28   2214           MS       28   2976149.0
Mississippi    2021-01-11           28   1227           MS       28   2976149.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1891.26      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1778.12      1.00
 a_raw_init[2]      0.01      0.00      0.01      0.01      0.02    238.73      1.00
 a_raw_init[3]      0.13      0.00      0.13      0.12      0.14    483.17      1.00
 a_raw_init[4]      0.14      0.00      0.14      0.13      0.15    675.29      1.00
 a_raw_init[5]      0.16      0.00      0.16      0.15      0.17    635.82      1.00
 a_raw_init[6]      0.17      0.00      0.17      0.16      0.18    741.55      1.00
 a_raw_init[7]      0.28      0.01      0.28      0.28      0.29    885.78      1.00
 a_raw_init[8]      0.84      0.01      0.84      0.83      0.85    840.96      1.00
 a_raw_init[9]      0.41      0.01      0.41      0.40      0.42    805.22      1.00
a_raw_init[10]      0.40      0.01      0.40      0.39      0.41   1022.98      1.00
a_raw_init[11]      0.37      0.01      0.37      0.36      0.38   1595.21      1.00
a_raw_init[12]      0.36      0.01      0.36      0.35      0.37   1322.70      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1430.59      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    839.07      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    554.80      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    439.76      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    386.16      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    328.64      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    270.74      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    235.39      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    218.22      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    226.62      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    206.86      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    197.10      1.00
    beta_1[12]      0.01      0.00      0.01     -0.00      0.01    178.74      1.00
    beta_1[13]      0.01      0.00      0.01     -0.00      0.01    180.43      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    162.12      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    155.66      1.00
    beta_1[16]      0.01      0.00      0.01      0.00      0.01    147.86      1.00
    beta_1[17]      0.01      0.00      0.01      0.00      0.01    145.08      1.00
    beta_1[18]      0.01      0.00      0.01      0.00      0.01    146.12      1.00
    beta_1[19]      0.01      0.00      0.01      0.00      0.01    140.47      1.00
    beta_1[20]      0.01      0.00      0.01      0.00      0.01    135.26      1.00
    beta_1[21]      0.01      0.00      0.01      0.00      0.02    133.90      1.00
    beta_1[22]      0.01      0.00      0.01      0.00      0.02    133.66      1.00
    beta_1[23]      0.01      0.00      0.01      0.00      0.02    135.47      1.00
    beta_1[24]      0.01      0.00      0.01      0.00      0.02    135.25      1.00
    beta_1[25]      0.01      0.00      0.01      0.00      0.02    135.27      1.00
    beta_1[26]      0.01      0.00      0.01      0.00      0.02    132.35      1.00
    beta_1[27]      0.01      0.00      0.01      0.00      0.02    130.64      1.00
    beta_1[28]      0.01      0.00      0.01      0.00      0.02    127.03      1.00
    beta_1[29]      0.01      0.00      0.01      0.00      0.02    126.42      1.00
    beta_1[30]      0.01      0.00      0.01      0.00      0.02    127.36      1.00
    beta_1[31]      0.01      0.00      0.01      0.01      0.02    123.86      1.00
    beta_1[32]      0.01      0.00      0.01      0.00      0.02    124.98      1.00
    beta_1[33]      0.01      0.01      0.01      0.01      0.02    125.00      1.00
    beta_1[34]      0.01      0.01      0.01      0.01      0.02    127.93      1.00
    beta_1[35]      0.01      0.01      0.01      0.01      0.02    129.30      1.00
    beta_1[36]      0.01      0.01      0.01      0.01      0.02    129.28      1.00
    beta_1[37]      0.01      0.01      0.01      0.01      0.02    129.18      1.00
    beta_1[38]      0.02      0.01      0.02      0.01      0.02    124.06      1.00
    beta_1[39]      0.02      0.01      0.02      0.01      0.02    122.61      1.01
    beta_1[40]      0.02      0.01      0.02      0.01      0.02    122.66      1.01
    beta_1[41]      0.02      0.01      0.02      0.01      0.02    124.93      1.01
    beta_1[42]      0.02      0.01      0.02      0.01      0.02    128.58      1.01
    beta_1[43]      0.02      0.01      0.02      0.01      0.03    131.18      1.01
    beta_1[44]      0.02      0.01      0.02      0.01      0.03    126.79      1.01
    beta_1[45]      0.02      0.01      0.02      0.01      0.03    128.25      1.01
    beta_1[46]      0.02      0.01      0.02      0.01      0.03    129.85      1.01
    beta_1[47]      0.02      0.01      0.02      0.01      0.03    131.76      1.01
    beta_1[48]      0.02      0.01      0.02      0.01      0.03    128.62      1.01
    beta_1[49]      0.02      0.01      0.02      0.01      0.03    129.24      1.01
    beta_1[50]      0.02      0.01      0.02      0.01      0.03    131.76      1.01
    beta_1[51]      0.02      0.01      0.02      0.01      0.03    134.48      1.01
    beta_1[52]      0.02      0.01      0.02      0.01      0.03    131.91      1.01
    beta_1[53]      0.02      0.01      0.02      0.01      0.03    128.09      1.01
    beta_1[54]      0.02      0.01      0.02      0.01      0.03    129.27      1.01
    beta_1[55]      0.02      0.01      0.02      0.01      0.03    131.96      1.01
    beta_1[56]      0.02      0.01      0.02      0.01      0.03    130.58      1.01
    beta_1[57]      0.02      0.01      0.02      0.01      0.03    130.73      1.01
    beta_1[58]      0.02      0.01      0.02      0.01      0.03    135.35      1.01
    beta_1[59]      0.02      0.01      0.02      0.01      0.03    136.88      1.01
    beta_1[60]      0.02      0.01      0.02      0.01      0.03    137.82      1.01
    beta_1[61]      0.02      0.01      0.02      0.02      0.03    140.81      1.01
    beta_1[62]      0.02      0.01      0.02      0.02      0.03    141.50      1.01
    beta_1[63]      0.02      0.01      0.02      0.02      0.03    139.22      1.01
    beta_1[64]      0.03      0.01      0.03      0.02      0.03    146.36      1.01
    beta_1[65]      0.03      0.01      0.03      0.02      0.03    150.78      1.01
    beta_1[66]      0.03      0.00      0.03      0.02      0.03    153.75      1.01
    beta_1[67]      0.03      0.00      0.03      0.02      0.03    155.88      1.01
    beta_1[68]      0.03      0.00      0.03      0.02      0.03    159.08      1.01
    beta_1[69]      0.03      0.00      0.03      0.02      0.04    160.88      1.01
    beta_1[70]      0.03      0.00      0.03      0.02      0.04    167.13      1.01
    beta_1[71]      0.03      0.00      0.03      0.02      0.04    168.95      1.01
    beta_1[72]      0.03      0.00      0.03      0.02      0.04    172.91      1.01
    beta_1[73]      0.03      0.00      0.03      0.02      0.04    178.81      1.00
    beta_1[74]      0.03      0.00      0.03      0.02      0.04    177.94      1.00
    beta_1[75]      0.03      0.00      0.03      0.02      0.04    179.22      1.00
    beta_1[76]      0.03      0.00      0.03      0.02      0.04    180.69      1.00
    beta_1[77]      0.03      0.00      0.03      0.02      0.04    185.37      1.00
    beta_1[78]      0.03      0.00      0.03      0.02      0.04    182.21      1.00
    beta_1[79]      0.03      0.00      0.03      0.02      0.04    184.93      1.00
    beta_1[80]      0.03      0.00      0.03      0.02      0.04    185.80      1.00
    beta_1[81]      0.03      0.00      0.03      0.02      0.04    190.40      1.00
    beta_1[82]      0.03      0.00      0.03      0.03      0.04    190.81      1.00
    beta_1[83]      0.03      0.00      0.03      0.02      0.04    190.97      1.00
    beta_1[84]      0.03      0.00      0.03      0.03      0.04    188.96      1.00
    beta_1[85]      0.03      0.00      0.03      0.03      0.04    192.08      1.00
    beta_1[86]      0.03      0.00      0.03      0.03      0.04    194.20      1.00
    beta_1[87]      0.03      0.00      0.03      0.03      0.04    192.43      1.00
    beta_1[88]      0.03      0.00      0.03      0.03      0.04    189.47      1.00
    beta_1[89]      0.03      0.00      0.03      0.03      0.04    189.78      1.00
    beta_1[90]      0.03      0.00      0.03      0.03      0.04    191.88      1.00
    beta_1[91]      0.03      0.00      0.03      0.03      0.04    189.58      1.00
    beta_1[92]      0.03      0.00      0.03      0.03      0.04    192.48      1.00
    beta_1[93]      0.03      0.00      0.03      0.03      0.04    192.80      1.00
    beta_1[94]      0.03      0.00      0.03      0.03      0.04    196.16      1.00
    beta_1[95]      0.03      0.00      0.03      0.03      0.04    204.72      1.00
    beta_1[96]      0.03      0.00      0.03      0.03      0.04    201.63      1.00
    beta_1[97]      0.03      0.00      0.03      0.03      0.04    200.55      1.00
    beta_1[98]      0.03      0.00      0.03      0.03      0.04    206.44      1.00
    beta_1[99]      0.03      0.00      0.03      0.03      0.04    204.11      1.00
   beta_1[100]      0.03      0.00      0.03      0.03      0.04    206.45      1.00
   beta_1[101]      0.03      0.00      0.03      0.03      0.04    212.69      1.00
   beta_1[102]      0.03      0.00      0.03      0.03      0.04    214.21      1.00
   beta_1[103]      0.03      0.00      0.03      0.03      0.04    230.61      1.00
   beta_1[104]      0.03      0.00      0.03      0.03      0.04    238.53      1.00
   beta_1[105]      0.03      0.00      0.03      0.03      0.04    240.77      1.00
   beta_1[106]      0.03      0.00      0.03      0.03      0.04    239.62      1.00
   beta_1[107]      0.03      0.00      0.03      0.03      0.04    240.45      1.00
   beta_1[108]      0.03      0.00      0.03      0.03      0.04    231.76      1.00
   beta_1[109]      0.03      0.00      0.03      0.03      0.04    233.26      1.00
