                     date locationtest  value abbreviation location  population
location_name                                                                  
Virginia       2020-01-24           51      0           VA       51   8535519.0
Virginia       2020-01-25           51      0           VA       51   8535519.0
Virginia       2020-01-26           51      0           VA       51   8535519.0
Virginia       2020-01-27           51      0           VA       51   8535519.0
Virginia       2020-01-28           51      0           VA       51   8535519.0
...                   ...          ...    ...          ...      ...         ...
Virginia       2021-01-07           51   5379           VA       51   8535519.0
Virginia       2021-01-08           51   5238           VA       51   8535519.0
Virginia       2021-01-09           51   5798           VA       51   8535519.0
Virginia       2021-01-10           51   5141           VA       51   8535519.0
Virginia       2021-01-11           51   4530           VA       51   8535519.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1493.82      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1938.03      1.00
 a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   1826.95      1.00
 a_raw_init[3]      0.25      0.00      0.25      0.25      0.26    903.91      1.00
 a_raw_init[4]      0.36      0.00      0.36      0.35      0.36    865.10      1.00
 a_raw_init[5]      0.59      0.00      0.59      0.59      0.60    774.90      1.00
 a_raw_init[6]      0.27      0.01      0.27      0.26      0.27    765.69      1.00
 a_raw_init[7]      0.20      0.01      0.20      0.19      0.21    639.76      1.00
 a_raw_init[8]      0.61      0.01      0.61      0.61      0.62    604.79      1.00
 a_raw_init[9]      0.48      0.01      0.48      0.47      0.49    629.58      1.00
a_raw_init[10]      0.43      0.01      0.43      0.42      0.44    746.35      1.00
a_raw_init[11]      0.52      0.01      0.52      0.51      0.53    884.95      1.00
a_raw_init[12]      0.53      0.01      0.53      0.52      0.54    704.16      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00    903.71      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    604.19      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    387.08      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    295.12      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    261.01      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    217.94      1.01
     beta_1[6]      0.00      0.00      0.00      0.00      0.01    191.81      1.01
     beta_1[7]      0.01      0.00      0.01      0.00      0.01    179.63      1.01
     beta_1[8]      0.01      0.00      0.01      0.00      0.01    162.29      1.01
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    150.00      1.01
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    137.02      1.01
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    128.07      1.01
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    123.81      1.01
    beta_1[13]      0.01      0.00      0.01      0.00      0.02    117.55      1.01
    beta_1[14]      0.01      0.00      0.01      0.00      0.02    115.01      1.02
    beta_1[15]      0.01      0.00      0.01      0.00      0.02    109.78      1.02
    beta_1[16]      0.01      0.00      0.01      0.00      0.02    104.21      1.02
    beta_1[17]      0.01      0.00      0.01      0.01      0.02     97.97      1.03
    beta_1[18]      0.01      0.00      0.01      0.01      0.02     94.18      1.03
    beta_1[19]      0.01      0.00      0.01      0.01      0.02     90.84      1.03
    beta_1[20]      0.01      0.00      0.01      0.01      0.02     89.54      1.03
    beta_1[21]      0.01      0.00      0.01      0.01      0.02     88.75      1.04
    beta_1[22]      0.02      0.00      0.02      0.01      0.02     87.77      1.04
    beta_1[23]      0.02      0.00      0.02      0.01      0.02     85.43      1.04
    beta_1[24]      0.02      0.00      0.02      0.01      0.02     84.30      1.05
    beta_1[25]      0.02      0.00      0.02      0.01      0.02     81.75      1.05
    beta_1[26]      0.02      0.00      0.02      0.01      0.03     80.58      1.05
    beta_1[27]      0.02      0.00      0.02      0.01      0.03     81.98      1.05
    beta_1[28]      0.02      0.00      0.02      0.01      0.03     78.44      1.06
    beta_1[29]      0.02      0.00      0.02      0.01      0.03     77.97      1.06
    beta_1[30]      0.02      0.00      0.02      0.01      0.03     78.24      1.06
    beta_1[31]      0.02      0.00      0.02      0.01      0.03     78.25      1.06
    beta_1[32]      0.02      0.00      0.02      0.01      0.03     77.22      1.06
    beta_1[33]      0.02      0.01      0.02      0.01      0.03     76.35      1.07
    beta_1[34]      0.02      0.01      0.02      0.01      0.03     76.86      1.07
    beta_1[35]      0.02      0.01      0.02      0.02      0.03     77.38      1.07
    beta_1[36]      0.02      0.01      0.02      0.02      0.03     75.08      1.07
    beta_1[37]      0.02      0.01      0.03      0.02      0.03     75.99      1.07
    beta_1[38]      0.03      0.01      0.03      0.02      0.03     76.03      1.07
    beta_1[39]      0.03      0.01      0.03      0.02      0.03     78.39      1.07
    beta_1[40]      0.03      0.01      0.03      0.02      0.04     79.80      1.07
    beta_1[41]      0.03      0.01      0.03      0.02      0.04     79.16      1.07
    beta_1[42]      0.03      0.01      0.03      0.02      0.04     80.51      1.07
    beta_1[43]      0.03      0.01      0.03      0.02      0.04     83.44      1.07
    beta_1[44]      0.03      0.01      0.03      0.02      0.04     85.20      1.07
    beta_1[45]      0.03      0.01      0.03      0.02      0.04     88.71      1.06
    beta_1[46]      0.03      0.01      0.03      0.02      0.04     90.37      1.06
    beta_1[47]      0.03      0.00      0.03      0.02      0.04     91.70      1.06
    beta_1[48]      0.03      0.00      0.03      0.02      0.04     90.91      1.06
    beta_1[49]      0.03      0.00      0.03      0.02      0.04     88.09      1.06
    beta_1[50]      0.03      0.00      0.03      0.03      0.04     88.48      1.07
    beta_1[51]      0.03      0.00      0.03      0.03      0.04     82.17      1.07
    beta_1[52]      0.03      0.00      0.03      0.03      0.04     86.00      1.07
    beta_1[53]      0.04      0.00      0.04      0.03      0.04     90.09      1.07
    beta_1[54]      0.04      0.00      0.04      0.03      0.04     94.48      1.07
    beta_1[55]      0.04      0.00      0.04      0.03      0.04     94.38      1.06
    beta_1[56]      0.04      0.00      0.04      0.03      0.04    100.69      1.06
    beta_1[57]      0.04      0.00      0.04      0.03      0.05     97.29      1.06
    beta_1[58]      0.04      0.00      0.04      0.03      0.05     95.20      1.06
    beta_1[59]      0.04      0.00      0.04      0.03      0.05     98.94      1.05
    beta_1[60]      0.04      0.00      0.04      0.03      0.05     99.35      1.05
    beta_1[61]      0.04      0.00      0.04      0.03      0.05    103.22      1.04
    beta_1[62]      0.04      0.00      0.04      0.03      0.05    101.67      1.04
    beta_1[63]      0.04      0.00      0.04      0.03      0.05    107.58      1.03
    beta_1[64]      0.04      0.00      0.04      0.03      0.05    104.47      1.03
    beta_1[65]      0.04      0.00      0.04      0.04      0.05    103.14      1.03
    beta_1[66]      0.04      0.00      0.04      0.04      0.05     96.79      1.03
    beta_1[67]      0.04      0.00      0.04      0.04      0.05    100.19      1.03
    beta_1[68]      0.04      0.00      0.04      0.04      0.05     98.22      1.03
    beta_1[69]      0.05      0.00      0.05      0.04      0.05     90.04      1.02
    beta_1[70]      0.05      0.00      0.05      0.04      0.05     84.62      1.02
    beta_1[71]      0.05      0.00      0.05      0.04      0.05     83.49      1.02
    beta_1[72]      0.05      0.00      0.05      0.04      0.05     83.12      1.02
    beta_1[73]      0.05      0.00      0.05      0.04      0.05     85.25      1.01
    beta_1[74]      0.05      0.00      0.05      0.04      0.05     91.15      1.01
    beta_1[75]      0.05      0.00      0.05      0.04      0.05     91.21      1.01
    beta_1[76]      0.05      0.00      0.05      0.04      0.06     93.25      1.01
    beta_1[77]      0.05      0.00      0.05      0.04      0.06     95.84      1.01
    beta_1[78]      0.05      0.00      0.05      0.04      0.06     97.13      1.01
    beta_1[79]      0.05      0.00      0.05      0.05      0.06    102.20      1.01
    beta_1[80]      0.05      0.00      0.05      0.05      0.06    116.78      1.00
    beta_1[81]      0.05      0.00      0.05      0.05      0.06    128.86      1.00
    beta_1[82]      0.05      0.00      0.05      0.05      0.06    124.47      1.00
    beta_1[83]      0.05      0.00      0.05      0.05      0.06    136.19      1.00
    beta_1[84]      0.05      0.00      0.05      0.05      0.06    151.96      1.00
    beta_1[85]      0.05      0.00      0.05      0.05      0.06    159.01      1.00
    beta_1[86]      0.05      0.00      0.05      0.05      0.06    163.89      1.00
    beta_1[87]      0.05      0.00      0.05      0.05      0.06    176.11      1.00
    beta_1[88]      0.05      0.00      0.05      0.05      0.06    177.50      1.00
    beta_1[89]      0.05      0.00      0.05      0.05      0.06    178.19      1.00
    beta_1[90]      0.05      0.00      0.05      0.05      0.06    183.29      1.00
    beta_1[91]      0.05      0.00      0.05      0.05      0.06    175.10      1.00
    beta_1[92]      0.05      0.00      0.05      0.05      0.06    178.49      1.00
    beta_1[93]      0.05      0.00      0.05      0.05      0.06    196.78      1.00
    beta_1[94]      0.05      0.00      0.05      0.05      0.05    197.36      1.00
    beta_1[95]      0.05      0.00      0.05      0.05      0.05    198.64      1.00
    beta_1[96]      0.05      0.00      0.05      0.05      0.05    214.50      1.00
    beta_1[97]      0.05      0.00      0.05      0.05      0.05    215.88      1.00
    beta_1[98]      0.05      0.00      0.05      0.05      0.05    205.76      1.00
    beta_1[99]      0.05      0.00      0.05      0.04      0.05    217.16      1.00
   beta_1[100]      0.05      0.00      0.05      0.04      0.05    231.09      1.01
   beta_1[101]      0.05      0.00      0.05      0.04      0.05    223.02      1.01
   beta_1[102]      0.04      0.00      0.04      0.04      0.05    225.58      1.01
   beta_1[103]      0.04      0.00      0.04      0.04      0.05    226.42      1.01
   beta_1[104]      0.04      0.00      0.04      0.04      0.05    231.09      1.01
   beta_1[105]      0.04      0.00      0.04      0.04      0.04    239.32      1.01
   beta_1[106]      0.04      0.00      0.04      0.04      0.04    235.47      1.01
   beta_1[107]      0.04      0.00      0.04      0.03      0.04    269.11      1.01
   beta_1[108]      0.04      0.00      0.04      0.03      0.04    315.06      1.01
   beta_1[109]      0.04      0.00      0.04      0.03      0.04    318.43      1.01
   beta_1[110]      0.03      0.00      0.03      0.03      0.04    363.40      1.01
   beta_1[111]      0.03      0.00      0.03      0.03      0.04    365.84      1.01
   beta_1[112]      0.03      0.00      0.03      0.03      0.03    399.60      1.01
   beta_1[113]      0.03      0.00      0.03      0.03      0.03    478.11      1.01
   beta_1[114]      0.03      0.00      0.03      0.03      0.03    529.79      1.00
   beta_1[115]      0.03      0.00      0.03      0.03      0.03    566.39      1.01
   beta_1[116]      0.03      0.00      0.03      0.02      0.03    579.79      1.01
   beta_1[117]      0.03      0.00      0.03      0.02      0.03    630.00      1.00
   beta_1[118]      0.03      0.00      0.03      0.02      0.03    716.90      1.00
   beta_1[119]      0.03      0.00      0.03      0.02      0.03    792.85      1.00
   beta_1[120]      0.03      0.00      0.03      0.02      0.03    722.23      1.00
   beta_1[121]      0.02      0.00      0.02      0.02      0.03    775.08      1.00
   beta_1[122]      0.02      0.00      0.02      0.02      0.03    820.18      1.00
   beta_1[123]      0.02      0.00      0.02      0.02      0.03    816.34      1.00
   beta_1[124]      0.02      0.00      0.02      0.02      0.03    897.66      1.00
   beta_1[125]      0.02      0.00      0.02      0.02      0.03   1060.68      1.00
   beta_1[126]      0.02      0.00      0.02      0.02      0.02   1231.99      1.00
   beta_1[127]      0.02      0.00      0.02      0.02      0.02   1179.34      1.00
   beta_1[128]      0.02      0.00      0.02      0.01      0.02   1153.78      1.00
   beta_1[129]      0.01      0.00      0.01      0.01      0.02   1001.26      1.00
   beta_1[130]      0.01      0.00      0.01      0.01      0.02   1144.94      1.00
   beta_1[131]      0.01      0.00      0.01      0.01      0.02   1271.98      1.00
   beta_1[132]      0.01      0.00      0.01      0.01      0.01   1143.77      1.00
   beta_1[133]      0.01      0.00      0.01      0.01      0.01   1113.06      1.00
   beta_1[134]      0.01      0.00      0.01      0.01      0.01   1048.82      1.00
   beta_1[135]      0.01      0.00      0.01      0.01      0.01   1194.46      1.00
   beta_1[136]      0.01      0.00      0.01      0.01      0.01   1194.58      1.00
   beta_1[137]      0.01      0.00      0.01      0.01      0.01   1384.61      1.00
   beta_1[138]      0.01      0.00      0.01      0.01      0.01   1417.28      1.00
   beta_1[139]      0.01      0.00      0.01      0.01      0.01   1495.67      1.00
   beta_1[140]      0.01      0.00      0.01      0.01      0.01   1405.59      1.00
   beta_1[141]      0.01      0.00      0.01      0.00      0.01   1400.10      1.00
   beta_1[142]      0.01      0.00      0.01      0.00      0.01   1355.11      1.00
   beta_1[143]      0.01      0.00      0.01      0.00      0.01   1235.25      1.00
   beta_1[144]      0.01      0.00      0.01      0.00      0.01   1323.10      1.00
   beta_1[145]      0.01      0.00      0.01      0.00      0.01   1338.19      1.00
   beta_1[146]      0.01      0.00      0.01      0.00      0.01   1442.17      1.00
   beta_1[147]      0.01      0.00      0.01      0.00      0.01   1398.24      1.00
   beta_1[148]      0.01      0.00      0.01      0.00      0.01   1364.26      1.00
   beta_1[149]      0.01      0.00      0.01      0.00      0.01   1475.06      1.00
   beta_1[150]      0.01      0.00      0.01      0.01      0.01   1661.16      1.00
   beta_1[151]      0.01      0.00      0.01      0.01      0.01   1525.54      1.00
   beta_1[152]      0.01      0.00      0.01      0.01      0.01   1522.13      1.00
   beta_1[153]      0.01      0.00      0.01      0.01      0.01   1664.40      1.00
   beta_1[154]      0.01      0.00      0.01      0.01      0.01   1491.03      1.00
   beta_1[155]      0.01      0.00      0.01      0.01      0.01   1697.28      1.00
   beta_1[156]      0.01      0.00      0.01      0.01      0.01   1697.64      1.00
   beta_1[157]      0.01      0.00      0.01      0.01      0.01   1564.25      1.00
   beta_1[158]      0.01      0.00      0.01      0.01      0.01   1399.32      1.00
   beta_1[159]      0.01      0.00      0.01      0.01      0.01   1477.94      1.00
   beta_1[160]      0.01      0.00      0.01      0.01      0.01   1874.53      1.00
   beta_1[161]      0.01      0.00      0.01      0.01      0.01   1631.15      1.00
