                     date locationtest  value abbreviation location  population
location_name                                                                  
Wisconsin      2020-01-24           55      0           WI       55   5822434.0
Wisconsin      2020-01-25           55      0           WI       55   5822434.0
Wisconsin      2020-01-26           55      0           WI       55   5822434.0
Wisconsin      2020-01-27           55      0           WI       55   5822434.0
Wisconsin      2020-01-28           55      0           WI       55   5822434.0
...                   ...          ...    ...          ...      ...         ...
Wisconsin      2021-01-07           55   4509           WI       55   5822434.0
Wisconsin      2021-01-08           55   4110           WI       55   5822434.0
Wisconsin      2021-01-09           55   3516           WI       55   5822434.0
Wisconsin      2021-01-10           55   2126           WI       55   5822434.0
Wisconsin      2021-01-11           55   1682           WI       55   5822434.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00    152.96      1.01
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2001.04      1.00
 a_raw_init[2]      0.07      0.00      0.07      0.06      0.07   1547.54      1.00
 a_raw_init[3]      0.12      0.00      0.12      0.12      0.13   1190.26      1.00
 a_raw_init[4]      0.15      0.00      0.15      0.14      0.16   1218.00      1.00
 a_raw_init[5]      0.36      0.00      0.36      0.35      0.36   1197.83      1.00
 a_raw_init[6]      0.11      0.00      0.11      0.10      0.12   1265.70      1.00
 a_raw_init[7]      0.34      0.01      0.34      0.33      0.35   1182.24      1.00
 a_raw_init[8]      0.69      0.01      0.69      0.68      0.70   1201.69      1.00
 a_raw_init[9]      0.51      0.01      0.51      0.50      0.52   1167.23      1.00
a_raw_init[10]      0.36      0.01      0.36      0.35      0.37   1162.42      1.00
a_raw_init[11]      0.61      0.01      0.61      0.61      0.62   1293.49      1.00
a_raw_init[12]      0.64      0.01      0.64      0.63      0.65   1515.23      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1611.55      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1432.40      1.00
     beta_1[2]      0.00      0.00      0.00      0.00      0.01   1100.87      1.00
     beta_1[3]      0.00      0.00      0.00      0.00      0.01    886.28      1.00
     beta_1[4]      0.01      0.00      0.01      0.00      0.01    748.18      1.00
     beta_1[5]      0.01      0.00      0.01      0.00      0.01    592.73      1.00
