                     date locationtest  value abbreviation location  population
location_name                                                                  
Alaska         2020-01-24           02      0           AK       02    731545.0
Alaska         2020-01-25           02      0           AK       02    731545.0
Alaska         2020-01-26           02      0           AK       02    731545.0
Alaska         2020-01-27           02      0           AK       02    731545.0
Alaska         2020-01-28           02      0           AK       02    731545.0
...                   ...          ...    ...          ...      ...         ...
Alaska         2021-01-07           02    329           AK       02    731545.0
Alaska         2021-01-08           02    411           AK       02    731545.0
Alaska         2021-01-09           02    319           AK       02    731545.0
Alaska         2021-01-10           02    260           AK       02    731545.0
Alaska         2021-01-11           02    176           AK       02    731545.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2026.01      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2032.68      1.00
 a_raw_init[2]      0.03      0.00      0.03      0.03      0.04   2019.23      1.00
 a_raw_init[3]      0.06      0.00      0.06      0.05      0.06   1882.78      1.00
 a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   2045.92      1.00
 a_raw_init[5]      0.00      0.00      0.00      0.00      0.00   2037.70      1.00
 a_raw_init[6]      0.13      0.00      0.13      0.12      0.13   1978.52      1.00
 a_raw_init[7]      0.04      0.00      0.04      0.03      0.05   1585.29      1.00
 a_raw_init[8]      0.61      0.01      0.61      0.60      0.61   1366.37      1.00
 a_raw_init[9]      0.31      0.01      0.31      0.31      0.32   1373.66      1.00
a_raw_init[10]      0.28      0.01      0.28      0.27      0.29   1296.01      1.00
a_raw_init[11]      0.35      0.00      0.35      0.35      0.36   2188.49      1.00
a_raw_init[12]      0.38      0.01      0.38      0.37      0.39   1696.33      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1673.64      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1192.85      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00   1063.07      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    927.36      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    821.88      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.00    742.54      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.00    654.61      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    629.17      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    586.33      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    568.02      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    538.95      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    529.69      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    478.71      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    437.23      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    429.48      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    428.72      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01    428.92      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01    411.55      1.00
    beta_1[18]      0.00      0.00      0.00     -0.00      0.01    407.03      1.00
    beta_1[19]      0.00      0.00      0.00     -0.00      0.01    395.58      1.00
    beta_1[20]      0.00      0.00      0.00     -0.00      0.01    378.91      1.00
    beta_1[21]      0.00      0.00      0.00     -0.00      0.01    368.54      1.00
    beta_1[22]      0.00      0.00      0.00     -0.00      0.01    369.28      1.00
    beta_1[23]      0.00      0.00      0.00     -0.00      0.01    367.22      1.00
    beta_1[24]      0.00      0.00      0.00     -0.00      0.01    347.23      1.00
    beta_1[25]      0.00      0.00      0.00     -0.00      0.01    344.46      1.00
    beta_1[26]      0.00      0.00      0.00     -0.00      0.01    330.28      1.00
    beta_1[27]      0.00      0.00      0.00     -0.00      0.01    317.49      1.00
    beta_1[28]      0.00      0.00      0.00     -0.00      0.01    321.78      1.00
    beta_1[29]      0.00      0.00      0.00     -0.00      0.01    316.31      1.00
    beta_1[30]      0.00      0.00      0.00     -0.00      0.01    320.55      1.00
    beta_1[31]      0.00      0.00      0.00     -0.00      0.01    305.16      1.00
