                     date locationtest  value abbreviation location  population
location_name                                                                  
Ohio           2020-01-24           39      0           OH       39  11689100.0
Ohio           2020-01-25           39      0           OH       39  11689100.0
Ohio           2020-01-26           39      0           OH       39  11689100.0
Ohio           2020-01-27           39      0           OH       39  11689100.0
Ohio           2020-01-28           39      0           OH       39  11689100.0
...                   ...          ...    ...          ...      ...         ...
Ohio           2021-01-07           39  10251           OH       39  11689100.0
Ohio           2021-01-08           39   9535           OH       39  11689100.0
Ohio           2021-01-09           39   8374           OH       39  11689100.0
Ohio           2021-01-10           39   6088           OH       39  11689100.0
Ohio           2021-01-11           39   7892           OH       39  11689100.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1253.14      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1880.65      1.00
 a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   2035.17      1.00
 a_raw_init[3]      0.41      0.00      0.41      0.41      0.42    796.03      1.00
 a_raw_init[4]      0.32      0.00      0.32      0.31      0.32    706.82      1.00
 a_raw_init[5]      0.36      0.00      0.36      0.36      0.37    560.60      1.00
 a_raw_init[6]      0.12      0.01      0.12      0.11      0.13    538.68      1.00
 a_raw_init[7]      0.60      0.01      0.60      0.59      0.61    592.03      1.00
 a_raw_init[8]      0.91      0.01      0.91      0.90      0.92    667.04      1.00
 a_raw_init[9]      0.50      0.01      0.50      0.49      0.51    741.97      1.00
a_raw_init[10]      0.64      0.01      0.64      0.63      0.65    831.14      1.00
a_raw_init[11]      0.63      0.00      0.63      0.62      0.64   1057.07      1.00
a_raw_init[12]      0.62      0.01      0.62      0.62      0.63    908.94      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1081.34      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    778.30      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    681.22      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    494.32      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    384.45      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    333.78      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    310.91      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    269.16      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    251.61      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    230.00      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    199.44      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    186.74      1.01
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    176.14      1.01
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    165.93      1.01
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    153.72      1.00
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    144.77      1.01
    beta_1[16]      0.01      0.00      0.01      0.00      0.01    146.38      1.01
    beta_1[17]      0.01      0.00      0.01      0.00      0.01    144.46      1.01
    beta_1[18]      0.01      0.00      0.01      0.00      0.01    143.40      1.01
    beta_1[19]      0.01      0.00      0.01      0.00      0.01    145.09      1.01
    beta_1[20]      0.01      0.00      0.01      0.00      0.01    138.20      1.01
    beta_1[21]      0.01      0.00      0.01      0.00      0.01    138.28      1.01
    beta_1[22]      0.01      0.00      0.01      0.00      0.02    133.10      1.01
    beta_1[23]      0.01      0.00      0.01      0.00      0.02    135.54      1.01
    beta_1[24]      0.01      0.00      0.01      0.00      0.02    130.15      1.01
    beta_1[25]      0.01      0.00      0.01      0.00      0.02    126.00      1.01
    beta_1[26]      0.01      0.00      0.01      0.00      0.02    122.50      1.01
    beta_1[27]      0.01      0.00      0.01      0.00      0.02    120.46      1.01
    beta_1[28]      0.01      0.00      0.01      0.00      0.02    120.81      1.01
    beta_1[29]      0.01      0.00      0.01      0.00      0.02    118.74      1.01
    beta_1[30]      0.01      0.00      0.01      0.00      0.02    121.44      1.01
    beta_1[31]      0.01      0.00      0.01      0.01      0.02    121.20      1.01
    beta_1[32]      0.01      0.00      0.01      0.00      0.02    119.10      1.01
    beta_1[33]      0.01      0.00      0.01      0.01      0.02    116.48      1.01
    beta_1[34]      0.01      0.00      0.01      0.01      0.02    114.02      1.01
    beta_1[35]      0.01      0.00      0.01      0.01      0.02    112.32      1.01
    beta_1[36]      0.01      0.00      0.01      0.01      0.02    110.38      1.01
    beta_1[37]      0.01      0.00      0.01      0.01      0.02    107.97      1.01
    beta_1[38]      0.01      0.00      0.02      0.01      0.02    109.05      1.01
    beta_1[39]      0.02      0.00      0.02      0.01      0.02    108.05      1.01
    beta_1[40]      0.02      0.00      0.02      0.01      0.02    108.61      1.02
    beta_1[41]      0.02      0.00      0.02      0.01      0.02    108.47      1.01
    beta_1[42]      0.02      0.00      0.02      0.01      0.02    107.10      1.02
    beta_1[43]      0.02      0.00      0.02      0.01      0.02    106.88      1.02
    beta_1[44]      0.02      0.00      0.02      0.01      0.02    108.37      1.02
    beta_1[45]      0.02      0.00      0.02      0.01      0.03    108.20      1.02
    beta_1[46]      0.02      0.00      0.02      0.01      0.03    108.51      1.02
    beta_1[47]      0.02      0.00      0.02      0.01      0.03    109.18      1.01
    beta_1[48]      0.02      0.00      0.02      0.01      0.03    104.82      1.02
    beta_1[49]      0.02      0.00      0.02      0.01      0.03    105.32      1.02
    beta_1[50]      0.02      0.00      0.02      0.01      0.03    100.68      1.02
    beta_1[51]      0.02      0.00      0.02      0.01      0.03    102.46      1.02
    beta_1[52]      0.02      0.00      0.02      0.01      0.03    100.98      1.02
    beta_1[53]      0.02      0.00      0.02      0.01      0.03    102.81      1.02
    beta_1[54]      0.02      0.00      0.02      0.01      0.03    104.87      1.02
    beta_1[55]      0.02      0.00      0.02      0.01      0.03    108.76      1.02
    beta_1[56]      0.02      0.00      0.02      0.01      0.03    106.51      1.02
    beta_1[57]      0.02      0.00      0.02      0.01      0.03    107.99      1.02
    beta_1[58]      0.02      0.00      0.02      0.01      0.03    119.50      1.01
    beta_1[59]      0.02      0.00      0.02      0.01      0.03    121.44      1.01
    beta_1[60]      0.02      0.00      0.02      0.02      0.03    119.14      1.01
    beta_1[61]      0.02      0.00      0.02      0.02      0.03    120.58      1.01
    beta_1[62]      0.02      0.00      0.02      0.02      0.03    126.57      1.01
    beta_1[63]      0.02      0.00      0.02      0.02      0.03    126.31      1.01
    beta_1[64]      0.02      0.00      0.02      0.02      0.03    127.83      1.01
    beta_1[65]      0.02      0.00      0.02      0.02      0.03    130.17      1.01
    beta_1[66]      0.03      0.00      0.03      0.02      0.03    132.91      1.01
    beta_1[67]      0.03      0.00      0.03      0.02      0.03    134.49      1.01
    beta_1[68]      0.03      0.00      0.03      0.02      0.03    136.48      1.01
    beta_1[69]      0.03      0.00      0.03      0.02      0.03    135.07      1.01
    beta_1[70]      0.03      0.00      0.03      0.02      0.03    137.34      1.01
    beta_1[71]      0.03      0.00      0.03      0.02      0.03    136.12      1.01
    beta_1[72]      0.03      0.00      0.03      0.02      0.03    138.19      1.01
    beta_1[73]      0.03      0.00      0.03      0.02      0.03    142.43      1.01
    beta_1[74]      0.03      0.00      0.03      0.02      0.03    143.24      1.01
    beta_1[75]      0.03      0.00      0.03      0.02      0.03    144.18      1.01
    beta_1[76]      0.03      0.00      0.03      0.02      0.03    148.44      1.01
    beta_1[77]      0.03      0.00      0.03      0.02      0.03    153.02      1.01
    beta_1[78]      0.03      0.00      0.03      0.02      0.03    155.02      1.00
    beta_1[79]      0.03      0.00      0.03      0.02      0.04    152.97      1.00
    beta_1[80]      0.03      0.00      0.03      0.02      0.03    152.30      1.00
    beta_1[81]      0.03      0.00      0.03      0.02      0.03    159.58      1.00
    beta_1[82]      0.03      0.00      0.03      0.02      0.03    166.82      1.00
    beta_1[83]      0.03      0.00      0.03      0.02      0.03    171.08      1.00
    beta_1[84]      0.03      0.00      0.03      0.03      0.03    173.05      1.00
    beta_1[85]      0.03      0.00      0.03      0.03      0.03    185.61      1.00
    beta_1[86]      0.03      0.00      0.03      0.03      0.03    192.90      1.00
    beta_1[87]      0.03      0.00      0.03      0.03      0.03    193.56      1.00
    beta_1[88]      0.03      0.00      0.03      0.03      0.03    213.21      1.00
    beta_1[89]      0.03      0.00      0.03      0.03      0.03    228.28      1.00
    beta_1[90]      0.03      0.00      0.03      0.03      0.03    261.78      1.00
    beta_1[91]      0.03      0.00      0.03      0.03      0.03    292.99      1.00
    beta_1[92]      0.03      0.00      0.03      0.02      0.03    352.05      1.00
    beta_1[93]      0.03      0.00      0.03      0.02      0.03    376.45      1.00
    beta_1[94]      0.03      0.00      0.03      0.02      0.03    374.54      1.00
    beta_1[95]      0.03      0.00      0.03      0.02      0.03    408.99      1.00
    beta_1[96]      0.03      0.00      0.03      0.02      0.03    487.65      1.00
    beta_1[97]      0.03      0.00      0.03      0.02      0.03    530.23      1.00
    beta_1[98]      0.03      0.00      0.03      0.02      0.03    550.73      1.00
    beta_1[99]      0.03      0.00      0.03      0.02      0.03    587.82      1.00
   beta_1[100]      0.03      0.00      0.03      0.02      0.03    657.78      1.00
   beta_1[101]      0.03      0.00      0.03      0.02      0.03    711.67      1.00
   beta_1[102]      0.03      0.00      0.03      0.02      0.03    745.78      1.00
   beta_1[103]      0.02      0.00      0.02      0.02      0.03    688.62      1.00
   beta_1[104]      0.02      0.00      0.02      0.02      0.03    713.89      1.00
   beta_1[105]      0.02      0.00      0.02      0.02      0.03    687.99      1.00
   beta_1[106]      0.02      0.00      0.02      0.02      0.03    733.07      1.00
   beta_1[107]      0.02      0.00      0.02      0.02      0.02    756.58      1.00
   beta_1[108]      0.02      0.00      0.02      0.02      0.02    652.80      1.00
   beta_1[109]      0.02      0.00      0.02      0.02      0.02    717.33      1.00
   beta_1[110]      0.02      0.00      0.02      0.02      0.02    723.62      1.00
