                     date locationtest  value abbreviation location  population
location_name                                                                  
Kansas         2020-01-24           20      0           KS       20   2913314.0
Kansas         2020-01-25           20      0           KS       20   2913314.0
Kansas         2020-01-26           20      0           KS       20   2913314.0
Kansas         2020-01-27           20      0           KS       20   2913314.0
Kansas         2020-01-28           20      0           KS       20   2913314.0
...                   ...          ...    ...          ...      ...         ...
Kansas         2021-01-07           20      0           KS       20   2913314.0
Kansas         2021-01-08           20   5277           KS       20   2913314.0
Kansas         2021-01-09           20      0           KS       20   2913314.0
Kansas         2021-01-10           20      0           KS       20   2913314.0
Kansas         2021-01-11           20   4998           KS       20   2913314.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1467.56      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1702.61      1.00
 a_raw_init[2]      0.01      0.00      0.01      0.01      0.02    285.13      1.00
 a_raw_init[3]      0.02      0.01      0.02      0.01      0.03    172.33      1.00
 a_raw_init[4]      0.14      0.01      0.14      0.13      0.15    191.48      1.01
 a_raw_init[5]      0.04      0.01      0.04      0.03      0.05    119.93      1.00
 a_raw_init[6]      0.01      0.01      0.01      0.00      0.02     85.90      1.00
 a_raw_init[7]      0.17      0.01      0.17      0.16      0.18    144.42      1.00
 a_raw_init[8]      0.17      0.01      0.17      0.16      0.18    372.94      1.00
 a_raw_init[9]      0.19      0.01      0.19      0.18      0.20    983.57      1.00
a_raw_init[10]      0.21      0.01      0.21      0.20      0.21   1864.88      1.00
a_raw_init[11]      0.31      0.01      0.31      0.30      0.32   2383.84      1.00
a_raw_init[12]      0.25      0.00      0.25      0.25      0.26   3816.33      1.00
a_raw_init[13]      0.23      0.01      0.23      0.22      0.24   2952.72      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1898.43      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1471.42      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00   1044.79      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    815.56      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    735.29      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    621.64      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    490.78      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    459.35      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    405.91      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    366.51      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    368.59      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    332.22      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    306.33      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    299.74      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    284.59      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    270.89      1.00
    beta_1[16]      0.01      0.00      0.01     -0.00      0.01    263.82      1.00
    beta_1[17]      0.01      0.00      0.01     -0.00      0.01    268.16      1.00
    beta_1[18]      0.01      0.00      0.01     -0.00      0.01    257.83      1.00
    beta_1[19]      0.01      0.00      0.01     -0.00      0.01    241.46      1.00
    beta_1[20]      0.01      0.00      0.01     -0.00      0.01    236.37      1.00
    beta_1[21]      0.01      0.00      0.01      0.00      0.01    220.54      1.00
    beta_1[22]      0.01      0.00      0.01      0.00      0.01    209.82      1.00
    beta_1[23]      0.01      0.00      0.01      0.00      0.01    201.36      1.00
    beta_1[24]      0.01      0.00      0.01      0.00      0.01    199.96      1.00
    beta_1[25]      0.01      0.00      0.01      0.00      0.02    199.98      1.00
