                     date locationtest  value abbreviation location  population
location_name                                                                  
Iowa           2020-01-24           19      0           IA       19   3155070.0
Iowa           2020-01-25           19      0           IA       19   3155070.0
Iowa           2020-01-26           19      0           IA       19   3155070.0
Iowa           2020-01-27           19      0           IA       19   3155070.0
Iowa           2020-01-28           19      0           IA       19   3155070.0
...                   ...          ...    ...          ...      ...         ...
Iowa           2021-01-07           19   2413           IA       19   3155070.0
Iowa           2021-01-08           19   1573           IA       19   3155070.0
Iowa           2021-01-09           19   1409           IA       19   3155070.0
Iowa           2021-01-10           19    511           IA       19   3155070.0
Iowa           2021-01-11           19   1092           IA       19   3155070.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00    786.89      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1131.87      1.00
 a_raw_init[2]      0.01      0.00      0.01      0.00      0.02    393.03      1.00
 a_raw_init[3]      0.04      0.00      0.04      0.03      0.04   1016.05      1.00
 a_raw_init[4]      0.23      0.01      0.23      0.23      0.24    984.25      1.00
 a_raw_init[5]      0.10      0.01      0.10      0.09      0.11   1092.53      1.00
 a_raw_init[6]      0.10      0.00      0.10      0.09      0.11   1183.71      1.00
 a_raw_init[7]      0.16      0.00      0.16      0.15      0.17   1327.78      1.00
 a_raw_init[8]      0.22      0.00      0.22      0.21      0.23   1403.41      1.00
 a_raw_init[9]      0.12      0.00      0.12      0.11      0.12   1391.32      1.00
a_raw_init[10]      0.42      0.01      0.41      0.41      0.42   1287.86      1.00
a_raw_init[11]      0.23      0.01      0.23      0.22      0.24   1463.78      1.00
a_raw_init[12]      0.38      0.01      0.38      0.37      0.39   1327.88      1.00
a_raw_init[13]      0.46      0.00      0.46      0.45      0.46   1940.73      1.00
a_raw_init[14]      0.47      0.01      0.47      0.47      0.48   1764.57      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1256.25      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1117.49      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.01    737.69      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    657.29      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    517.19      1.00
     beta_1[5]      0.00      0.00      0.00      0.00      0.01    399.33      1.00
     beta_1[6]      0.00      0.00      0.01      0.00      0.01    360.42      1.00
     beta_1[7]      0.01      0.00      0.01      0.00      0.01    330.43      1.00
     beta_1[8]      0.01      0.00      0.01      0.00      0.01    287.72      1.00
     beta_1[9]      0.01      0.00      0.01      0.00      0.01    254.73      1.00
    beta_1[10]      0.01      0.00      0.01      0.00      0.01    245.49      1.00
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    238.64      1.00
    beta_1[12]      0.01      0.00      0.01      0.00      0.02    226.09      1.00
    beta_1[13]      0.01      0.00      0.01      0.00      0.02    213.17      1.00
    beta_1[14]      0.01      0.00      0.01      0.00      0.02    213.36      1.00
