                     date locationtest  value abbreviation location  population
location_name                                                                  
Massachusetts  2020-01-24           25      0           MA       25   6892503.0
Massachusetts  2020-01-25           25      0           MA       25   6892503.0
Massachusetts  2020-01-26           25      0           MA       25   6892503.0
Massachusetts  2020-01-27           25      0           MA       25   6892503.0
Massachusetts  2020-01-28           25      0           MA       25   6892503.0
...                   ...          ...    ...          ...      ...         ...
Massachusetts  2021-01-07           25   7548           MA       25   6892503.0
Massachusetts  2021-01-08           25   8120           MA       25   6892503.0
Massachusetts  2021-01-09           25   7414           MA       25   6892503.0
Massachusetts  2021-01-10           25   5656           MA       25   6892503.0
Massachusetts  2021-01-11           25     12           MA       25   6892503.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1693.12      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1989.44      1.00
 a_raw_init[2]      0.05      0.00      0.05      0.04      0.05    839.32      1.00
 a_raw_init[3]      0.90      0.00      0.90      0.89      0.91    783.18      1.00
 a_raw_init[4]      0.53      0.00      0.53      0.52      0.53    727.95      1.00
 a_raw_init[5]      0.20      0.00      0.20      0.19      0.21    692.04      1.00
 a_raw_init[6]      0.05      0.00      0.05      0.04      0.05    791.21      1.00
 a_raw_init[7]      0.06      0.00      0.06      0.05      0.07    791.09      1.00
 a_raw_init[8]      0.08      0.00      0.08      0.07      0.09    764.40      1.00
 a_raw_init[9]      0.11      0.00      0.11      0.11      0.12    780.58      1.00
a_raw_init[10]      0.08      0.01      0.08      0.07      0.09    722.62      1.00
a_raw_init[11]      0.15      0.01      0.15      0.14      0.16    741.65      1.00
a_raw_init[12]      0.18      0.01      0.18      0.17      0.19    854.08      1.00
a_raw_init[13]      0.29      0.00      0.29      0.28      0.29   1240.31      1.00
a_raw_init[14]      0.33      0.01      0.33      0.32      0.34    999.84      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00    887.56      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    515.48      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    407.93      1.00
