                     date locationtest  value abbreviation location  population
location_name                                                                  
Wyoming        2020-01-24           56      0           WY       56    578759.0
Wyoming        2020-01-25           56      0           WY       56    578759.0
Wyoming        2020-01-26           56      0           WY       56    578759.0
Wyoming        2020-01-27           56      0           WY       56    578759.0
Wyoming        2020-01-28           56      0           WY       56    578759.0
...                   ...          ...    ...          ...      ...         ...
Wyoming        2021-01-07           56    278           WY       56    578759.0
Wyoming        2021-01-08           56    479           WY       56    578759.0
Wyoming        2021-01-09           56     72           WY       56    578759.0
Wyoming        2021-01-10           56    113           WY       56    578759.0
Wyoming        2021-01-11           56    563           WY       56    578759.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1877.51      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1582.19      1.00
 a_raw_init[2]      0.00      0.00      0.00      0.00      0.00    226.94      1.01
 a_raw_init[3]      0.02      0.00      0.02      0.01      0.03     82.69      1.00
 a_raw_init[4]      0.00      0.01      0.00      0.00      0.01     35.21      1.00
 a_raw_init[5]      0.01      0.01      0.01      0.00      0.02     37.69      1.00
 a_raw_init[6]      0.00      0.00      0.00      0.00      0.01     38.32      1.05
 a_raw_init[7]      0.03      0.01      0.03      0.02      0.04     88.01      1.02
 a_raw_init[8]      0.03      0.01      0.03      0.02      0.04    183.52      1.00
 a_raw_init[9]      0.04      0.01      0.04      0.03      0.05    135.68      1.00
a_raw_init[10]      0.01      0.01      0.01      0.00      0.02     92.52      1.00
a_raw_init[11]      0.06      0.01      0.06      0.06      0.08    149.05      1.00
a_raw_init[12]      0.14      0.01      0.14      0.13      0.14    349.46      1.00
a_raw_init[13]      0.24      0.01      0.24      0.24      0.25    901.13      1.00
a_raw_init[14]      0.53      0.00      0.53      0.52      0.54   1817.22      1.00
a_raw_init[15]      0.65      0.01      0.65      0.64      0.66   1680.08      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1586.45      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    710.61      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    547.34      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    426.35      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    356.98      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.00    327.92      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    265.89      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    240.10      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    231.37      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    224.02      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    215.38      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    202.16      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    186.04      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    180.86      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    177.47      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    172.83      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01    147.86      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01    131.90      1.00
    beta_1[18]      0.00      0.00      0.00     -0.00      0.01    136.51      1.00
    beta_1[19]      0.00      0.00      0.00     -0.01      0.01    130.85      1.00
    beta_1[20]      0.00      0.00      0.00     -0.01      0.01    138.76      1.00
    beta_1[21]      0.00      0.00      0.00     -0.01      0.01    133.66      1.00
    beta_1[22]      0.00      0.00      0.00     -0.01      0.01    121.23      1.00
    beta_1[23]      0.00      0.00      0.00     -0.01      0.01    121.27      1.00
    beta_1[24]      0.00      0.00      0.00     -0.01      0.01    113.81      1.00
    beta_1[25]      0.00      0.00      0.00     -0.01      0.01    107.94      1.00
    beta_1[26]      0.00      0.01      0.00     -0.01      0.01    105.47      1.00
    beta_1[27]      0.00      0.01      0.00     -0.01      0.01     99.10      1.00
    beta_1[28]      0.00      0.01      0.00     -0.01      0.01     95.76      1.00
    beta_1[29]      0.00      0.01      0.00     -0.01      0.01     97.99      1.00
    beta_1[30]      0.00      0.01      0.00     -0.01      0.01     89.41      1.00
    beta_1[31]      0.00      0.01      0.00     -0.01      0.01     84.89      1.00
    beta_1[32]      0.00      0.01      0.00     -0.00      0.01     83.28      1.00
    beta_1[33]      0.00      0.01      0.00     -0.01      0.01     80.39      1.00
    beta_1[34]      0.00      0.01      0.00     -0.01      0.01     80.37      1.00
    beta_1[35]      0.00      0.01      0.00     -0.00      0.01     78.85      1.00
    beta_1[36]      0.00      0.01      0.00     -0.01      0.01     75.31      1.00
    beta_1[37]      0.00      0.01      0.00     -0.01      0.01     73.93      1.00
    beta_1[38]      0.00      0.01      0.00     -0.01      0.01     72.96      1.00
    beta_1[39]      0.00      0.01      0.00     -0.01      0.01     72.22      1.00
    beta_1[40]      0.00      0.01      0.00     -0.01      0.01     69.66      1.00
    beta_1[41]      0.00      0.01      0.00     -0.01      0.01     66.86      1.00
    beta_1[42]      0.00      0.01      0.00     -0.01      0.01     66.05      1.00
    beta_1[43]      0.00      0.01      0.00     -0.01      0.01     63.12      1.00
    beta_1[44]      0.00      0.01      0.00     -0.01      0.01     61.46      1.01
    beta_1[45]      0.00      0.01      0.00     -0.00      0.01     59.79      1.01
    beta_1[46]      0.00      0.01      0.00     -0.01      0.01     59.53      1.01
    beta_1[47]      0.00      0.01      0.00     -0.00      0.01     58.37      1.01
    beta_1[48]      0.00      0.01      0.00     -0.00      0.01     57.49      1.01
    beta_1[49]      0.00      0.01      0.00     -0.00      0.01     56.88      1.01
    beta_1[50]      0.00      0.01      0.00     -0.00      0.02     56.71      1.01
    beta_1[51]      0.00      0.01      0.00     -0.00      0.02     55.84      1.01
    beta_1[52]      0.00      0.01      0.00     -0.01      0.02     54.98      1.01
    beta_1[53]      0.00      0.01      0.00     -0.01      0.02     54.91      1.01
    beta_1[54]      0.00      0.01      0.01     -0.01      0.02     55.57      1.01
    beta_1[55]      0.01      0.01      0.01     -0.01      0.02     55.96      1.01
    beta_1[56]      0.01      0.01      0.01     -0.01      0.02     56.44      1.01
    beta_1[57]      0.01      0.01      0.01     -0.00      0.02     54.23      1.01
    beta_1[58]      0.01      0.01      0.01     -0.01      0.02     53.63      1.01
    beta_1[59]      0.01      0.01      0.01     -0.01      0.02     52.89      1.01
