                     date locationtest  value abbreviation location  population
location_name                                                                  
Maryland       2020-01-24           24      0           MD       24   6045680.0
Maryland       2020-01-25           24      0           MD       24   6045680.0
Maryland       2020-01-26           24      0           MD       24   6045680.0
Maryland       2020-01-27           24      0           MD       24   6045680.0
Maryland       2020-01-28           24      0           MD       24   6045680.0
...                   ...          ...    ...          ...      ...         ...
Maryland       2021-01-07           24   2970           MD       24   6045680.0
Maryland       2021-01-08           24   3732           MD       24   6045680.0
Maryland       2021-01-09           24   3758           MD       24   6045680.0
Maryland       2021-01-10           24   3310           MD       24   6045680.0
Maryland       2021-01-11           24   3012           MD       24   6045680.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1877.33      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1503.94      1.00
 a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   2027.87      1.00
 a_raw_init[3]      0.26      0.00      0.26      0.26      0.27   1165.77      1.00
 a_raw_init[4]      0.33      0.00      0.33      0.32      0.33    885.87      1.00
 a_raw_init[5]      0.39      0.00      0.39      0.38      0.39    899.69      1.00
 a_raw_init[6]      0.16      0.00      0.16      0.16      0.17    837.69      1.00
 a_raw_init[7]      0.05      0.00      0.05      0.04      0.06    904.61      1.00
 a_raw_init[8]      0.37      0.00      0.37      0.36      0.38    820.14      1.00
 a_raw_init[9]      0.21      0.00      0.21      0.20      0.22    708.75      1.00
a_raw_init[10]      0.19      0.01      0.19      0.19      0.20    553.83      1.00
a_raw_init[11]      0.18      0.01      0.18      0.17      0.19    495.82      1.00
a_raw_init[12]      0.19      0.01      0.19      0.18      0.20    573.24      1.00
a_raw_init[13]      0.23      0.01      0.23      0.22      0.24    687.22      1.00
a_raw_init[14]      0.53      0.01      0.53      0.52      0.54    797.10      1.00
a_raw_init[15]      0.91      0.01      0.91      0.90      0.92    928.22      1.00
a_raw_init[16]      0.95      0.01      0.95      0.93      0.96    903.23      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1232.57      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    680.94      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    431.17      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    378.21      1.01
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    257.36      1.01
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    209.99      1.02
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    195.83      1.02
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    180.96      1.02
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    165.52      1.02
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    153.90      1.02
    beta_1[10]      0.00      0.00      0.00      0.00      0.01    143.56      1.02
    beta_1[11]      0.01      0.00      0.01      0.00      0.01    140.63      1.03
    beta_1[12]      0.01      0.00      0.01      0.00      0.01    136.65      1.03
    beta_1[13]      0.01      0.00      0.01      0.00      0.01    126.15      1.03
    beta_1[14]      0.01      0.00      0.01      0.00      0.01    117.06      1.03
    beta_1[15]      0.01      0.00      0.01      0.00      0.01    113.85      1.03
    beta_1[16]      0.01      0.00      0.01      0.00      0.01    104.71      1.03
    beta_1[17]      0.01      0.00      0.01      0.00      0.01    102.54      1.03
