                      date locationtest  ...  location population
location_name                            ...                     
Virgin Islands  2020-01-24           78  ...        78   107268.0
Virgin Islands  2020-01-25           78  ...        78   107268.0
Virgin Islands  2020-01-26           78  ...        78   107268.0
Virgin Islands  2020-01-27           78  ...        78   107268.0
Virgin Islands  2020-01-28           78  ...        78   107268.0
...                    ...          ...  ...       ...        ...
Virgin Islands  2021-01-07           78  ...        78   107268.0
Virgin Islands  2021-01-08           78  ...        78   107268.0
Virgin Islands  2021-01-09           78  ...        78   107268.0
Virgin Islands  2021-01-10           78  ...        78   107268.0
Virgin Islands  2021-01-11           78  ...        78   107268.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1998.33      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1706.06      1.00
 a_raw_init[2]      0.03      0.00      0.03      0.03      0.04   1367.01      1.00
 a_raw_init[3]      0.02      0.00      0.02      0.01      0.03    278.85      1.00
 a_raw_init[4]      0.00      0.00      0.00      0.00      0.01     96.23      1.02
 a_raw_init[5]      0.00      0.00      0.00      0.00      0.00   2018.40      1.00
 a_raw_init[6]      0.00      0.00      0.00      0.00      0.00   2032.41      1.00
 a_raw_init[7]      0.12      0.00      0.12      0.11      0.13   1756.56      1.00
 a_raw_init[8]      0.09      0.00      0.09      0.08      0.09   1385.60      1.00
 a_raw_init[9]      0.51      0.00      0.51      0.50      0.52   1150.18      1.00
a_raw_init[10]      0.26      0.00      0.26      0.26      0.27    776.06      1.00
a_raw_init[11]      0.02      0.01      0.02      0.01      0.03    387.85      1.00
a_raw_init[12]      0.04      0.01      0.04      0.03      0.05    180.16      1.00
a_raw_init[13]      0.00      0.01      0.00      0.00      0.01     80.61      1.00
a_raw_init[14]      0.14      0.01      0.14      0.13      0.15    186.04      1.00
a_raw_init[15]      0.12      0.00      0.12      0.11      0.12   1488.58      1.00
a_raw_init[16]      0.11      0.01      0.11      0.10      0.12    914.14      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1451.28      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    746.44      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    586.69      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    479.16      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    402.73      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.00    346.30      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.00    279.66      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    254.00      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    179.44      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    145.66      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    120.31      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    120.39      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    106.02      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01     95.26      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01     88.37      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01     84.53      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01     79.02      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01     75.58      1.00
    beta_1[18]      0.00      0.00      0.00     -0.00      0.01     70.76      1.00
    beta_1[19]      0.00      0.00      0.00     -0.00      0.01     68.09      1.00
    beta_1[20]      0.00      0.00      0.00     -0.00      0.01     68.44      1.00
    beta_1[21]      0.00      0.00      0.00     -0.00      0.01     67.31      1.00
    beta_1[22]      0.00      0.00      0.00     -0.00      0.01     65.14      1.00
    beta_1[23]      0.00      0.00      0.00     -0.00      0.01     64.46      1.01
    beta_1[24]      0.00      0.00      0.00     -0.01      0.01     62.00      1.01
    beta_1[25]      0.00      0.00      0.00     -0.00      0.01     60.13      1.01
    beta_1[26]      0.00      0.00      0.00     -0.00      0.01     60.08      1.01
    beta_1[27]      0.00      0.00      0.00     -0.00      0.01     59.15      1.01
    beta_1[28]      0.00      0.00      0.00     -0.00      0.01     59.12      1.01
    beta_1[29]      0.00      0.00      0.00     -0.00      0.01     58.37      1.01
    beta_1[30]      0.00      0.01      0.00     -0.00      0.01     56.21      1.01
    beta_1[31]      0.00      0.01      0.00     -0.00      0.01     54.95      1.01
    beta_1[32]      0.00      0.01      0.00     -0.00      0.01     53.78      1.01
    beta_1[33]      0.00      0.01      0.00     -0.00      0.01     52.03      1.01
    beta_1[34]      0.00      0.01      0.00     -0.00      0.01     52.27      1.01
    beta_1[35]      0.00      0.01      0.00     -0.00      0.01     51.95      1.01
    beta_1[36]      0.00      0.01      0.00     -0.00      0.01     51.06      1.01
    beta_1[37]      0.00      0.01      0.00     -0.00      0.01     49.91      1.01
    beta_1[38]      0.00      0.01      0.00     -0.00      0.01     49.18      1.02
    beta_1[39]      0.00      0.01      0.00     -0.00      0.01     48.99      1.02
    beta_1[40]      0.01      0.01      0.00     -0.00      0.01     49.14      1.02
    beta_1[41]      0.01      0.01      0.01     -0.00      0.01     48.65      1.02
    beta_1[42]      0.01      0.01      0.01     -0.00      0.01     49.31      1.02
    beta_1[43]      0.01      0.01      0.01     -0.00      0.01     49.37      1.02
    beta_1[44]      0.01      0.01      0.01     -0.00      0.02     49.49      1.02
    beta_1[45]      0.01      0.01      0.01     -0.00      0.01     49.15      1.02
    beta_1[46]      0.01      0.01      0.01     -0.00      0.01     48.85      1.02
    beta_1[47]      0.01      0.01      0.01     -0.00      0.02     48.49      1.02
    beta_1[48]      0.01      0.01      0.01     -0.00      0.02     47.96      1.02
    beta_1[49]      0.01      0.01      0.01     -0.00      0.02     47.77      1.02
    beta_1[50]      0.01      0.01      0.01     -0.00      0.02     48.02      1.02
    beta_1[51]      0.01      0.01      0.01     -0.00      0.02     48.28      1.02
    beta_1[52]      0.01      0.01      0.01     -0.00      0.02     46.43      1.02
    beta_1[53]      0.01      0.01      0.01     -0.00      0.02     46.12      1.02
    beta_1[54]      0.01      0.01      0.01     -0.00      0.02     45.93      1.02
    beta_1[55]      0.01      0.01      0.01     -0.00      0.02     45.92      1.03
    beta_1[56]      0.01      0.01      0.01     -0.00      0.02     45.99      1.03
    beta_1[57]      0.01      0.01      0.01     -0.00      0.02     46.42      1.03
    beta_1[58]      0.01      0.01      0.01     -0.00      0.02     46.25      1.03
    beta_1[59]      0.01      0.01      0.01     -0.00      0.02     46.67      1.03
    beta_1[60]      0.01      0.01      0.01     -0.00      0.02     47.26      1.03
    beta_1[61]      0.01      0.01      0.01     -0.00      0.02     45.96      1.03
    beta_1[62]      0.01      0.01      0.01     -0.00      0.02     45.98      1.03
    beta_1[63]      0.01      0.01      0.01     -0.00      0.02     45.40      1.03
    beta_1[64]      0.01      0.01      0.01     -0.00      0.02     46.23      1.03
    beta_1[65]      0.01      0.01      0.01     -0.00      0.02     45.84      1.03
    beta_1[66]      0.01      0.01      0.01     -0.00      0.02     47.27      1.03
    beta_1[67]      0.01      0.01      0.01     -0.00      0.02     46.72      1.03
    beta_1[68]      0.01      0.01      0.01     -0.00      0.02     46.78      1.04
    beta_1[69]      0.01      0.01      0.01     -0.00      0.02     47.37      1.04
    beta_1[70]      0.01      0.01      0.01     -0.00      0.02     47.18      1.04
    beta_1[71]      0.01      0.01      0.01     -0.00      0.02     47.33      1.04
    beta_1[72]      0.01      0.01      0.01     -0.00      0.02     47.73      1.04
    beta_1[73]      0.01      0.01      0.01     -0.00      0.02     47.34      1.04
    beta_1[74]      0.01      0.01      0.01     -0.00      0.02     47.50      1.04
    beta_1[75]      0.01      0.01      0.01     -0.00      0.02     47.88      1.04
    beta_1[76]      0.01      0.01      0.01     -0.00      0.02     46.89      1.05
    beta_1[77]      0.01      0.01      0.01      0.00      0.02     47.71      1.05
    beta_1[78]      0.01      0.01      0.01     -0.00      0.02     47.68      1.05
    beta_1[79]      0.01      0.01      0.01      0.00      0.02     48.24      1.05
    beta_1[80]      0.01      0.01      0.01     -0.00      0.02     49.45      1.05
    beta_1[81]      0.01      0.01      0.01      0.00      0.02     49.93      1.05
    beta_1[82]      0.01      0.01      0.01      0.00      0.02     49.83      1.06
    beta_1[83]      0.01      0.01      0.01      0.00      0.02     50.51      1.06
    beta_1[84]      0.01      0.01      0.01      0.00      0.02     50.85      1.06
    beta_1[85]      0.01      0.01      0.01     -0.00      0.02     50.88      1.06
    beta_1[86]      0.01      0.01      0.01      0.00      0.02     51.62      1.06
    beta_1[87]      0.01      0.01      0.01     -0.00      0.02     51.76      1.07
    beta_1[88]      0.01      0.01      0.01      0.00      0.02     51.36      1.07
    beta_1[89]      0.01      0.01      0.01     -0.00      0.02     50.45      1.07
    beta_1[90]      0.01      0.01      0.01     -0.00      0.02     50.58      1.07
    beta_1[91]      0.01      0.01      0.01     -0.00      0.02     51.86      1.07
    beta_1[92]      0.01      0.01      0.01     -0.00      0.02     51.78      1.07
    beta_1[93]      0.01      0.01      0.01     -0.00      0.02     51.64      1.07
    beta_1[94]      0.01      0.01      0.01     -0.00      0.02     51.77      1.08
    beta_1[95]      0.01      0.01      0.01      0.00      0.02     51.11      1.08
    beta_1[96]      0.01      0.01      0.01      0.00      0.02     50.90      1.08
    beta_1[97]      0.01      0.01      0.01      0.00      0.02     50.93      1.08
    beta_1[98]      0.01      0.01      0.01      0.00      0.02     50.33      1.08
    beta_1[99]      0.01      0.01      0.01      0.00      0.02     50.77      1.09
   beta_1[100]      0.01      0.01      0.01      0.00      0.02     50.54      1.09
   beta_1[101]      0.01      0.01      0.01      0.00      0.02     50.50      1.09
   beta_1[102]      0.01      0.01      0.01      0.00      0.02     50.77      1.09
   beta_1[103]      0.01      0.01      0.01      0.00      0.02     49.79      1.09
   beta_1[104]      0.01      0.01      0.01      0.00      0.02     49.20      1.09
   beta_1[105]      0.01      0.01      0.01      0.00      0.02     49.76      1.09
   beta_1[106]      0.01      0.01      0.01      0.00      0.02     49.47      1.10
   beta_1[107]      0.01      0.01      0.01      0.00      0.02     49.66      1.09
