                     date locationtest  value abbreviation location  population
location_name                                                                  
Alabama        2020-01-24           01      0           AL       01   4903185.0
Alabama        2020-01-25           01      0           AL       01   4903185.0
Alabama        2020-01-26           01      0           AL       01   4903185.0
Alabama        2020-01-27           01      0           AL       01   4903185.0
Alabama        2020-01-28           01      0           AL       01   4903185.0
...                   ...          ...    ...          ...      ...         ...
Alabama        2021-01-07           01   5046           AL       01   4903185.0
Alabama        2021-01-08           01   5057           AL       01   4903185.0
Alabama        2021-01-09           01   4863           AL       01   4903185.0
Alabama        2021-01-10           01   2750           AL       01   4903185.0
Alabama        2021-01-11           01   2100           AL       01   4903185.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1503.60      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00    177.92      1.00
 a_raw_init[2]      0.00      0.00      0.00      0.00      0.01      6.38      1.33
 a_raw_init[3]      0.08      0.00      0.08      0.07      0.08      9.27      1.23
 a_raw_init[4]      0.04      0.00      0.04      0.04      0.05    164.88      1.01
 a_raw_init[5]      0.11      0.00      0.11      0.10      0.11    141.45      1.00
 a_raw_init[6]      0.14      0.00      0.13      0.13      0.14     16.95      1.14
 a_raw_init[7]      0.25      0.00      0.25      0.25      0.26     66.09      1.03
 a_raw_init[8]      0.58      0.00      0.58      0.58      0.59    141.65      1.01
 a_raw_init[9]      0.23      0.00      0.23      0.22      0.23     12.42      1.21
a_raw_init[10]      0.31      0.01      0.31      0.30      0.31     10.40      1.26
a_raw_init[11]      0.21      0.01      0.21      0.20      0.21     11.40      1.23
a_raw_init[12]      0.26      0.01      0.26      0.26      0.27      9.42      1.26
a_raw_init[13]      0.42      0.01      0.42      0.41      0.43     23.44      1.11
a_raw_init[14]      0.39      0.01      0.39      0.38      0.40     91.58      1.01
a_raw_init[15]      0.73      0.00      0.73      0.72      0.73    140.25      1.01
a_raw_init[16]      0.87      0.01      0.87      0.87      0.88     13.86      1.15
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00    184.65      1.02
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00     11.87      1.20
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00      8.02      1.33
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01      5.92      1.44
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00      9.84      1.31
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01     20.61      1.22
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01     70.90      1.14
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01      9.22      1.33
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01     38.71      1.16
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01     41.71      1.15
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01     81.17      1.05
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01     76.22      1.06
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01     77.82      1.01
    beta_1[13]      0.00      0.00      0.00      0.00      0.01     72.12      1.01
    beta_1[14]      0.00      0.00      0.01     -0.00      0.01     68.24      1.04
    beta_1[15]      0.00      0.00      0.01      0.00      0.01     64.47      1.04
    beta_1[16]      0.01      0.00      0.01      0.00      0.01     64.08      1.07
    beta_1[17]      0.01      0.00      0.01      0.00      0.01     37.24      1.15
    beta_1[18]      0.01      0.00      0.01      0.00      0.01     48.36      1.12
    beta_1[19]      0.01      0.00      0.01      0.00      0.01     47.94      1.13
    beta_1[20]      0.01      0.00      0.01      0.00      0.01     67.93      1.05
    beta_1[21]      0.01      0.00      0.01      0.00      0.01     56.41      1.08
    beta_1[22]      0.01      0.00      0.01      0.00      0.01     64.07      1.03
    beta_1[23]      0.01      0.00      0.01      0.00      0.01     61.46      1.05
    beta_1[24]      0.01      0.00      0.01      0.00      0.01     62.99      1.03
    beta_1[25]      0.01      0.00      0.01      0.00      0.01     52.48      1.08
    beta_1[26]      0.01      0.00      0.01      0.00      0.01     58.85      1.02
    beta_1[27]      0.01      0.00      0.01      0.00      0.01     48.84      1.05
    beta_1[28]      0.01      0.00      0.01      0.00      0.02     41.19      1.10
    beta_1[29]      0.01      0.00      0.01      0.00      0.01     46.33      1.06
    beta_1[30]      0.01      0.00      0.01      0.00      0.01     41.79      1.10
    beta_1[31]      0.01      0.00      0.01      0.00      0.01     44.01      1.10
    beta_1[32]      0.01      0.00      0.01      0.00      0.02     50.75      1.05
    beta_1[33]      0.01      0.00      0.01      0.00      0.02     50.02      1.05
    beta_1[34]      0.01      0.00      0.01      0.00      0.02     48.93      1.06
    beta_1[35]      0.01      0.00      0.01      0.00      0.02     40.36      1.09
    beta_1[36]      0.01      0.00      0.01      0.00      0.02     34.73      1.10
    beta_1[37]      0.01      0.00      0.01      0.01      0.02     29.02      1.11
    beta_1[38]      0.01      0.00      0.01      0.01      0.02     22.75      1.14
    beta_1[39]      0.01      0.00      0.01      0.01      0.02     33.53      1.09
    beta_1[40]      0.01      0.00      0.01      0.01      0.02     28.36      1.10
    beta_1[41]      0.01      0.00      0.01      0.01      0.02     39.37      1.06
    beta_1[42]      0.01      0.00      0.01      0.01      0.02     44.86      1.02
    beta_1[43]      0.01      0.00      0.01      0.01      0.02     37.33      1.00
    beta_1[44]      0.01      0.00      0.01      0.01      0.02     39.07      1.00
    beta_1[45]      0.01      0.00      0.01      0.01      0.02     35.81      1.00
    beta_1[46]      0.01      0.00      0.01      0.01      0.02     29.57      1.01
    beta_1[47]      0.01      0.00      0.01      0.01      0.02     25.64      1.02
