                     date locationtest  value abbreviation location  population
location_name                                                                  
Florida        2020-01-24           12      0           FL       12  21477737.0
Florida        2020-01-25           12      0           FL       12  21477737.0
Florida        2020-01-26           12      0           FL       12  21477737.0
Florida        2020-01-27           12      0           FL       12  21477737.0
Florida        2020-01-28           12      0           FL       12  21477737.0
...                   ...          ...    ...          ...      ...         ...
Florida        2021-01-07           12  19816           FL       12  21477737.0
Florida        2021-01-08           12  19530           FL       12  21477737.0
Florida        2021-01-09           12  15445           FL       12  21477737.0
Florida        2021-01-10           12  12313           FL       12  21477737.0
Florida        2021-01-11           12  11576           FL       12  21477737.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1863.07      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1686.51      1.00
 a_raw_init[2]      0.01      0.00      0.01      0.01      0.02    342.31      1.00
 a_raw_init[3]      0.10      0.00      0.10      0.09      0.10    240.70      1.01
 a_raw_init[4]      0.00      0.00      0.00      0.00      0.00     29.37      1.04
 a_raw_init[5]      0.07      0.00      0.07      0.07      0.08     57.70      1.02
 a_raw_init[6]      0.00      0.00      0.00      0.00      0.00   1805.95      1.00
 a_raw_init[7]      0.54      0.00      0.54      0.53      0.55    559.59      1.00
 a_raw_init[8]      0.75      0.00      0.75      0.74      0.75    140.64      1.01
 a_raw_init[9]      0.25      0.00      0.25      0.24      0.26    955.53      1.00
a_raw_init[10]      0.18      0.00      0.19      0.18      0.19    604.95      1.00
a_raw_init[11]      0.13      0.00      0.13      0.13      0.14    895.94      1.00
a_raw_init[12]      0.14      0.01      0.14      0.13      0.15    760.80      1.00
a_raw_init[13]      0.22      0.01      0.22      0.21      0.23    617.64      1.00
a_raw_init[14]      0.44      0.01      0.44      0.43      0.46    564.00      1.00
a_raw_init[15]      0.50      0.01      0.50      0.49      0.51    982.92      1.00
a_raw_init[16]      0.61      0.01      0.61      0.60      0.62    850.61      1.00
a_raw_init[17]      0.62      0.01      0.62      0.61      0.63    603.95      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00    291.70      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    224.82      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    130.37      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.01    183.04      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.01    191.39      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    142.58      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    129.99      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    121.92      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    138.35      1.01
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    139.89      1.01
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    147.06      1.01
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    137.76      1.02
    beta_1[12]      0.01      0.00      0.00     -0.00      0.01    135.28      1.01
    beta_1[13]      0.01      0.00      0.01     -0.00      0.01    133.58      1.01
    beta_1[14]      0.01      0.00      0.01     -0.00      0.01    139.81      1.01
    beta_1[15]      0.01      0.00      0.01     -0.00      0.01    136.97      1.01
