                     date locationtest  value abbreviation location  population
location_name                                                                  
Idaho          2020-01-24           16      0           ID       16   1787065.0
Idaho          2020-01-25           16      0           ID       16   1787065.0
Idaho          2020-01-26           16      0           ID       16   1787065.0
Idaho          2020-01-27           16      0           ID       16   1787065.0
Idaho          2020-01-28           16      0           ID       16   1787065.0
...                   ...          ...    ...          ...      ...         ...
Idaho          2021-01-07           16   1067           ID       16   1787065.0
Idaho          2021-01-08           16   1085           ID       16   1787065.0
Idaho          2021-01-09           16    977           ID       16   1787065.0
Idaho          2021-01-10           16    432           ID       16   1787065.0
Idaho          2021-01-11           16    572           ID       16   1787065.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2037.85      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2039.82      1.00
 a_raw_init[2]      0.01      0.00      0.01      0.01      0.02   1734.05      1.00
 a_raw_init[3]      0.04      0.00      0.04      0.03      0.04   1577.22      1.00
 a_raw_init[4]      0.00      0.00      0.00      0.00      0.00   2043.55      1.00
 a_raw_init[5]      0.02      0.00      0.02      0.01      0.02   1717.57      1.00
 a_raw_init[6]      0.00      0.00      0.00      0.00      0.00   2041.46      1.00
 a_raw_init[7]      0.15      0.00      0.15      0.14      0.16   1415.61      1.00
 a_raw_init[8]      0.26      0.00      0.26      0.25      0.27   1288.81      1.00
 a_raw_init[9]      0.18      0.00      0.18      0.18      0.19   1264.42      1.00
a_raw_init[10]      0.08      0.00      0.08      0.07      0.09   1160.98      1.00
a_raw_init[11]      0.14      0.01      0.14      0.13      0.15   1224.46      1.00
a_raw_init[12]      0.28      0.01      0.28      0.27      0.29   1255.52      1.00
a_raw_init[13]      0.40      0.01      0.40      0.39      0.41   1157.87      1.00
a_raw_init[14]      0.65      0.01      0.65      0.64      0.66   1207.12      1.00
a_raw_init[15]      0.56      0.01      0.56      0.55      0.57   1315.63      1.00
a_raw_init[16]      0.72      0.01      0.72      0.71      0.73   1572.93      1.00
a_raw_init[17]      0.74      0.01      0.74      0.73      0.75   1431.71      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1350.02      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1020.28      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    683.74      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    493.47      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    420.74      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.00    411.66      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    400.76      1.01
