                     date locationtest  value abbreviation location  population
location_name                                                                  
Maine          2020-01-24           23      0           ME       23   1344212.0
Maine          2020-01-25           23      0           ME       23   1344212.0
Maine          2020-01-26           23      0           ME       23   1344212.0
Maine          2020-01-27           23      0           ME       23   1344212.0
Maine          2020-01-28           23      0           ME       23   1344212.0
...                   ...          ...    ...          ...      ...         ...
Maine          2021-01-07           23    535           ME       23   1344212.0
Maine          2021-01-08           23    782           ME       23   1344212.0
Maine          2021-01-09           23    612           ME       23   1344212.0
Maine          2021-01-10           23    279           ME       23   1344212.0
Maine          2021-01-11           23    313           ME       23   1344212.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   2030.54      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   1633.07      1.00
 a_raw_init[2]      0.03      0.00      0.03      0.02      0.04   1695.10      1.00
 a_raw_init[3]      0.06      0.00      0.06      0.05      0.07   1578.23      1.00
 a_raw_init[4]      0.02      0.01      0.02      0.02      0.03    872.27      1.00
 a_raw_init[5]      0.11      0.01      0.11      0.10      0.12    762.01      1.00
 a_raw_init[6]      0.03      0.01      0.03      0.02      0.03    296.38      1.01
 a_raw_init[7]      0.07      0.01      0.07      0.06      0.08     91.64      1.02
 a_raw_init[8]      0.01      0.01      0.00      0.00      0.02     52.87      1.03
 a_raw_init[9]      0.05      0.01      0.05      0.04      0.06     86.22      1.02
a_raw_init[10]      0.02      0.01      0.02      0.01      0.03    211.04      1.01
a_raw_init[11]      0.08      0.00      0.08      0.08      0.09   1075.37      1.00
a_raw_init[12]      0.00      0.00      0.00      0.00      0.00   1684.37      1.00
a_raw_init[13]      0.15      0.00      0.15      0.14      0.15   2318.62      1.00
a_raw_init[14]      0.35      0.01      0.35      0.35      0.36   2380.52      1.00
a_raw_init[15]      0.39      0.01      0.39      0.38      0.39   2234.74      1.00
a_raw_init[16]      0.76      0.00      0.76      0.75      0.77   2036.23      1.00
a_raw_init[17]      0.89      0.01      0.89      0.88      0.90   2142.86      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1703.86      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00   1276.02      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    939.31      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    916.08      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    706.57      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.01    497.37      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    472.01      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    418.70      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    401.12      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    340.62      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    275.81      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    262.64      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    237.86      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    212.37      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    207.66      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    199.13      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01    203.25      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01    199.31      1.00
    beta_1[18]      0.00      0.00      0.00     -0.00      0.01    189.16      1.00
    beta_1[19]      0.00      0.00      0.00     -0.00      0.01    185.41      1.00
    beta_1[20]      0.00      0.00      0.00     -0.00      0.01    180.11      1.00
    beta_1[21]      0.00      0.00      0.00     -0.00      0.01    172.65      1.00
    beta_1[22]      0.00      0.00      0.00     -0.00      0.01    164.60      1.00
    beta_1[23]      0.00      0.00      0.00     -0.00      0.01    156.06      1.00
    beta_1[24]      0.00      0.00      0.00     -0.00      0.01    157.65      1.00
    beta_1[25]      0.00      0.00      0.00     -0.00      0.01    159.22      1.00
    beta_1[26]      0.00      0.00      0.00     -0.00      0.01    155.42      1.00
    beta_1[27]      0.01      0.00      0.01     -0.00      0.01    152.87      1.00
    beta_1[28]      0.01      0.00      0.01     -0.00      0.01    143.33      1.00
    beta_1[29]      0.01      0.00      0.01     -0.00      0.01    141.53      1.00
    beta_1[30]      0.01      0.00      0.01     -0.00      0.01    142.28      1.00
    beta_1[31]      0.01      0.00      0.01     -0.00      0.01    142.33      1.00
    beta_1[32]      0.01      0.00      0.01     -0.00      0.01    137.14      1.00
    beta_1[33]      0.01      0.01      0.01     -0.00      0.01    136.16      1.00
    beta_1[34]      0.01      0.01      0.01     -0.00      0.01    136.28      1.00
    beta_1[35]      0.01      0.01      0.01     -0.00      0.01    134.88      1.00
    beta_1[36]      0.01      0.01      0.01     -0.00      0.01    128.77      1.00
    beta_1[37]      0.01      0.01      0.01     -0.00      0.02    127.74      1.00
    beta_1[38]      0.01      0.01      0.01     -0.00      0.02    124.52      1.00
    beta_1[39]      0.01      0.01      0.01     -0.00      0.02    101.27      1.00
    beta_1[40]      0.01      0.01      0.01     -0.00      0.02    101.78      1.00
    beta_1[41]      0.01      0.01      0.01     -0.00      0.02    100.57      1.00
    beta_1[42]      0.01      0.01      0.01     -0.00      0.02     93.25      1.00
    beta_1[43]      0.01      0.01      0.01     -0.00      0.02     86.86      1.00
    beta_1[44]      0.01      0.01      0.01     -0.00      0.02     86.99      1.00
    beta_1[45]      0.01      0.01      0.01      0.00      0.02     81.04      1.00
    beta_1[46]      0.01      0.01      0.01     -0.00      0.02     79.41      1.00
    beta_1[47]      0.01      0.01      0.01      0.00      0.02     81.83      1.00
    beta_1[48]      0.01      0.01      0.01     -0.00      0.02     80.63      1.00
    beta_1[49]      0.01      0.01      0.01      0.00      0.02     80.36      1.00
    beta_1[50]      0.01      0.01      0.01      0.00      0.02     81.86      1.00
    beta_1[51]      0.01      0.01      0.01      0.00      0.02     84.10      1.00
    beta_1[52]      0.01      0.01      0.01      0.00      0.02     83.09      1.00
    beta_1[53]      0.01      0.01      0.01      0.00      0.02     82.26      1.00
    beta_1[54]      0.01      0.01      0.01      0.00      0.02     80.65      1.01
    beta_1[55]      0.01      0.01      0.01      0.00      0.02     80.64      1.01
    beta_1[56]      0.01      0.01      0.01      0.00      0.02     79.61      1.01
    beta_1[57]      0.01      0.01      0.01      0.00      0.02     76.44      1.01
    beta_1[58]      0.01      0.01      0.01      0.00      0.02     77.11      1.01
    beta_1[59]      0.01      0.01      0.01      0.00      0.02     76.71      1.01
    beta_1[60]      0.01      0.01      0.01      0.00      0.02     78.72      1.01
    beta_1[61]      0.01      0.01      0.01      0.00      0.02     78.97      1.01
    beta_1[62]      0.01      0.01      0.01      0.00      0.02     76.82      1.01
    beta_1[63]      0.01      0.01      0.01      0.00      0.02     76.32      1.01
    beta_1[64]      0.01      0.01      0.01      0.00      0.02     75.51      1.01
    beta_1[65]      0.01      0.01      0.01      0.00      0.02     81.23      1.01
    beta_1[66]      0.01      0.01      0.01      0.00      0.02     80.10      1.01
    beta_1[67]      0.01      0.01      0.01      0.00      0.02     82.86      1.01
    beta_1[68]      0.01      0.01      0.01      0.00      0.02     88.28      1.01
    beta_1[69]      0.01      0.01      0.01      0.00      0.02     91.13      1.01
    beta_1[70]      0.01      0.01      0.01      0.00      0.02     92.44      1.01
    beta_1[71]      0.01      0.01      0.01      0.00      0.02     90.67      1.01
    beta_1[72]      0.01      0.01      0.01      0.00      0.02     90.41      1.01
    beta_1[73]      0.01      0.01      0.01      0.00      0.02     90.04      1.01
    beta_1[74]      0.01      0.01      0.01      0.01      0.02     90.70      1.01
    beta_1[75]      0.01      0.01      0.01      0.00      0.02     89.52      1.01
    beta_1[76]      0.01      0.01      0.01      0.01      0.02     89.17      1.01
    beta_1[77]      0.01      0.01      0.01      0.00      0.02     90.38      1.01
    beta_1[78]      0.01      0.01      0.01      0.01      0.02     90.98      1.01
    beta_1[79]      0.01      0.01      0.01      0.01      0.02     93.60      1.01
    beta_1[80]      0.01      0.01      0.01      0.01      0.02     91.78      1.01
    beta_1[81]      0.01      0.01      0.01      0.01      0.02     91.92      1.01
    beta_1[82]      0.01      0.01      0.01      0.01      0.02     95.83      1.02
    beta_1[83]      0.01      0.01      0.01      0.01      0.02     97.04      1.01
    beta_1[84]      0.02      0.01      0.01      0.01      0.02     95.79      1.01
    beta_1[85]      0.02      0.01      0.01      0.01      0.02     98.85      1.01
    beta_1[86]      0.02      0.01      0.01      0.01      0.02    100.46      1.01
    beta_1[87]      0.02      0.01      0.02      0.01      0.02    100.91      1.02
    beta_1[88]      0.02      0.01      0.01      0.01      0.02    102.45      1.02
    beta_1[89]      0.02      0.01      0.02      0.01      0.02    103.68      1.02
    beta_1[90]      0.02      0.01      0.02      0.01      0.02    104.56      1.01
    beta_1[91]      0.02      0.01      0.02      0.01      0.02    102.54      1.01
    beta_1[92]      0.02      0.01      0.02      0.01      0.02    104.93      1.01
    beta_1[93]      0.02      0.01      0.02      0.01      0.02    108.07      1.01
    beta_1[94]      0.02      0.01      0.02      0.01      0.02    111.43      1.02
    beta_1[95]      0.02      0.01      0.01      0.01      0.02    112.10      1.02
    beta_1[96]      0.02      0.01      0.01      0.01      0.02    113.66      1.01
    beta_1[97]      0.02      0.00      0.01      0.01      0.02    113.65      1.02
    beta_1[98]      0.02      0.00      0.01      0.01      0.02    114.58      1.02
    beta_1[99]      0.01      0.00      0.01      0.01      0.02    112.58      1.02
   beta_1[100]      0.01      0.00      0.01      0.01      0.02    114.10      1.02
   beta_1[101]      0.01      0.00      0.01      0.01      0.02    114.51      1.02
   beta_1[102]      0.01      0.00      0.01      0.01      0.02    116.38      1.01
   beta_1[103]      0.01      0.00      0.01      0.01      0.02    122.44      1.02
