                     date locationtest  value abbreviation location  population
location_name                                                                  
Oregon         2020-01-24           41      0           OR       41   4217737.0
Oregon         2020-01-25           41      0           OR       41   4217737.0
Oregon         2020-01-26           41      0           OR       41   4217737.0
Oregon         2020-01-27           41      0           OR       41   4217737.0
Oregon         2020-01-28           41      0           OR       41   4217737.0
...                   ...          ...    ...          ...      ...         ...
Oregon         2021-01-07           41    862           OR       41   4217737.0
Oregon         2021-01-08           41   1762           OR       41   4217737.0
Oregon         2021-01-09           41   1629           OR       41   4217737.0
Oregon         2021-01-10           41   1207           OR       41   4217737.0
Oregon         2021-01-11           41    924           OR       41   4217737.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
 a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1978.79      1.00
 a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2030.75      1.00
 a_raw_init[2]      0.02      0.00      0.02      0.01      0.03   1461.46      1.00
 a_raw_init[3]      0.03      0.00      0.03      0.02      0.03   1662.37      1.00
 a_raw_init[4]      0.04      0.00      0.04      0.03      0.04   1735.66      1.00
 a_raw_init[5]      0.00      0.00      0.00      0.00      0.00    871.67      1.00
 a_raw_init[6]      0.06      0.00      0.06      0.05      0.06   1040.07      1.00
 a_raw_init[7]      0.11      0.00      0.11      0.10      0.12   1186.10      1.00
 a_raw_init[8]      0.16      0.01      0.16      0.15      0.16   1066.08      1.00
 a_raw_init[9]      0.13      0.01      0.13      0.12      0.14   1163.21      1.00
a_raw_init[10]      0.07      0.00      0.07      0.07      0.08   1186.38      1.00
a_raw_init[11]      0.10      0.00      0.10      0.09      0.11   1171.69      1.00
a_raw_init[12]      0.15      0.01      0.15      0.14      0.15   1218.72      1.00
a_raw_init[13]      0.16      0.00      0.16      0.15      0.17   1201.16      1.00
a_raw_init[14]      0.52      0.01      0.52      0.51      0.53   1384.59      1.00
a_raw_init[15]      0.71      0.00      0.71      0.70      0.72   1415.03      1.00
a_raw_init[16]      0.47      0.00      0.47      0.47      0.48   2208.20      1.00
a_raw_init[17]      0.36      0.01      0.36      0.35      0.37   1670.05      1.00
     beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1370.60      1.00
     beta_1[1]      0.00      0.00      0.00     -0.00      0.00    886.63      1.00
     beta_1[2]      0.00      0.00      0.00     -0.00      0.00    642.88      1.00
     beta_1[3]      0.00      0.00      0.00     -0.00      0.00    447.74      1.00
     beta_1[4]      0.00      0.00      0.00     -0.00      0.00    421.70      1.00
     beta_1[5]      0.00      0.00      0.00     -0.00      0.00    383.68      1.00
     beta_1[6]      0.00      0.00      0.00     -0.00      0.01    329.48      1.00
     beta_1[7]      0.00      0.00      0.00     -0.00      0.01    314.88      1.00
     beta_1[8]      0.00      0.00      0.00     -0.00      0.01    302.55      1.00
     beta_1[9]      0.00      0.00      0.00     -0.00      0.01    287.50      1.00
    beta_1[10]      0.00      0.00      0.00     -0.00      0.01    281.47      1.00
    beta_1[11]      0.00      0.00      0.00     -0.00      0.01    265.90      1.00
    beta_1[12]      0.00      0.00      0.00     -0.00      0.01    255.38      1.00
    beta_1[13]      0.00      0.00      0.00     -0.00      0.01    259.76      1.00
    beta_1[14]      0.00      0.00      0.00     -0.00      0.01    241.41      1.00
    beta_1[15]      0.00      0.00      0.00     -0.00      0.01    245.66      1.00
    beta_1[16]      0.00      0.00      0.00     -0.00      0.01    235.77      1.00
    beta_1[17]      0.00      0.00      0.00     -0.00      0.01    234.59      1.00
    beta_1[18]      0.00      0.00      0.00     -0.00      0.01    223.26      1.00
    beta_1[19]      0.00      0.00      0.00     -0.00      0.01    212.30      1.00
    beta_1[20]      0.00      0.00      0.00     -0.00      0.01    215.25      1.00
    beta_1[21]      0.00      0.00      0.00     -0.00      0.01    225.75      1.00
    beta_1[22]      0.00      0.00      0.00     -0.00      0.01    208.71      1.00
    beta_1[23]      0.00      0.00      0.00     -0.00      0.01    212.37      1.00
    beta_1[24]      0.00      0.00      0.00     -0.00      0.01    201.60      1.00
    beta_1[25]      0.00      0.00      0.00     -0.00      0.01    192.51      1.00
    beta_1[26]      0.00      0.00      0.00     -0.00      0.01    188.70      1.00
    beta_1[27]      0.00      0.00      0.00     -0.00      0.01    184.05      1.00
    beta_1[28]      0.00      0.00      0.00     -0.00      0.01    179.84      1.00
    beta_1[29]      0.00      0.00      0.00     -0.00      0.01    176.39      1.00
    beta_1[30]      0.00      0.01      0.00     -0.00      0.01    169.33      1.00
    beta_1[31]      0.00      0.01      0.00     -0.00      0.01    165.58      1.00
    beta_1[32]      0.00      0.01      0.00     -0.00      0.01    163.23      1.00
    beta_1[33]      0.00      0.01      0.00     -0.00      0.01    155.04      1.00
    beta_1[34]      0.01      0.01      0.00     -0.00      0.01    153.72      1.00
    beta_1[35]      0.01      0.01      0.01     -0.00      0.01    151.66      1.00
    beta_1[36]      0.01      0.01      0.01     -0.00      0.01    142.78      1.00
    beta_1[37]      0.01      0.01      0.01     -0.00      0.01    147.50      1.00
    beta_1[38]      0.01      0.01      0.01     -0.00      0.01    141.03      1.00
    beta_1[39]      0.01      0.01      0.01     -0.00      0.02    131.95      1.00
    beta_1[40]      0.01      0.01      0.01     -0.00      0.01    123.02      1.00
    beta_1[41]      0.01      0.01      0.01     -0.00      0.02    131.96      1.00
    beta_1[42]      0.01      0.01      0.01     -0.00      0.02    135.70      1.00
    beta_1[43]      0.01      0.01      0.01     -0.00      0.02    134.76      1.00
    beta_1[44]      0.01      0.01      0.01     -0.00      0.02    135.83      1.00
    beta_1[45]      0.01      0.01      0.01     -0.00      0.02    139.64      1.00
    beta_1[46]      0.01      0.01      0.01     -0.00      0.02    144.00      1.00
    beta_1[47]      0.01      0.01      0.01     -0.00      0.02    140.31      1.00
    beta_1[48]      0.01      0.01      0.01     -0.00      0.02    135.30      1.00
    beta_1[49]      0.01      0.01      0.01     -0.00      0.02    137.92      1.00
    beta_1[50]      0.01      0.01      0.01     -0.00      0.02    140.05      1.00
    beta_1[51]      0.01      0.01      0.01     -0.00      0.02    138.71      1.00
    beta_1[52]      0.01      0.01      0.01     -0.00      0.02    131.91      1.00
    beta_1[53]      0.01      0.01      0.01     -0.00      0.02    126.26      1.00
    beta_1[54]      0.01      0.01      0.01     -0.00      0.02    127.11      1.00
    beta_1[55]      0.01      0.01      0.01     -0.00      0.02    127.25      1.00
    beta_1[56]      0.01      0.01      0.01     -0.00      0.02    127.83      1.00
    beta_1[57]      0.01      0.01      0.01     -0.00      0.02    127.38      1.00
    beta_1[58]      0.01      0.01      0.01     -0.00      0.02    131.93      1.00
    beta_1[59]      0.01      0.01      0.01     -0.00      0.02    131.68      1.00
    beta_1[60]      0.01      0.01      0.01     -0.00      0.02    131.88      1.00
    beta_1[61]      0.01      0.01      0.01     -0.00      0.02    130.15      1.00
