,state,date,h,mae
0,AL,2020-05-16,0,21.48096466064453
1,AL,2020-05-16,1,24.46965789794922
2,AL,2020-05-16,2,28.813369750976562
3,AL,2020-05-16,3,22.70368194580078
4,AL,2020-05-23,0,0.61834716796875
5,AL,2020-05-23,1,2.4828948974609375
6,AL,2020-05-23,2,19.339881896972656
7,AL,2020-05-23,3,4.2793731689453125
8,AL,2020-05-30,0,2.747161865234375
9,AL,2020-05-30,1,18.147193908691406
10,AL,2020-05-30,2,1.6297225952148438
11,AL,2020-05-30,3,20.059219360351562
12,AL,2020-06-06,0,27.80779266357422
13,AL,2020-06-06,1,10.332828521728516
14,AL,2020-06-06,2,28.982337951660156
15,AL,2020-06-06,3,38.512115478515625
16,AL,2020-06-13,0,6.6060638427734375
17,AL,2020-06-13,1,3.9979324340820312
18,AL,2020-06-13,2,3.9745941162109375
19,AL,2020-06-13,3,15.322723388671875
20,AL,2020-06-20,0,17.657527923583984
21,AL,2020-06-20,1,22.10344696044922
22,AL,2020-06-20,2,38.450714111328125
23,AL,2020-06-20,3,100.59228515625
24,AL,2020-06-27,0,12.99554443359375
25,AL,2020-06-27,1,26.66071319580078
26,AL,2020-06-27,2,88.60930633544922
27,AL,2020-06-27,3,83.40369415283203
28,AL,2020-07-04,0,34.51206970214844
29,AL,2020-07-04,1,97.03093719482422
30,AL,2020-07-04,2,93.22856140136719
31,AL,2020-07-04,3,68.40496063232422
32,AL,2020-07-11,0,99.13932800292969
33,AL,2020-07-11,1,93.96295166015625
34,AL,2020-07-11,2,67.607666015625
35,AL,2020-07-11,3,69.21415710449219
36,AL,2020-07-18,0,36.88545227050781
37,AL,2020-07-18,1,11.042007446289062
38,AL,2020-07-18,2,32.018798828125
39,AL,2020-07-18,3,73.27137756347656
40,AL,2020-07-25,0,4.1945953369140625
41,AL,2020-07-25,1,16.725784301757812
42,AL,2020-07-25,2,37.253997802734375
43,AL,2020-07-25,3,72.98773193359375
44,AL,2020-08-01,0,17.197128295898438
45,AL,2020-08-01,1,7.3817901611328125
46,AL,2020-08-01,2,16.203659057617188
47,AL,2020-08-01,3,12.250091552734375
48,AL,2020-08-08,0,2.326416015625
49,AL,2020-08-08,1,21.588043212890625
50,AL,2020-08-08,2,6.3526763916015625
51,AL,2020-08-08,3,9.658966064453125
52,AL,2020-08-15,0,12.481735229492188
53,AL,2020-08-15,1,47.848045349121094
54,AL,2020-08-15,2,36.83203125
55,AL,2020-08-15,3,4.6461029052734375
56,AL,2020-08-22,0,49.07374572753906
57,AL,2020-08-22,1,38.716285705566406
58,AL,2020-08-22,2,7.0667572021484375
59,AL,2020-08-22,3,7.015541076660156
60,AL,2020-08-29,0,23.11664581298828
61,AL,2020-08-29,1,27.60810089111328
62,AL,2020-08-29,2,18.597755432128906
63,AL,2020-08-29,3,29.64794158935547
64,AL,2020-09-05,0,39.74363708496094
65,AL,2020-09-05,1,35.30207824707031
66,AL,2020-09-05,2,51.38177490234375
67,AL,2020-09-05,3,82.01123046875
68,AL,2020-09-12,0,12.638618469238281
69,AL,2020-09-12,1,9.417037963867188
70,AL,2020-09-12,2,8.326377868652344
71,AL,2020-09-12,3,44.69337463378906
72,AL,2020-09-19,0,10.849906921386719
73,AL,2020-09-19,1,7.835777282714844
74,AL,2020-09-19,2,44.376644134521484
75,AL,2020-09-19,3,65.44573974609375
76,AL,2020-09-26,0,3.5768051147460938
77,AL,2020-09-26,1,52.52208709716797
78,AL,2020-09-26,2,70.14716720581055
79,AL,2020-09-26,3,23.790367126464844
80,AL,2020-10-03,0,60.445640563964844
81,AL,2020-10-03,1,78.28689575195312
82,AL,2020-10-03,2,32.67397689819336
83,AL,2020-10-03,3,55.97848892211914
84,AL,2020-10-10,0,64.3051986694336
85,AL,2020-10-10,1,14.309722900390625
86,AL,2020-10-10,2,33.06903839111328
