,state,date,h,mae
0,AL,2020-05-16,0,265.213623046875
1,AL,2020-05-16,1,305.349365234375
2,AL,2020-05-16,2,613.449462890625
3,AL,2020-05-16,3,1621.95068359375
4,AL,2020-05-23,0,187.461181640625
5,AL,2020-05-23,1,787.092529296875
6,AL,2020-05-23,2,1381.580078125
7,AL,2020-05-23,3,570.67578125
8,AL,2020-05-30,0,1438.79931640625
9,AL,2020-05-30,1,494.2646484375
10,AL,2020-05-30,2,418.7705078125
11,AL,2020-05-30,3,607.45703125
12,AL,2020-06-06,0,1790.575439453125
13,AL,2020-06-06,1,1161.782958984375
14,AL,2020-06-06,2,2346.429443359375
15,AL,2020-06-06,3,5144.22802734375
16,AL,2020-06-13,0,1903.9853515625
17,AL,2020-06-13,1,2703.3798828125
18,AL,2020-06-13,2,2023.89453125
19,AL,2020-06-13,3,2091.4638671875
20,AL,2020-06-20,0,341.630859375
21,AL,2020-06-20,1,2177.87451171875
22,AL,2020-06-20,2,3636.72607421875
23,AL,2020-06-20,3,7485.9482421875
24,AL,2020-06-27,0,3187.2041015625
25,AL,2020-06-27,1,4847.6171875
26,AL,2020-06-27,2,8814.5380859375
27,AL,2020-06-27,3,7561.0634765625
28,AL,2020-07-04,0,643.2119140625
29,AL,2020-07-04,1,2961.0654296875
30,AL,2020-07-04,2,246.125
31,AL,2020-07-04,3,491.04296875
32,AL,2020-07-11,0,140.005859375
33,AL,2020-07-11,1,3832.5751953125
34,AL,2020-07-11,2,5778.875
35,AL,2020-07-11,3,9681.546875
36,AL,2020-07-18,0,4693.6484375
37,AL,2020-07-18,1,6516.5625
38,AL,2020-07-18,2,10250.65234375
39,AL,2020-07-18,3,13309.8046875
40,AL,2020-07-25,0,4306.8203125
41,AL,2020-07-25,1,7429.09765625
42,AL,2020-07-25,2,9854.68359375
43,AL,2020-07-25,3,8882.375
44,AL,2020-08-01,0,5569.552734375
45,AL,2020-08-01,1,8299.6015625
46,AL,2020-08-01,2,7722.646484375
47,AL,2020-08-01,3,6516.853515625
48,AL,2020-08-08,0,3931.3095703125
49,AL,2020-08-08,1,2545.2294921875
50,AL,2020-08-08,2,647.69140625
51,AL,2020-08-08,3,3123.0703125
52,AL,2020-08-15,0,446.50634765625
53,AL,2020-08-15,1,2905.171875
54,AL,2020-08-15,2,1040.37890625
55,AL,2020-08-15,3,952.00244140625
56,AL,2020-08-22,0,1650.96142578125
57,AL,2020-08-22,1,525.17333984375
58,AL,2020-08-22,2,835.751953125
59,AL,2020-08-22,3,583.7294921875
60,AL,2020-08-29,0,4180.22265625
61,AL,2020-08-29,1,5954.294921875
62,AL,2020-08-29,2,6839.3349609375
63,AL,2020-08-29,3,6514.166015625
